Image,Order,Area,PM,cytosol,PM/cytosol
,9.0,192.678,524.900,230.048,2.2817
,10.0,193.292,621.194,244.464,2.5410
,11.0,179.195,559.791,217.973,2.5682
PIN3_LatB_plant8_1_Z-Stack,1.0,170.957,535.842,209.632,2.5561
,2.0,185.416,552.932,225.287,2.4543
,3.0,183.627,485.567,218.109,2.2263
,4.0,190.434,538.876,233.901,2.3039
,5.0,200.757,591.063,247.463,2.3885
,6.0,181.952,573.527,216.582,2.6481
,7.0,185.379,548.668,224.060,2.4488
,8.0,187.034,533.404,223.751,2.3839
,9.0,197.153,572.281,237.876,2.4058
,10.0,201.214,562.848,255.237,2.2052
,11.0,217.815,569.738,263.846,2.1594
,12.0,178.169,515.207,214.755,2.3990
PIN3_LatB_plant8_2_Z-Stack,1.0,207.012,570.839,250.886,2.2753
,2.0,198.561,609.517,247.938,2.4583
,3.0,205.846,591.908,253.156,2.3381
,4.0,214.268,649.080,271.168,2.3936
,5.0,224.750,625.301,274.880,2.2748
,6.0,260.965,707.078,329.814,2.1439
,7.0,191.709,548.399,232.732,2.3564
,8.0,216.483,678.046,271.563,2.4968
,9.0,211.334,630.052,264.892,2.3785
,10.0,217.517,652.330,274.749,2.3743
,11.0,242.573,644.918,298.838,2.1581
,12.0,240.568,602.472,290.560,2.0735
,13.0,204.155,575.573,258.099,2.2300
,14.0,203.412,656.058,265.587,2.4702
