Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant10_1_Z-Stack,1.0,241.604,710.352,315.276,2.2531
,2.0,240.821,690.104,315.726,2.1858
,3.0,265.933,646.354,330.749,1.9542
,4.0,226.312,622.591,283.961,2.1925
,5.0,224.493,615.048,284.254,2.1637
,6.0,243.688,703.134,320.535,2.1936
,7.0,308.802,762.063,392.287,1.9426
,8.0,288.341,678.730,348.189,1.9493
,9.0,239.876,699.267,318.007,2.1989
,10.0,275.272,734.409,340.326,2.1580
,11.0,267.038,662.372,332.048,1.9948
,12.0,239.380,711.093,305.129,2.3305
,13.0,292.203,687.407,356.168,1.9300
,14.0,245.755,638.274,313.882,2.0335
PIN3_WT_plant10_2_Z-Stack,1.0,259.366,716.400,332.641,2.1537
,2.0,252.798,741.379,333.317,2.2242
,3.0,303.298,764.198,387.915,1.9700
,4.0,328.104,820.668,421.942,1.9450
,5.0,313.513,797.558,395.229,2.0180
,6.0,283.037,699.014,358.821,1.9481
,7.0,275.379,764.274,359.315,2.1270
,8.0,255.887,756.524,341.379,2.2161
,9.0,272.003,687.835,338.939,2.0294
,10.0,283.298,727.956,357.556,2.0359
,11.0,315.838,755.693,405.643,1.8630
,12.0,236.861,673.771,317.273,2.1236
,13.0,313.864,669.685,384.704,1.7408
PIN3_WT_plant12_1_Z-Stack,1.0,174.522,482.318,198.747,2.4268
,2.0,185.656,486.875,209.990,2.3186
,3.0,229.526,532.145,257.378,2.0676
,4.0,168.366,483.884,193.723,2.4978
,5.0,176.144,470.142,202.229,2.3248
,6.0,180.164,490.817,207.818,2.3618
,7.0,224.740,543.484,261.340,2.0796
PIN3_WT_plant12_2_Z-Stack,1.0,205.004,622.872,254.206,2.4503
,2.0,221.665,494.814,258.637,1.9132
,3.0,205.248,579.488,247.787,2.3387
,4.0,199.504,583.974,243.637,2.3969
,5.0,218.652,545.667,256.340,2.1287
,6.0,186.688,592.795,226.029,2.6227
,7.0,186.493,504.588,224.709,2.2455
,8.0,190.380,481.930,226.866,2.1243
PIN3_WT_plant2_1_Z-Stack,1.0,126.172,496.157,212.125,2.3390
,2.0,129.952,506.590,216.830,2.3363
,3.0,120.627,482.850,203.897,2.3681
,4.0,140.961,502.431,231.540,2.1700
,5.0,123.498,473.568,208.701,2.2691
,6.0,139.997,479.992,221.485,2.1672
,7.0,149.313,573.317,249.071,2.3018
,8.0,123.571,450.266,203.362,2.2141
,9.0,147.301,566.701,243.337,2.3289
,10.0,121.562,474.719,207.635,2.2863
,11.0,107.195,411.940,184.061,2.2381
,12.0,108.847,431.809,184.906,2.3353
,13.0,129.232,565.181,219.233,2.5780
PIN3_WT_plant2_2_Z-Stack,1.0,153.360,561.775,254.595,2.2065
,2.0,154.216,571.779,253.456,2.2559
,3.0,155.647,607.874,253.402,2.3989
,4.0,141.722,581.060,238.845,2.4328
,5.0,143.222,548.320,235.595,2.3274
,6.0,140.190,563.979,237.349,2.3762
,7.0,136.566,573.987,228.567,2.5112
,8.0,146.373,611.133,251.288,2.4320
,9.0,141.850,559.264,241.212,2.3186
,10.0,158.796,595.281,263.836,2.2563
,11.0,136.821,601.876,234.061,2.5714
,12.0,159.041,575.559,260.001,2.2137
,13.0,149.015,593.947,247.939,2.3955
PIN3_WT_plant3_1_Z-Stack,1.0,153.954,628.395,257.545,2.4399
,2.0,160.321,597.889,259.212,2.3066
,3.0,142.097,585.805,236.650,2.4754
,4.0,148.392,640.357,252.924,2.5318
,5.0,148.055,659.757,254.435,2.5930
,6.0,149.363,655.747,259.448,2.5275
,7.0,166.251,641.195,270.172,2.3733
,8.0,205.776,736.088,329.035,2.2371
,9.0,157.951,681.867,265.869,2.5647
,10.0,155.170,624.209,260.194,2.3990
,11.0,150.279,671.565,255.647,2.6269
,12.0,149.650,624.346,257.726,2.4225
PIN3_WT_plant3_2_Z-Stack,1.0,194.454,672.812,318.845,2.1102
,2.0,181.529,669.064,293.547,2.2792
,3.0,163.241,712.837,267.940,2.6604
,4.0,161.405,634.730,259.572,2.4453
,5.0,166.304,665.217,281.904,2.3597
,6.0,188.832,681.661,297.732,2.2895
,7.0,177.401,587.842,271.950,2.1616
,8.0,140.853,675.639,237.287,2.8473
,9.0,158.885,577.850,239.787,2.4098
,10.0,163.341,673.125,270.797,2.4857
,11.0,170.355,684.775,271.834,2.5191
PIN3_WT_plant4_1_Z-Stack,1.0,144.591,529.352,224.399,2.3590
,2.0,142.811,524.903,219.323,2.3933
,3.0,139.926,576.544,229.287,2.5145
,4.0,144.590,593.085,235.687,2.5164
PIN3_WT_plant4_2_Z-Stack,1.0,179.593,643.786,282.016,2.2828
,2.0,202.555,650.808,298.205,2.1824
,3.0,177.304,711.732,294.799,2.4143
,4.0,182.453,675.780,292.016,2.3142
,5.0,201.980,659.698,305.117,2.1621
,6.0,194.273,594.009,286.940,2.0702
PIN3_WT_plant5_1_Z-Stack,1.0,209.646,720.947,320.163,2.2518
,2.0,198.763,679.635,306.939,2.2142
,3.0,159.826,617.656,256.055,2.4122
,4.0,144.436,555.808,226.971,2.4488
,5.0,185.401,695.466,292.874,2.3746
,6.0,149.182,662.833,241.738,2.7419
,7.0,164.403,689.083,266.049,2.5901
PIN3_WT_plant5_2_Z-Stack,1.0,177.426,632.925,257.220,2.4606
,2.0,191.727,672.075,297.061,2.2624
,3.0,175.989,617.546,260.820,2.3677
,4.0,182.795,603.121,268.013,2.2503
,5.0,202.097,659.745,296.333,2.2264
,6.0,169.693,596.664,251.734,2.3702
,7.0,187.497,653.675,278.686,2.3456
,8.0,180.486,687.171,277.181,2.4791
PIN3_WT_plant6_2_Z-Stack,1.0,233.459,699.878,330.536,2.1174
,2.0,265.780,689.965,348.520,1.9797
,3.0,221.327,701.996,318.106,2.2068
,4.0,258.353,717.118,368.554,1.9458
,5.0,244.584,745.651,345.043,2.1610
,6.0,260.852,749.033,363.959,2.0580
,7.0,231.016,729.825,336.652,2.1679
,8.0,240.143,684.319,323.598,2.1147
,9.0,237.854,708.600,335.654,2.1111
,10.0,206.756,680.810,301.345,2.2592
PIN3_WT_plant7_1_Z-Stack,1.0,190.547,575.040,251.775,2.2839
,2.0,162.029,470.036,201.505,2.3326
,3.0,204.623,573.020,253.530,2.2602
,4.0,179.310,511.695,222.259,2.3022
PIN3_WT_plant7_2_Z-Stack,1.0,169.034,489.786,204.852,2.3909
,2.0,169.682,533.729,213.694,2.4976
,3.0,160.335,477.604,199.488,2.3941
,4.0,170.001,540.461,219.223,2.4653
,5.0,183.332,621.304,231.412,2.6848
,6.0,179.656,553.869,225.729,2.4537
,7.0,166.562,499.305,205.135,2.4340
PIN3_WT_plant8_1_Z-Stack,1.0,156.521,536.448,199.717,2.6860
,2.0,169.062,479.973,204.601,2.3459
,3.0,176.230,553.397,223.515,2.4759
,4.0,172.176,505.283,214.220,2.3587
,5.0,178.347,522.791,220.001,2.3763
,6.0,159.612,474.754,195.908,2.4234
,7.0,168.058,463.421,207.038,2.2383
,8.0,175.046,504.034,223.217,2.2580
,9.0,172.722,478.393,209.868,2.2795
PIN3_WT_plant8_2_Z-Stack,1.0,159.599,473.814,199.199,2.3786
,2.0,196.340,527.127,244.187,2.1587
,3.0,160.926,442.614,194.841,2.2717
,4.0,157.006,422.455,187.165,2.2571
,5.0,184.674,508.395,226.965,2.2400
,6.0,179.456,527.584,215.614,2.4469
,7.0,202.865,591.181,250.362,2.3613
,8.0,168.858,478.780,206.975,2.3132
,9.0,180.455,488.711,223.344,2.1882
,10.0,181.139,501.058,229.718,2.1812
PIN3_WT_plant9_1_Z-Stack,1.0,173.823,531.162,219.457,2.4203
,2.0,162.619,456.704,196.872,2.3198
,3.0,171.086,506.048,209.036,2.4209
,4.0,165.172,449.787,197.440,2.2781
,5.0,161.613,450.633,197.739,2.2789
,6.0,163.105,514.146,208.181,2.4697
PIN3_WT_plant9_2_Z-Stack,1.0,166.263,498.629,195.797,2.5467
,2.0,184.593,521.835,222.562,2.3447
,3.0,189.859,530.296,230.558,2.3001
,4.0,188.311,508.142,221.289,2.2963
,5.0,203.705,544.885,244.780,2.2260
,6.0,167.734,457.557,195.114,2.3451
,7.0,172.859,484.636,206.169,2.3507
