Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_LatB_plant10_1_Z-Stack,1.0,177.318,466.727,198.815,2.3475
,2.0,159.148,385.570,178.049,2.1655
,3.0,183.049,446.613,200.624,2.2261
,4.0,164.588,380.607,181.146,2.1011
,5.0,178.966,447.050,209.473,2.1342
,6.0,163.954,391.574,182.523,2.1453
,7.0,170.115,395.861,192.513,2.0563
,8.0,175.200,414.339,197.296,2.1001
,9.0,164.060,420.536,184.888,2.2745
,10.0,169.859,442.865,189.169,2.3411
,11.0,176.810,438.145,200.934,2.1805
PIN3_LatB_plant10_2_Z-Stack,1.0,182.916,454.312,207.376,2.1908
,2.0,200.963,591.359,241.803,2.4456
,3.0,188.939,484.049,214.845,2.2530
,4.0,224.365,557.143,255.705,2.1789
,5.0,204.873,467.635,233.302,2.0044
,6.0,179.423,491.595,208.076,2.3626
,7.0,202.061,524.581,238.941,2.1954
,8.0,205.384,511.898,234.296,2.1848
,9.0,197.080,481.917,222.769,2.1633
,10.0,178.917,455.946,201.794,2.2595
,11.0,170.347,441.843,191.072,2.3124
,12.0,187.005,480.584,216.902,2.2157
PIN3_LatB_plant1_1_Z-Stack,1.0,201.519,588.276,250.469,2.3487
,2.0,192.890,553.581,232.891,2.3770
,3.0,186.214,565.982,226.798,2.4955
,4.0,177.554,527.668,210.002,2.5127
,5.0,199.038,623.068,244.690,2.5464
,6.0,187.224,545.742,228.240,2.3911
,7.0,203.229,596.499,248.217,2.4031
,8.0,217.297,635.463,268.638,2.3655
,9.0,180.271,529.649,215.762,2.4548
,10.0,184.476,523.589,219.339,2.3871
,11.0,187.676,524.430,219.384,2.3905
PIN3_LatB_plant1_2_Z-Stack,1.0,230.692,649.391,278.467,2.3320
,2.0,212.875,690.670,267.479,2.5821
,3.0,246.405,665.351,298.739,2.2272
,4.0,243.037,658.232,311.060,2.1161
,5.0,231.287,658.541,293.177,2.2462
,6.0,222.664,631.516,273.709,2.3073
,7.0,234.403,680.109,292.681,2.3237
,8.0,249.347,680.543,313.078,2.1737
,9.0,225.819,576.896,262.206,2.2002
,10.0,265.359,760.966,333.198,2.2838
,11.0,238.146,587.917,273.112,2.1527
,12.0,262.963,714.545,326.471,2.1887
,13.0,271.343,706.964,325.833,2.1697
,14.0,237.458,697.395,298.348,2.3375
,15.0,261.788,654.509,317.692,2.0602
,16.0,244.363,690.518,308.083,2.2413
,17.0,236.627,633.093,275.443,2.2985
,18.0,240.420,645.622,299.675,2.1544
PIN3_LatB_plant3_1_Z-Stack,1.0,184.069,475.579,200.823,2.3682
,2.0,177.346,408.306,190.338,2.1452
,3.0,202.689,479.148,218.948,2.1884
,4.0,186.249,466.622,202.921,2.2995
,5.0,182.381,429.512,198.688,2.1617
,6.0,179.766,404.916,189.463,2.1372
,7.0,186.127,422.197,200.504,2.1057
,8.0,182.009,494.947,196.844,2.5144
,9.0,201.512,504.864,221.357,2.2808
,10.0,194.409,436.209,207.782,2.0994
,11.0,186.721,454.305,207.200,2.1926
PIN3_LatB_plant3_2_Z-Stack,1.0,208.066,513.361,227.053,2.2610
,2.0,179.296,538.924,204.463,2.6358
,3.0,208.666,523.796,232.768,2.2503
,4.0,195.153,453.788,212.819,2.1323
,5.0,182.379,449.733,201.611,2.2307
,6.0,193.504,459.091,215.194,2.1334
,7.0,194.885,497.003,218.782,2.2717
,8.0,190.585,488.744,211.071,2.3155
,9.0,214.391,519.192,246.819,2.1035
,10.0,180.393,437.116,198.717,2.1997
,11.0,204.325,461.446,225.289,2.0482
,12.0,190.887,449.814,213.303,2.1088
,13.0,201.340,497.603,223.984,2.2216
PIN3_LatB_plant4_1_Z-Stack,1.0,194.019,521.382,221.100,2.3581
,2.0,192.429,518.789,226.392,2.2916
,3.0,188.132,477.392,217.375,2.1962
,4.0,179.043,430.439,201.564,2.1355
,5.0,191.096,490.446,218.378,2.2459
