Image,ROI,Area,Mean
mDII-V_WT_plant1_1_Z-Stack,1,47.295,14968.001
,2,48.028,7691.401
,3,63.488,10544.595
,4,48.956,10556.541
,5,60.100,9320.025
,6,70.982,10442.228
,7,66.012,9276.475
,8,55.902,13368.889
,9,64.011,9323.800
,10,53.103,11325.950
,11,57.380,7833.956
,12,61.905,10619.116
,13,62.978,9650.189
,14,62.206,10378.773
,15,63.017,10577.141
,16,71.858,10605.580
,17,64.364,10669.781
,18,70.498,8737.287
,19,62.062,7005.536
mDII-V_WT_plant1_2_Z-Stack,1,58.295,11847.078
,2,64.952,9558.852
,3,48.067,12816.362
,4,52.331,9303.099
,5,76.462,7971.834
,6,70.289,6804.291
,7,64.325,10834.016
,8,59.943,8337.892
,9,68.405,8616.179
,10,64.730,8566.965
,11,49.323,12195.280
,12,71.414,11501.852
,13,53.940,12254.581
,14,62.454,11600.028
,15,75.756,9558.843
,16,57.536,12738.518
,17,61.630,6675.901
,18,72.879,7987.950
,19,75.259,9665.797
mDII-V_WT_plant2_1_Z-Stack,1,47.491,17467.505
,2,71.074,10900.638
,3,56.464,11686.306
,4,62.794,9578.944
,5,53.796,12908.494
,6,73.036,9529.239
,7,69.622,9751.675
,8,74.775,9949.979
,9,67.817,12133.295
,10,64.782,12627.899
,11,57.877,9825.692
,12,68.078,9692.671
,13,60.924,12104.337
,14,75.939,8693.457
,15,68.209,8310.112
,16,62.494,10672.159
,17,65.606,8518.870
,18,58.779,13052.968
,19,49.846,8695.904
,20,60.440,12076.990
mDII-V_WT_plant2_2_Z-Stack,1,60.584,14265.137
,2,53.312,8412.668
,3,61.159,11783.032
,4,63.867,8104.664
,5,54.528,9375.173
,6,42.063,11366.338
,7,59.760,10782.178
,8,49.767,15838.600
,9,46.798,15191.013
,10,45.752,11975.163
,11,55.078,10545.355
,12,37.460,11346.431
,13,41.200,9167.742
,14,64.325,7988.675
,15,64.482,9171.565
,16,61.199,9683.468
,17,62.964,13306.100
,18,72.421,9481.987
,19,50.696,9867.093
,20,70.485,9477.749
,21,71.989,10921.934
,22,75.115,9040.941
mDII-V_WT_plant3_1_Z-Stack,1,58.622,8017.323
,2,68.249,11946.857
,3,41.004,9627.106
,4,69.844,7234.801
,5,53.979,6862.908
,6,70.158,7190.050
,7,68.405,7873.235
,8,50.068,9627.799
,9,53.953,11019.087
,10,64.573,9662.059
,11,61.604,9596.052
,12,70.930,8666.086
,13,59.668,10046.132
,14,73.036,9898.176
,15,63.422,10294.504
,16,58.112,7682.494
,17,69.622,8891.600
,18,65.044,10002.103
,19,67.804,9738.648
,20,56.098,9715.733
mDII-V_WT_plant3_2_Z-Stack,1,72.604,9110.590
,2,52.122,8844.745
,3,56.752,9332.331
,4,73.127,7824.543
,5,54.672,10250.300
,6,56.438,9454.806
,7,80.334,6680.429
,8,51.245,8490.960
,9,69.373,10006.799
,10,67.202,7159.629
,11,75.233,5693.974
,12,61.159,8150.256
,13,75.377,6125.549
,14,47.400,4705.109
,15,76.593,5933.882
,16,66.260,8276.225
,17,78.084,7878.472
,18,69.910,8053.044
mDII-V_WT_plant4_1_Z-Stack,1,63.357,7448.587
,2,47.334,10316.481
,3,47.609,8221.748
,4,65.436,8243.177
,5,49.336,9297.613
,6,62.297,5425.004
,7,63.998,7954.012
,8,64.599,5943.916
,9,73.781,6235.712
,10,54.267,6460.956
,11,59.119,5480.429
,12,66.666,7388.662
,13,56.935,8145.923
,14,72.826,6349.436
,15,68.929,8153.926
,16,62.075,7733.969
,17,62.834,7002.276
,18,69.216,6636.017
,19,50.617,6425.108
mDII-V_WT_plant4_2_Z-Stack,1,49.231,5991.926
,2,49.846,6364.852
,3,44.222,6845.709
,4,52.841,8198.131
,5,58.308,6043.328
,6,46.301,5532.672
,7,59.616,6614.807
,8,50.094,5202.140
,9,60.989,5587.806
,10,74.409,4786.740
,11,60.924,6032.654
,12,63.370,5617.077
,13,65.489,4390.934
,14,75.259,6166.404
,15,67.948,4709.580
,16,57.053,4544.387
,17,59.054,5770.238
,18,57.693,5867.951
,19,57.929,5489.375
,20,68.275,4945.029
,21,73.585,4726.333
,22,56.268,4587.552
mDII-V_WT_plant5_1_Z-Stack,1,46.013,11527.454
,2,65.384,6807.343
,3,49.977,8556.048
,4,43.424,9305.231
,5,63.278,7837.418
,6,51.468,7067.425
,7,71.283,10556.314
,8,48.525,8118.784
,9,52.501,14345.399
,10,41.161,7234.325
,11,73.611,10611.980
,12,61.643,12003.270
,13,55.967,7918.308
,14,67.084,5944.204
,15,58.844,7115.534
,16,57.432,6854.058
,17,57.105,8098.286
,18,55.496,8345.428
,19,69.086,7467.842
,20,61.146,6620.114
mDII-V_WT_plant5_2_Z-Stack,1,53.273,8316.951
,2,81.851,10379.831
,3,42.783,9974.707
,4,45.791,8060.585
,5,54.476,9048.913
,6,57.523,7899.275
,7,39.696,6704.109
,8,55.444,11219.493
,9,46.249,10364.017
,10,46.354,10039.092
,11,54.214,10159.777
,12,81.668,8035.048
,13,75.429,8525.594
,14,70.891,6649.989
,15,66.810,7055.833
,16,60.126,8308.531
,17,63.684,8300.870
,18,70.132,7483.611
,19,63.880,6756.531
,20,84.938,7319.894
,21,67.778,7562.841
,22,73.676,8976.800
,23,79.601,9595.931
,24,72.225,8225.800
mDII-V_WT_plant6_1_Z-Stack,1,38.427,8743.012
,2,53.966,11996.845
,3,40.612,7255.594
,4,71.126,9675.743
,5,48.969,13391.872
,6,47.164,12387.670
,7,64.207,8886.237
,8,67.346,9423.399
,9,55.941,13049.660
,10,52.017,11282.702
,11,69.426,8884.922
,12,65.149,10781.004
,13,59.067,10090.263
,14,59.734,10784.359
,15,53.233,8225.443
,16,45.948,11480.174
,17,67.778,9696.940
,18,74.317,10445.725
,19,41.684,9152.741
,20,63.174,9571.631
,21,51.899,8768.495
,22,68.641,7731.650
,23,72.199,8303.469
,24,84.755,7932.007
mDII-V_WT_plant6_2_Z-Stack,1,73.127,8500.083
,2,50.853,8514.354
,3,48.446,8061.860
,4,51.952,11580.122
,5,76.646,9161.670
,6,62.729,10432.829
,7,58.648,12694.827
,8,66.103,8407.814
,9,58.831,7604.776
,10,44.653,8998.277
,11,51.559,10392.197
,12,60.741,10811.166
,13,51.101,8669.526
,14,50.395,7332.750
,15,62.991,9381.435
,16,69.020,7165.075
,17,66.195,5794.614
,18,67.438,8173.451
mDII-V_WT_plant7_1_Z-Stack,1,55.339,12417.656
,2,59.982,10675.010
,3,68.249,10594.013
,4,60.205,11191.332
,5,58.753,8254.079
,6,58.583,11364.221
,7,57.380,11386.588
,8,62.088,13710.521
,9,60.100,10662.836
,10,65.685,9766.068
,11,62.023,11219.997
,12,64.691,9683.578
,13,71.571,10094.496
,14,57.066,12746.696
,15,63.265,10340.750
,16,58.413,11812.147
,17,70.564,10337.359
,18,67.045,10365.858
mDII-V_WT_plant7_2_Z-Stack,1,50.500,9596.771
,2,45.713,11423.520
,3,44.509,10739.996
,4,40.756,10464.972
,5,56.098,10440.839
,6,54.881,13452.757
,7,50.539,12054.882
,8,39.578,9391.367
,9,71.322,8196.845
,10,71.885,8402.599
,11,67.189,9840.276
,12,73.363,10710.953
,13,37.433,7272.324
,14,66.169,10011.750
,15,56.634,10740.851
,16,68.078,9012.418
,17,73.310,9070.859
,18,87.671,8193.432
,19,72.355,8146.693
mDII-V_WT_plant8_1_Z-Stack,1,65.266,7311.453
,2,49.218,8895.000
,3,44.889,6664.744
,4,68.419,6306.411
,5,51.258,7359.131
,6,55.117,8910.772
,7,51.912,7632.505
,8,64.939,5815.432
,9,60.885,9904.783
,10,67.830,7771.756
,11,62.180,6339.343
,12,48.603,15189.786
,13,71.989,5847.154
,14,73.245,6384.859
,15,70.982,8033.401
,16,60.976,6383.388
,17,52.802,8035.115
,18,77.496,6454.935
mDII-V_WT_plant8_2_Z-Stack,1,50.722,6195.962
,2,54.005,5066.444
,3,71.152,5596.740
,4,53.586,6659.240
,5,67.150,6287.112
,6,63.828,5193.184
,7,57.092,6670.614
,8,55.797,6316.836
,9,66.391,6309.487
,10,67.150,5712.498
,11,51.664,6952.691
,12,65.855,5269.310
,13,57.157,6605.234
,14,66.457,5776.205
,15,44.653,5137.862
,16,44.104,6131.436
,17,49.977,6234.169
,18,70.250,6107.061
,19,83.931,5960.516
,20,75.965,5338.258
