Image,ROI,Area,Mean
mDII-V_arpc4_2_plant11_1_Z-Stack,1,50.120,8451.907
,2,52.854,4226.619
,3,73.506,6279.730
,4,43.646,5052.767
,5,51.991,4627.901
,6,52.095,5078.671
,7,58.060,4635.369
,8,55.509,5524.890
,9,59.381,4505.251
,10,51.455,7263.966
,11,63.239,6257.309
,12,41.449,3956.390
,13,72.852,5385.999
,14,68.118,4455.950
,15,78.084,4586.268
,16,60.048,3367.120
,17,66.038,5073.760
,18,62.664,6071.419
,19,66.535,7189.522
,20,73.415,5224.242
,21,56.124,5435.691
mDII-V_arpc4_2_plant11_2_Z-Stack,1,43.450,4893.355
,2,47.975,4350.105
,3,54.737,5872.112
,4,54.214,4166.751
,5,52.645,4785.161
,6,56.660,5033.902
,7,49.519,4429.026
,8,57.641,3943.391
,9,46.942,5303.494
,10,49.924,3341.289
,11,48.472,3727.383
,12,49.623,6108.062
,13,52.606,4390.951
,14,52.802,3947.070
,15,51.965,4132.810
,16,63.736,5493.594
,17,42.011,2781.347
,18,57.288,3498.136
,19,62.834,4003.052
,20,73.245,5045.452
,21,33.287,3270.725
,22,61.356,3803.736
,23,69.112,4570.889
mDII-V_arpc4_2_plant12_1_Z-Stack,1,53.822,8252.519
,2,53.286,12876.397
,3,67.215,8551.275
,4,56.490,8244.296
,5,67.503,7608.167
,6,49.898,9336.249
,7,68.719,8460.691
,8,59.760,8138.233
,9,58.256,7039.090
,10,53.560,9254.408
,11,63.592,8002.439
,12,60.035,10754.836
,13,36.413,8801.892
,14,72.669,9055.570
,15,67.150,9435.388
,16,60.793,8877.015
,17,58.557,8712.999
,18,88.051,9486.044
,19,64.063,8905.719
,20,78.490,8282.570
,21,70.459,8226.870
,22,92.616,10070.319
mDII-V_arpc4_2_plant12_2_Z-Stack,1,69.046,7619.585
,2,60.767,8516.665
,3,58.190,7555.717
,4,66.836,7801.932
,5,61.173,9984.003
,6,58.177,8525.518
,7,69.229,7061.169
,8,66.862,9193.853
,9,68.092,10457.710
,10,54.371,11373.904
,11,68.445,8849.800
,12,67.307,7307.545
,13,60.113,8313.269
,14,76.999,8437.001
,15,70.564,7733.047
,16,78.071,6147.292
,17,64.115,7361.738
,18,69.138,7937.018
,19,71.191,7283.078
,20,70.760,7082.922
mDII-V_arpc4_2_plant3_1_Z-Stack,1,41.606,5287.031
,2,46.981,5446.925
,3,57.079,4566.144
,4,60.676,5345.129
,5,60.309,4460.280
,6,58.230,5341.257
,7,55.051,5746.910
,8,71.872,4007.565
,9,79.615,3685.564
,10,62.559,3388.394
,11,61.251,4436.594
,12,59.001,3999.064
,13,59.171,4645.142
,14,79.549,4596.799
,15,86.259,4419.347
,16,63.082,4318.456
,17,53.508,5207.075
,18,90.170,3640.384
,19,51.494,5193.198
mDII-V_arpc4_2_plant3_2_Z-Stack,1,43.293,3889.885
,2,47.975,5082.012
,3,55.391,7159.238
,4,29.703,3187.948
,5,69.517,4531.617
,6,61.081,4698.748
,7,64.966,4632.353
,8,81.197,4478.321
,9,59.106,5047.625
,10,64.992,4031.684
,11,84.742,4628.493
,12,80.229,5621.115
,13,48.106,4467.249
,14,82.754,5587.765
,15,69.674,5441.367
,16,66.457,4242.898
,17,92.733,5314.597
,18,78.856,5758.761
,19,83.735,3850.476
,20,75.782,4117.350
mDII-V_arpc4_2_plant6_1_Z-Stack,1,44.771,9613.202
,2,62.821,7924.711
,3,75.246,8130.195
,4,70.237,8226.497
,5,47.871,10677.653
,6,64.626,10078.075
,7,56.739,6907.366
,8,48.904,10300.868
,9,63.775,7408.613
,10,72.565,7331.464
,11,73.650,10873.733
,12,60.767,7022.999
,13,49.571,9560.791
,14,93.858,8344.533
,15,90.889,6513.000
,16,79.366,7465.743
,17,57.445,4896.074
,18,96.343,7094.384
,19,67.111,7991.186
,20,64.547,6965.921
mDII-V_arpc4_2_plant6_2_Z-Stack,1,48.525,7605.372
,2,76.632,7884.405
,3,64.586,9251.222
,4,56.085,6044.431
,5,67.333,6081.008
,6,76.423,8158.953
,7,77.993,7311.754
,8,64.796,6630.104
,9,61.173,9190.533
,10,48.485,8131.636
,11,37.983,6502.594
,12,68.065,8679.267
,13,49.767,8854.128
,14,65.777,5670.087
,15,69.400,5329.862
,16,60.662,5807.705
,17,73.219,7154.967
,18,71.100,6622.050
,19,68.889,4886.599
,20,69.570,5109.863
mDII-V_arpc4_2_plant7_1_Z-Stack,1,48.276,4706.046
,2,35.785,5224.448
,3,44.313,5317.095
,4,81.354,5470.696
,5,44.365,7236.216
,6,48.407,4567.392
,7,52.815,4454.207
,8,84.441,5486.887
,9,46.746,3874.628
,10,63.304,5750.041
,11,63.461,5658.923
,12,50.081,6997.092
,13,44.967,6216.716
,14,61.892,5446.425
,15,82.845,5835.436
,16,51.337,3354.971
,17,49.977,5635.632
,18,92.746,5591.338
,19,81.263,5925.811
,20,71.741,4612.929
,21,67.215,3876.931
mDII-V_arpc4_2_plant7_2_Z-Stack,1,50.513,3093.142
,2,45.752,4030.802
,3,49.610,5511.583
,4,73.049,5680.865
,5,53.953,4545.433
,6,80.543,3814.196
,7,53.403,4316.123
,8,46.367,3909.906
,9,38.924,5330.955
,10,44.653,4851.002
,11,54.437,6391.773
,12,48.747,4219.304
,13,48.302,5903.644
,14,92.066,5743.659
,15,68.366,4842.261
,16,68.301,3385.575
,17,66.666,3561.654
,18,77.587,3282.218
,19,93.531,4867.662
,20,48.538,3414.864
,21,54.541,4174.946
mDII-V_arpc4_2_plant8_1_Z-Stack,1,41.736,13935.557
,2,51.768,6978.782
,3,40.559,7236.916
,4,67.307,10339.725
,5,64.599,9013.413
,6,33.993,9967.600
,7,59.302,10059.927
,8,43.476,13642.619
,9,67.084,11451.029
,10,71.806,8650.543
,11,49.728,10039.751
,12,65.279,8766.974
,13,74.278,8160.567
,14,61.565,6959.590
,15,62.428,7462.847
,16,60.022,6983.900
,17,56.399,9881.469
,18,64.495,6729.373
,19,66.666,8590.366
,20,63.318,8905.681
,21,80.399,6759.916
mDII-V_arpc4_2_plant8_2_Z-Stack,1,42.063,9911.208
,2,47.818,6530.714
,3,62.729,8929.823
,4,48.106,11348.065
,5,38.611,7197.733
,6,45.229,10294.181
,7,57.196,10246.364
,8,60.100,9778.026
,9,66.339,7645.170
,10,65.384,7831.884
,11,71.270,7745.458
,12,69.988,10389.713
,13,60.754,8406.648
,14,62.245,7117.430
,15,60.806,7007.696
,16,62.624,6022.156
,17,63.592,8586.675
,18,79.758,6778.167
,19,65.266,6831.781
,20,62.206,8265.706
,21,68.680,7859.034
,22,61.173,9020.083
mDII-V_arpc4_2_plant9_1_Z-Stack,1,42.482,5658.861
,2,49.636,6403.762
,3,67.843,11276.651
,4,55.078,10711.395
,5,52.776,9824.673
,6,71.139,10834.572
,7,59.171,10717.321
,8,55.352,13885.517
,9,50.474,12707.673
,10,71.715,9018.162
,11,55.771,8383.188
,12,61.853,9783.555
,13,62.389,9778.946
,14,73.389,9220.451
,15,51.651,10959.037
,16,56.085,9845.260
,17,71.361,9126.530
,18,55.627,11440.055
,19,89.934,10592.583
,20,69.164,12521.257
,21,60.976,9313.412
,22,51.742,11416.378
,23,64.835,8027.096
mDII-V_arpc4_2_plant9_2_Z-Stack,1,38.833,6005.844
,2,33.719,6095.953
,3,51.821,4288.690
,4,52.279,9279.060
,5,53.181,9762.029
,6,55.614,10830.353
,7,41.004,3469.092
,8,74.461,6588.417
,9,41.030,6172.278
,10,53.377,6761.541
,11,73.088,7664.553
,12,57.183,7630.673
,13,61.107,7490.598
,14,50.971,10664.443
,15,48.695,8916.471
,16,60.832,8598.060
,17,70.982,8164.155
,18,69.740,8750.612
,19,51.481,7782.795
