Image,ROI,Area,Mean
DII-V_arpc5_3_plant10_1_Z-Stack,1,47.217,79.406
,2,54.764,76.468
,3,53.665,93.006
,4,40.638,108.773
,5,41.658,93.078
,6,76.227,114.277
,7,62.402,103.520
,8,67.843,127.390
,9,76.920,115.690
,10,57.746,117.898
,11,52.841,112.581
,12,67.281,73.208
,13,55.561,88.937
DII-V_arpc5_3_plant10_2_Z-Stack,1,52.292,80.127
,2,64.809,86.019
,3,70.877,95.812
,4,70.001,108.321
,5,59.786,97.040
,6,54.711,93.476
,7,71.662,78.542
,8,73.833,82.999
,9,68.602,90.561
,10,67.699,101.084
DII-V_arpc5_3_plant1_1_Z-Stack,1,47.400,184.186
,2,46.694,192.324
,3,53.665,157.581
,4,69.713,216.088
,5,67.869,182.627
,6,55.993,160.059
,7,75.782,194.216
,8,63.514,181.738
,9,55.993,172.010
,10,81.380,274.132
,11,74.121,210.286
,12,72.395,168.175
,13,63.017,162.873
,14,71.414,159.401
DII-V_arpc5_3_plant1_2_Z-Stack,1,56.268,190.194
,2,51.101,180.855
,3,67.974,177.897
,4,60.597,160.836
,5,66.561,144.892
,6,55.561,144.870
,7,51.899,143.865
,8,59.485,159.641
,9,53.181,164.743
,10,59.028,206.839
,11,75.102,196.238
,12,67.071,146.386
,13,69.543,139.885
,14,70.289,138.417
,15,57.262,144.081
DII-V_arpc5_3_plant2_1_Z-Stack,1,65.580,121.313
,2,62.049,135.583
,3,46.458,118.048
,4,51.755,147.330
,5,38.702,118.667
,6,62.546,155.503
,7,59.865,123.666
,8,65.803,120.947
,9,68.288,135.428
,10,68.275,141.598
,11,39.618,115.621
,12,66.025,142.693
,13,35.550,130.101
,14,51.860,138.441
,15,49.584,135.433
,16,62.036,114.674
,17,50.199,136.728
DII-V_arpc5_3_plant2_2_Z-Stack,1,50.199,95.486
,2,51.782,120.376
,3,69.452,113.286
,4,52.122,98.199
,5,65.881,133.248
,6,60.218,134.132
,7,45.294,101.837
,8,52.684,91.434
,9,69.203,89.796
,10,63.802,140.672
,11,71.348,139.098
,12,82.649,132.196
,13,67.922,110.673
,14,71.728,112.879
,15,79.667,120.271
DII-V_arpc5_3_plant3_1_Z-Stack,1,41.593,121.180
,2,55.810,130.514
,3,62.964,144.792
,4,69.164,143.122
,5,75.665,145.813
,6,50.709,139.183
,7,39.264,113.576
