Image,ROI,Area,Mean
DII-V_arpc5_2_plant10_1_Z-Stack,1,53.822,138.513
,2,63.331,97.556
,3,52.056,116.161
,4,44.352,80.128
,5,44.091,92.184
,6,63.357,127.996
,7,77.378,181.612
,8,57.327,116.770
,9,54.907,121.419
,10,49.493,119.928
,11,45.294,109.339
,12,78.764,132.546
,13,104.413,146.078
DII-V_arpc5_2_plant10_2_Z-Stack,1,47.060,136.602
,2,42.848,138.450
,3,40.324,102.745
,4,46.053,128.178
,5,60.414,103.825
,6,50.801,107.873
,7,43.175,75.637
,8,50.853,120.022
,9,64.979,134.232
,10,44.967,98.635
,11,51.925,128.414
,12,57.981,106.926
,13,52.305,110.744
,14,59.498,93.029
,15,73.873,110.675
,16,91.713,125.949
,17,64.377,90.835
DII-V_arpc5_2_plant1_1_Z-Stack,1,64.429,210.739
,2,67.817,178.614
,3,68.602,196.118
,4,43.280,155.208
,5,71.623,195.846
,6,72.290,203.288
,7,58.426,189.555
,8,65.633,207.857
,9,59.747,185.996
,10,73.349,241.387
,11,55.561,213.575
,12,50.827,145.231
,13,69.831,249.649
,14,66.430,156.921
,15,76.999,192.641
DII-V_arpc5_2_plant1_2_Z-Stack,1,65.214,197.064
,2,59.028,161.726
,3,70.001,240.961
,4,77.862,226.839
,5,76.410,160.013
,6,54.476,217.086
,7,76.489,176.417
,8,59.276,169.091
,9,58.988,124.045
,10,60.427,198.705
,11,68.471,162.713
,12,81.668,179.533
DII-V_arpc5_2_plant2_1_Z-Stack,1,71.950,282.181
,2,52.919,191.610
,3,61.813,180.944
,4,48.930,252.656
,5,53.560,201.166
,6,60.767,185.511
,7,55.496,173.731
,8,67.281,208.148
,9,77.692,296.836
,10,66.444,232.565
,11,67.621,227.035
,12,74.239,151.206
,13,55.300,176.846
DII-V_arpc5_2_plant3_1_Z-Stack,1,51.664,154.836
,2,56.935,178.395
,3,52.553,164.751
,4,58.465,157.066
,5,57.314,159.764
,6,44.012,186.941
,7,70.027,221.922
,8,64.312,182.216
,9,82.073,183.924
,10,85.435,184.246
,11,87.763,190.456
,12,73.467,199.374
,13,70.694,192.858
,14,82.649,186.610
DII-V_arpc5_2_plant3_2_Z-Stack,1,66.640,181.016
,2,64.037,172.112
,3,50.264,160.679
,4,56.150,167.797
,5,60.322,172.771
,6,67.189,175.894
,7,75.717,193.996
,8,70.053,194.583
,9,69.138,193.697
,10,76.789,168.741
,11,54.044,188.365
,12,60.048,150.649
,13,47.936,149.585
,14,80.203,210.208
DII-V_arpc5_2_plant4_1_Z-Stack,1,68.916,160.003
,2,59.564,155.979
,3,63.370,163.273
,4,61.983,158.419
,5,68.863,243.447
,6,60.492,169.122
,7,51.808,187.860
,8,70.407,225.824
,9,78.464,186.411
,10,49.113,157.466
,11,85.461,161.552
,12,54.306,166.318
,13,73.441,119.917
,14,90.314,147.937
DII-V_arpc5_2_plant4_2_Z-Stack,1,71.087,171.416
,2,53.756,126.138
,3,60.113,138.450
,4,71.257,133.522
,5,53.377,139.120
,6,79.955,143.239
,7,61.251,143.065
,8,78.817,186.510
,9,62.533,147.022
,10,77.587,196.319
,11,50.944,137.858
,12,60.179,182.080
,13,76.959,197.104
,14,54.240,148.184
,15,69.465,165.494
,16,83.146,144.527
DII-V_arpc5_2_plant5_1_Z-Stack,1,56.830,129.740
,2,56.399,133.255
,3,79.497,133.528
,4,41.619,96.750
,5,55.862,106.798
,6,71.688,121.429
,7,57.314,123.494
,8,78.333,141.391
,9,61.957,96.863
,10,66.810,111.935
,11,71.335,103.273
,12,66.130,113.202
,13,68.863,105.394
,14,65.476,103.538
DII-V_arpc5_2_plant5_2_Z-Stack,1,41.815,109.289
,2,49.022,104.614
,3,51.782,90.403
,4,47.138,90.427
,5,64.442,114.145
,6,49.636,87.768
,7,41.318,92.228
,8,39.435,104.915
