Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_arpc4_I1_plant10_1_Z-Stack,1.0,195.649,445.615,201.373,2.2129
,2.0,193.641,360.412,195.346,1.8450
,3.0,196.930,440.913,199.824,2.2065
,4.0,231.423,526.453,248.787,2.1161
,5.0,196.297,415.196,200.530,2.0705
,6.0,184.807,373.995,187.625,1.9933
,7.0,193.137,410.260,202.273,2.0282
,8.0,201.448,423.988,206.177,2.0564
,9.0,203.564,459.554,213.908,2.1484
PIN3_arpc4_I1_plant10_2_Z-Stack,1.0,223.848,507.509,231.298,2.1942
,2.0,210.389,486.807,221.642,2.1964
,3.0,208.675,461.080,216.428,2.1304
,4.0,217.262,545.717,235.354,2.3187
,5.0,222.058,510.232,233.464,2.1855
,6.0,195.098,473.670,203.770,2.3245
,7.0,198.581,447.787,205.474,2.1793
,8.0,221.015,495.588,232.196,2.1344
PIN3_arpc4_I1_plant11_1_Z-Stack,1.0,184.509,472.897,200.966,2.3531
,2.0,220.205,508.174,235.666,2.1563
,3.0,184.746,511.841,199.547,2.5650
,4.0,219.358,502.938,241.017,2.0867
,5.0,195.287,487.362,211.778,2.3013
PIN3_arpc4_I1_plant11_2_Z-Stack,1.0,194.116,500.342,202.957,2.4653
,2.0,202.894,600.342,225.697,2.6599
,3.0,226.871,557.412,250.409,2.2260
,4.0,200.371,486.028,209.803,2.3166
,5.0,201.032,528.395,210.372,2.5117
,6.0,226.927,554.723,256.235,2.1649
,7.0,234.759,511.332,248.010,2.0617
,8.0,240.956,573.184,268.070,2.1382
,9.0,220.809,596.187,255.150,2.3366
,10.0,252.112,582.650,290.077,2.0086
,11.0,217.755,587.769,243.106,2.4177
,12.0,229.369,565.093,254.617,2.2194
PIN3_arpc4_I1_plant12_1_Z-Stack,1.0,197.683,436.569,206.474,2.1144
,2.0,196.186,501.521,217.121,2.3099
,3.0,203.655,481.659,216.034,2.2296
,4.0,202.747,440.482,209.439,2.1032
,5.0,202.643,491.049,216.873,2.2642
,6.0,208.489,615.095,233.178,2.6379
,7.0,207.643,506.119,226.806,2.2315
,8.0,206.949,433.315,214.571,2.0194
,9.0,219.513,520.029,235.880,2.2046
