Image,Order,Area,PM,cytosol,PM/cytosol
,16.0,217.265,698.327,321.541,2.1718
PIN3_WT_plant6_1_Z-Stack,1.0,214.854,545.169,247.455,2.2031
,2.0,219.021,508.610,252.235,2.0164
,3.0,213.583,530.955,241.046,2.2027
,4.0,233.637,725.830,278.485,2.6064
,5.0,246.089,659.394,279.812,2.3566
,6.0,251.660,638.680,284.350,2.2461
,7.0,257.996,730.632,297.468,2.4562
,8.0,248.177,828.050,292.632,2.8297
,9.0,240.210,647.344,284.046,2.2790
,10.0,230.902,741.977,280.645,2.6438
,11.0,232.112,772.033,283.242,2.7257
,12.0,271.947,702.983,319.783,2.1983
PIN3_WT_plant6_2_Z-Stack,1.0,245.932,746.869,302.707,2.4673
,2.0,267.246,854.043,352.186,2.4250
,3.0,257.405,752.430,318.833,2.3600
,4.0,255.283,762.290,309.098,2.4662
,5.0,283.072,873.323,353.609,2.4697
,6.0,271.858,777.928,323.083,2.4078
,7.0,284.890,1000.065,349.980,2.8575
,8.0,252.006,766.176,312.417,2.4524
,9.0,270.935,880.325,344.078,2.5585
PIN3_WT_plant8_2_Z-Stack,1.0,252.627,689.766,314.161,2.1956
,2.0,241.628,721.940,313.514,2.3027
,3.0,277.894,735.361,342.362,2.1479
,4.0,269.282,696.983,329.503,2.1153
,5.0,265.449,658.190,319.653,2.0591
,6.0,249.506,713.353,317.091,2.2497
,7.0,286.728,764.462,356.810,2.1425
,8.0,259.177,753.268,322.960,2.3324
,9.0,265.944,736.222,328.880,2.2386
,10.0,277.992,830.114,341.311,2.4321
,11.0,263.494,739.604,328.732,2.2499
PIN3_WT_plant9_1_Z-Stack,1.0,278.335,683.823,345.488,1.9793
,2.0,241.077,679.844,310.229,2.1914
,3.0,220.728,680.480,288.076,2.3622
,4.0,222.430,636.279,272.455,2.3354
,5.0,218.602,653.000,275.313,2.3718
,6.0,249.403,729.829,332.521,2.1948
,7.0,252.208,599.700,308.162,1.9461
,8.0,223.262,675.878,280.796,2.4070
,9.0,222.651,636.829,281.179,2.2649
,10.0,229.623,592.087,281.844,2.1008
,11.0,236.031,707.631,301.080,2.3503
PIN3_WT_plant9_2_Z-Stack,1.0,242.528,571.953,285.667,2.0022
,2.0,231.002,647.360,285.847,2.2647
,3.0,251.282,706.862,320.215,2.2075
,4.0,261.704,630.853,332.997,1.8945
,5.0,245.541,625.550,289.188,2.1631
,6.0,232.317,726.532,295.498,2.4587
,7.0,221.932,671.222,285.695,2.3494
,8.0,249.321,661.524,314.125,2.1059
,9.0,256.661,826.876,336.446,2.4577
,10.0,246.836,720.594,319.584,2.2548
,11.0,219.699,624.729,275.680,2.2661
