Image,ROI,Area,Mean
DII-V_arpc5_3_plant10_1_Z-Stack,1,65.515,213.843
,2,46.798,108.500
,3,58.557,120.553
,4,69.700,179.122
,5,53.717,140.740
,6,51.415,103.115
,7,70.106,180.781
,8,65.188,160.047
,9,50.971,162.631
,10,63.972,171.393
,11,59.080,160.859
,12,53.416,101.950
,13,56.333,122.183
,14,56.896,104.488
,15,78.738,158.068
,16,63.187,130.214
,17,76.606,172.514
DII-V_arpc5_3_plant10_2_Z-Stack,1,47.753,111.447
,2,39.081,134.860
,3,59.786,140.566
,4,64.966,122.923
,5,49.963,97.298
,6,42.351,114.538
,7,55.967,107.367
,8,61.107,122.862
,9,46.524,132.841
,10,50.853,113.232
,11,51.114,117.497
,12,81.799,135.324
,13,73.611,117.753
,14,54.777,102.585
,15,80.661,141.670
,16,75.377,118.072
,17,53.953,92.537
,18,37.734,90.981
,19,80.138,91.391
DII-V_arpc5_3_plant1_1_Z-Stack,1,76.240,158.730
,2,37.486,138.895
,3,47.661,185.930
,4,52.318,166.169
,5,46.759,150.938
,6,43.162,147.537
,7,51.075,153.163
,8,45.569,167.163
,9,56.621,188.474
,10,61.290,178.075
,11,66.640,163.475
,12,53.312,151.283
,13,40.703,135.806
,14,42.678,125.204
,15,31.351,129.634
,16,70.197,180.355
,17,39.775,142.383
,18,49.414,149.982
,19,59.852,103.350
DII-V_arpc5_3_plant1_2_Z-Stack,1,35.903,98.330
,2,75.102,149.091
,3,48.721,148.905
,4,60.728,142.133
,5,56.438,132.830
,6,67.385,150.747
,7,61.800,130.959
,8,59.525,139.725
,9,52.854,145.360
,10,62.062,160.350
,11,53.469,136.184
,12,57.942,139.841
,13,42.848,134.334
,14,39.081,96.822
,15,63.030,80.113
,16,62.232,153.436
DII-V_arpc5_3_plant2_1_Z-Stack,1,52.579,120.030
,2,55.836,102.599
,3,62.873,123.563
,4,52.658,135.461
,5,55.418,134.020
,6,69.269,161.127
,7,43.136,123.838
,8,54.881,143.787
,9,37.800,111.636
,10,97.376,154.965
,11,72.866,172.843
,12,46.563,123.702
,13,52.906,129.232
,14,42.848,111.119
DII-V_arpc5_3_plant2_2_Z-Stack,1,47.675,84.983
,2,40.677,109.097
,3,52.540,90.170
,4,41.357,94.676
,5,85.160,127.009
,6,54.097,110.884
,7,42.704,109.659
,8,62.363,88.224
,9,39.448,90.230
,10,60.113,109.154
,11,48.538,87.346
,12,49.139,109.957
,13,54.829,92.185
,14,57.157,138.432
,15,46.929,117.215
,16,54.070,84.574
