Image,ROI,Area,Mean
DII-V_WT_plant1_1_Z-Stack,1,54.698,150.799
,2,53.704,126.724
,3,50.421,150.464
,4,37.930,141.423
,5,65.672,178.776
,6,57.523,160.582
,7,67.032,157.289
,8,45.425,156.286
,9,58.033,141.930
,10,71.021,138.466
,11,48.420,119.146
,12,63.304,179.349
,13,65.227,159.035
,14,69.936,157.603
,15,54.960,153.308
,16,58.426,187.647
,17,55.784,142.416
,18,57.680,159.671
,19,59.969,140.115
,20,54.685,151.726
DII-V_WT_plant1_2_Z-Stack,1,56.909,141.350
,2,44.823,108.626
,3,48.067,125.059
,4,39.565,125.979
,5,61.552,160.735
,6,58.282,142.055
,7,46.079,122.016
,8,72.212,147.629
,9,42.979,136.558
,10,50.709,144.592
,11,56.111,118.428
,12,46.157,119.868
,13,42.142,143.755
,14,60.806,145.322
,15,59.695,134.946
DII-V_WT_plant2_1_Z-Stack,1,44.078,90.931
,2,57.772,119.535
,3,33.169,90.753
,4,35.301,92.394
,5,62.703,94.711
,6,70.550,107.567
,7,33.993,109.751
,8,66.378,112.687
,9,54.123,100.219
,10,71.937,107.659
,11,84.114,78.519
DII-V_WT_plant2_2_Z-Stack,1,55.784,121.251
,2,60.793,92.369
,3,49.571,84.342
,4,61.395,91.855
,5,53.743,77.321
,6,53.665,85.250
,7,67.071,95.387
,8,83.068,93.295
,9,69.347,78.488
,10,72.722,111.150
,11,55.195,80.919
,12,80.622,89.193
,13,85.213,92.553
,14,73.559,94.039
DII-V_WT_plant3_1_Z-Stack,1,57.118,106.205
,2,53.390,104.986
,3,40.638,104.552
,4,46.589,111.400
,5,43.685,102.615
,6,46.105,132.308
,7,56.098,138.038
,8,50.474,138.928
,9,44.902,110.268
,10,41.841,109.856
,11,48.996,131.725
,12,39.722,94.553
,13,49.728,110.883
,14,50.670,148.795
,15,63.880,120.533
,16,49.636,131.880
,17,62.402,88.077
DII-V_WT_plant3_2_Z-Stack,1,41.606,97.801
,2,38.937,99.666
,3,38.794,93.506
,4,33.379,77.817
,5,54.554,96.749
,6,57.667,98.054
,7,44.823,94.895
,8,37.028,92.934
,9,37.499,94.884
,10,37.355,74.735
,11,62.507,105.772
,12,57.798,104.204
,13,47.648,88.979
,14,63.527,86.671
,15,60.806,105.098
,16,63.200,94.375
,17,53.992,98.105
,18,45.490,74.166
,19,61.486,105.418
,20,57.628,92.272
DII-V_WT_plant4_1_Z-Stack,1,66.378,141.716
,2,48.433,151.622
,3,42.652,143.622
,4,60.532,170.909
,5,50.631,167.467
,6,61.434,156.004
,7,65.960,170.856
,8,68.065,246.982
,9,59.917,223.088
,10,67.411,178.176
,11,70.237,169.009
,12,68.013,165.244
,13,64.874,161.134
,14,75.233,199.605
DII-V_WT_plant4_2_Z-Stack,1,66.810,116.479
,2,41.684,133.400
,3,50.617,170.265
,4,71.715,152.760
,5,55.156,133.905
,6,52.919,160.300
,7,60.519,170.383
,8,59.812,150.389
,9,67.189,157.871
,10,64.181,169.659
,11,69.713,158.720
,12,71.257,148.528
,13,68.327,166.078
,14,74.984,142.549
,15,44.954,159.484
