Image,ROI,Area,Mean
DII-V_arpc5_2_plant10_1_Z-Stack,1,54.083,172.779
,2,50.539,174.473
,3,64.979,187.755
,4,74.945,246.955
,5,92.799,189.818
,6,80.125,197.162
,7,81.302,222.091
,8,57.877,166.607
,9,65.136,212.697
,10,51.088,223.425
,11,43.960,119.981
,12,68.170,185.142
,13,62.598,233.611
,14,94.813,228.886
,15,46.471,185.930
,16,70.904,205.203
DII-V_arpc5_2_plant10_2_Z-Stack,1,48.368,186.957
,2,53.953,170.373
,3,59.028,166.775
,4,52.802,148.076
,5,64.835,141.175
,6,48.669,109.807
,7,59.511,192.686
,8,63.841,211.779
,9,57.353,200.699
,10,41.410,100.342
,11,52.762,121.140
,12,68.667,144.055
,13,89.463,226.375
,14,64.285,166.087
,15,74.801,188.199
,16,76.240,190.058
,17,55.274,159.907
DII-V_arpc5_2_plant1_1_Z-Stack,1,57.602,152.314
,2,61.434,126.283
,3,55.143,127.797
,4,55.287,147.705
,5,50.238,98.427
,6,48.224,134.411
,7,86.952,170.221
,8,91.517,163.649
,9,71.218,114.525
,10,81.040,163.054
,11,60.989,108.604
,12,54.437,105.860
,13,54.214,93.628
DII-V_arpc5_2_plant1_2_Z-Stack,1,59.799,115.649
,2,73.284,127.221
,3,49.872,110.269
,4,63.919,90.660
,5,65.253,101.951
,6,54.947,109.427
,7,58.112,91.719
,8,74.226,118.599
,9,62.036,81.545
,10,66.182,102.676
,11,73.140,112.332
,12,60.309,83.780
,13,74.265,138.653
,14,65.463,103.486
,15,64.796,64.600
DII-V_arpc5_2_plant2_1_Z-Stack,1,66.875,159.262
,2,57.039,218.288
,3,59.315,195.069
,4,51.245,183.134
,5,43.058,171.419
,6,50.120,174.365
,7,81.145,194.983
,8,67.516,156.112
,9,65.136,184.759
,10,52.985,211.422
,11,62.088,172.106
,12,69.818,182.360
,13,64.678,194.172
,14,66.640,241.206
,15,78.280,247.060
,16,73.703,229.207
,17,67.608,205.840
,18,67.137,209.941
,19,76.502,241.468
,20,82.466,222.682
,21,71.034,220.351
,22,57.196,171.074
,23,66.156,235.007
DII-V_arpc5_2_plant2_2_Z-Stack,1,55.261,130.853
,2,51.651,146.733
,3,54.646,150.470
,4,41.344,118.460
,5,51.141,126.183
,6,64.312,155.569
,7,60.846,143.591
,8,52.331,121.148
,9,67.621,159.565
,10,65.711,192.474
,11,59.995,184.484
,12,42.560,133.802
,13,50.081,130.225
,14,57.772,152.667
,15,50.003,126.586
,16,56.215,172.771
,17,53.129,129.639
,18,65.790,168.587
,19,63.906,128.633
,20,57.523,127.622
,21,66.038,132.906
,22,78.019,191.207
,23,69.609,173.066
,24,70.040,145.551
DII-V_arpc5_2_plant3_1_Z-Stack,1,53.508,205.322
,2,57.693,248.015
,3,62.310,200.137
,4,68.105,202.229
,5,40.625,160.087
,6,52.606,190.042
,7,72.303,183.034
,8,67.124,183.088
,9,70.394,209.532
,10,83.054,206.432
,11,77.378,207.095
,12,68.432,152.862
,13,101.353,247.075
DII-V_arpc5_2_plant3_2_Z-Stack,1,62.677,182.481
,2,68.379,172.246
,3,56.124,207.855
,4,52.279,197.938
,5,61.343,163.996
,6,76.279,217.530
,7,65.907,202.876
,8,50.199,189.475
,9,74.160,208.372
,10,78.019,193.548
,11,52.148,192.244
,12,45.896,144.313
,13,78.581,215.952
,14,68.719,187.256
,15,91.308,257.933
