Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_LatB_plant10_1_Z-Stack,1.0,215.196,570.953,251.997,2.2657
,2.0,246.935,687.472,312.243,2.2017
,3.0,213.994,627.359,265.144,2.3661
,4.0,221.851,615.095,273.091,2.2523
,5.0,239.233,590.947,282.471,2.0921
,6.0,215.484,595.060,257.333,2.3124
,7.0,225.675,590.608,278.244,2.1226
,8.0,211.684,613.880,264.203,2.3235
PIN3_LatB_plant10_2_Z-Stack,1.0,228.035,620.989,274.347,2.2635
,2.0,225.303,637.363,283.773,2.2460
,3.0,226.883,690.411,285.299,2.4200
,4.0,226.628,706.514,290.347,2.4333
,5.0,224.735,675.786,282.854,2.3892
,6.0,219.324,604.764,264.296,2.2882
,7.0,228.438,649.217,298.086,2.1780
,8.0,260.918,740.673,337.721,2.1932
,9.0,268.293,754.520,352.067,2.1431
,10.0,249.738,702.807,305.339,2.3017
,11.0,269.576,693.288,337.297,2.0554
,12.0,279.623,676.250,335.548,2.0154
PIN3_LatB_plant11_1_Z-Stack,1.0,158.759,363.010,172.164,2.1085
,2.0,164.146,412.148,181.472,2.2711
,3.0,186.047,416.937,207.571,2.0086
,4.0,169.095,387.227,183.631,2.1087
,5.0,162.691,409.587,178.317,2.2970
,6.0,169.802,397.717,183.901,2.1627
,7.0,173.099,438.037,194.691,2.2499
,8.0,176.883,422.415,193.066,2.1879
,9.0,170.815,408.625,191.249,2.1366
,10.0,178.640,463.694,203.449,2.2792
,11.0,203.436,482.346,227.866,2.1168
,12.0,193.770,470.471,215.009,2.1881
,13.0,186.942,498.685,218.846,2.2787
,14.0,166.076,451.137,189.596,2.3795
,15.0,195.724,476.361,221.827,2.1474
PIN3_LatB_plant11_2_Z-Stack,1.0,201.517,451.416,215.786,2.0920
,2.0,178.698,455.175,197.761,2.3016
,3.0,200.609,516.339,229.172,2.2531
,4.0,194.951,516.088,217.899,2.3685
,5.0,200.434,475.848,223.125,2.1327
,6.0,221.142,468.843,236.615,1.9815
,7.0,193.056,475.630,213.445,2.2283
,8.0,207.440,530.247,232.755,2.2781
,9.0,220.487,499.681,242.651,2.0593
PIN3_LatB_plant12_1_Z-Stack,1.0,176.035,428.259,195.457,2.1911
,2.0,167.126,391.560,181.466,2.1578
,3.0,183.112,399.126,194.479,2.0523
,4.0,193.433,445.434,213.163,2.0896
,5.0,168.077,375.741,179.653,2.0915
,6.0,165.948,392.684,179.552,2.1870
,7.0,182.737,402.703,200.665,2.0068
,8.0,169.124,415.856,187.827,2.2140
,9.0,167.966,377.317,180.998,2.0846
,10.0,175.063,378.466,188.012,2.0130
,11.0,177.847,387.821,194.561,1.9933
,12.0,168.948,351.503,179.837,1.9546
,13.0,166.344,393.646,185.677,2.1201
PIN3_LatB_plant12_2_Z-Stack,1.0,196.758,478.377,220.572,2.1688
,2.0,215.263,477.273,240.680,1.9830
,3.0,169.781,380.871,180.438,2.1108
,4.0,199.668,490.551,225.901,2.1715
,5.0,204.701,475.744,224.982,2.1146
,6.0,196.663,440.229,210.956,2.0868
,7.0,188.928,435.445,208.048,2.0930
,8.0,216.781,475.260,239.646,1.9832
,9.0,199.560,445.814,218.905,2.0366
,10.0,191.123,430.247,206.108,2.0875
,11.0,190.590,408.445,205.613,1.9865
PIN3_LatB_plant1_1_Z-Stack,1.0,204.566,601.806,246.046,2.4459
,2.0,193.038,604.531,238.578,2.5339
,3.0,204.428,665.574,260.742,2.5526
,4.0,211.216,619.682,263.669,2.3502
,5.0,233.205,632.270,301.187,2.0993
,6.0,256.939,664.312,311.992,2.1293
,7.0,209.478,644.121,262.315,2.4555
,8.0,248.594,739.456,335.258,2.2056
,9.0,233.060,673.434,297.641,2.2626
,10.0,243.250,708.600,317.928,2.2288
,11.0,239.404,718.527,311.085,2.3097
,12.0,205.968,639.969,265.992,2.4060
,13.0,245.617,712.739,303.721,2.3467
PIN3_LatB_plant1_2_Z-Stack,1.0,208.958,663.139,271.289,2.4444
,2.0,194.708,633.110,246.107,2.5725
,3.0,248.539,701.477,311.789,2.2498
,4.0,205.528,624.077,255.655,2.4411
,5.0,261.043,757.184,339.394,2.2310
,6.0,214.016,640.727,266.678,2.4026
,7.0,245.122,649.108,299.145,2.1699
,8.0,203.823,582.423,251.770,2.3133
,9.0,195.707,627.067,241.802,2.5933
,10.0,209.618,649.293,265.926,2.4416
,11.0,269.624,761.232,341.416,2.2296
PIN3_LatB_plant3_1_Z-Stack,1.0,188.238,515.722,236.433,2.1813
,2.0,169.684,480.216,204.822,2.3446
,3.0,181.346,517.272,227.674,2.2720
,4.0,175.531,486.045,214.360,2.2674
,5.0,162.922,502.102,197.308,2.5448
,6.0,175.862,512.789,216.755,2.3658
,7.0,175.213,510.912,210.425,2.4280
,8.0,203.544,559.796,250.407,2.2355
,9.0,184.782,519.082,234.229,2.2161
,10.0,190.920,539.096,232.575,2.3179
PIN3_LatB_plant3_2_Z-Stack,1.0,203.016,598.137,261.891,2.2839
,2.0,174.878,529.594,212.935,2.4871
,3.0,185.521,529.343,227.170,2.3302
,4.0,177.093,506.516,214.249,2.3641
,5.0,167.931,510.999,200.843,2.5443
,6.0,190.779,575.015,245.765,2.3397
,7.0,189.650,533.909,235.156,2.2704
,8.0,175.474,520.642,212.838,2.4462
,9.0,182.130,504.914,216.948,2.3274
,10.0,196.698,512.363,237.378,2.1584
,11.0,182.120,567.023,226.544,2.5029
PIN3_LatB_plant5_1_Z-Stack,1.0,168.568,444.373,188.839,2.3532
,2.0,173.942,427.527,195.037,2.1920
,3.0,188.940,494.130,217.465,2.2722
,4.0,167.520,461.402,190.142,2.4266
,5.0,170.138,416.141,192.022,2.1672
,6.0,152.785,400.165,169.130,2.3660
,7.0,172.055,409.792,193.959,2.1128
,8.0,169.868,437.662,193.811,2.2582
PIN3_LatB_plant6_1_Z-Stack,1.0,190.985,476.051,217.312,2.1906
,2.0,204.336,530.217,239.726,2.2118
,3.0,189.859,499.349,220.822,2.2613
,4.0,205.168,500.084,236.419,2.1152
,5.0,222.815,573.451,263.857,2.1733
