Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant10_1_Z-Stack,1.0,171.413,512.241,212.601,2.4094
,2.0,196.438,669.111,264.503,2.5297
,3.0,181.400,598.074,224.137,2.6683
,4.0,184.422,563.779,229.663,2.4548
,5.0,184.748,629.724,235.377,2.6754
,6.0,181.601,492.920,223.348,2.2070
,7.0,180.629,598.452,223.891,2.6730
,8.0,198.646,694.550,273.123,2.5430
,9.0,185.519,546.326,237.205,2.3032
,10.0,188.492,606.099,246.481,2.4590
PIN3_WT_plant10_2_Z-Stack,1.0,215.529,695.843,283.546,2.4541
,2.0,210.282,610.986,260.655,2.3440
,3.0,200.435,790.492,278.147,2.8420
,4.0,239.567,711.693,319.863,2.2250
,5.0,184.578,711.372,244.878,2.9050
,6.0,201.896,627.250,273.495,2.2935
,7.0,212.732,618.245,277.369,2.2290
,8.0,202.505,663.296,274.372,2.4175
,9.0,193.070,635.223,262.019,2.4243
,10.0,230.080,721.965,325.365,2.2189
,11.0,191.285,685.546,254.766,2.6909
,12.0,203.710,633.853,274.257,2.3112
,13.0,222.042,617.968,288.356,2.1431
PIN3_WT_plant11_1_Z-Stack,1.0,179.977,488.062,220.421,2.2142
,2.0,166.506,515.480,201.462,2.5587
,3.0,171.225,465.670,201.709,2.3086
,4.0,199.896,498.508,236.848,2.1048
,5.0,167.744,540.851,200.999,2.6908
,6.0,178.480,581.179,217.675,2.6699
PIN3_WT_plant11_3_Z-Stack,1.0,158.324,459.018,185.196,2.4786
,2.0,180.664,444.182,206.479,2.1512
,3.0,175.874,494.709,206.561,2.3950
,4.0,205.936,474.972,240.767,1.9727
,5.0,187.028,450.575,217.817,2.0686
,6.0,192.269,553.093,229.923,2.4056
,7.0,190.254,478.404,217.428,2.2003
,8.0,162.638,471.052,188.997,2.4924
PIN3_WT_plant12_1_Z-Stack,1.0,200.859,591.757,256.922,2.3033
,2.0,204.257,529.860,247.030,2.1449
,3.0,239.438,575.133,279.061,2.0610
,4.0,208.999,608.370,273.275,2.2262
,5.0,206.313,653.755,264.520,2.4715
,6.0,210.415,590.320,260.754,2.2639
,7.0,196.202,534.978,240.087,2.2283
PIN3_WT_plant12_2_Z-Stack,1.0,216.494,580.539,266.612,2.1775
,2.0,194.300,596.398,249.592,2.3895
,3.0,203.418,623.512,256.332,2.4324
,4.0,193.352,597.854,245.419,2.4361
,5.0,180.753,543.725,225.090,2.4156
,6.0,238.714,641.438,317.961,2.0173
,7.0,228.867,587.250,286.225,2.0517
,8.0,222.071,623.528,280.806,2.2205
,9.0,232.396,583.561,293.673,1.9871
,10.0,219.053,611.582,280.279,2.1820
PIN3_WT_plant1_1_Z-Stack,1.0,110.753,664.094,233.824,2.8401
,2.0,105.873,557.521,213.512,2.6112
,3.0,114.284,611.505,231.023,2.6469
,4.0,130.777,690.505,260.762,2.6480
,5.0,111.575,510.817,216.280,2.3618
,6.0,120.085,551.091,224.123,2.4589
,7.0,121.413,630.453,238.843,2.6396
,8.0,125.327,583.034,236.133,2.4691
PIN3_WT_plant1_2_Z-Stack,1.0,111.896,688.528,228.895,3.0081
,2.0,115.682,608.466,225.615,2.6969
,3.0,180.508,684.979,316.823,2.1620
,4.0,118.774,597.795,230.826,2.5898
,5.0,128.586,613.756,242.794,2.5279
,6.0,108.995,633.278,219.603,2.8837
,7.0,143.792,685.011,269.402,2.5427
,8.0,136.859,599.632,253.989,2.3609
PIN3_WT_plant2_1_Z-Stack,1.0,170.024,756.284,306.149,2.4703
,2.0,204.252,781.552,354.850,2.2025
,3.0,171.506,658.133,285.737,2.3033
,4.0,176.126,770.995,306.585,2.5148
,5.0,155.530,680.901,271.789,2.5053
,6.0,188.775,793.504,315.077,2.5184
,7.0,174.550,747.926,307.522,2.4321
,8.0,197.951,889.602,350.965,2.5347
,9.0,196.806,783.840,330.005,2.3752
,10.0,180.428,903.216,319.663,2.8255
PIN3_WT_plant2_2_Z-Stack,1.0,175.415,696.967,300.464,2.3196
,2.0,184.688,759.425,313.675,2.4211
,3.0,201.775,732.950,327.846,2.2357
,4.0,195.139,863.972,332.737,2.5966
,5.0,211.167,933.926,373.023,2.5037
,6.0,211.891,720.402,338.955,2.1254
,7.0,201.847,760.652,319.377,2.3817
,8.0,185.918,752.347,309.566,2.4303
,9.0,188.200,822.716,331.261,2.4836
,10.0,200.536,696.914,307.441,2.2668
,11.0,222.121,838.176,370.473,2.2624
,12.0,219.687,719.218,361.885,1.9874
PIN3_WT_plant3_1_Z-Stack,1.0,166.439,701.571,269.637,2.6019
,2.0,163.297,683.164,272.894,2.5034
,3.0,156.324,627.534,255.858,2.4527
,4.0,165.291,673.990,275.999,2.4420
,5.0,207.284,715.958,330.489,2.1664
,6.0,208.879,798.535,346.042,2.3076
,7.0,158.949,664.193,268.136,2.4771
PIN3_WT_plant3_2_Z-Stack,1.0,225.534,842.694,368.845,2.2847
,2.0,206.438,631.067,304.658,2.0714
,3.0,193.555,769.184,324.621,2.3695
,4.0,212.872,807.174,356.978,2.2611
,5.0,189.835,709.511,296.502,2.3929
,6.0,230.491,753.459,364.044,2.0697
,7.0,189.622,781.152,312.526,2.4995
,8.0,227.167,672.554,336.568,1.9983
,9.0,271.458,752.871,388.776,1.9365
,10.0,193.834,755.306,312.953,2.4135
,11.0,226.538,780.003,356.308,2.1891
,12.0,167.784,678.451,276.930,2.4499
PIN3_WT_plant5_1_Z-Stack,1.0,157.790,657.352,254.629,2.5816
,2.0,247.215,605.835,347.246,1.7447
,3.0,157.038,608.740,252.507,2.4108
,4.0,154.093,594.377,244.652,2.4295
,5.0,180.720,655.566,282.500,2.3206
,6.0,155.525,626.105,242.320,2.5838
,7.0,217.883,696.290,338.387,2.0577
,8.0,162.899,650.837,258.831,2.5145
,9.0,154.347,665.080,250.770,2.6522
,10.0,155.838,626.046,249.221,2.5120
PIN3_WT_plant5_2_Z-Stack,1.0,179.768,739.329,288.348,2.5640
,2.0,194.255,752.155,295.881,2.5421
,3.0,200.993,667.126,297.485,2.2426
,4.0,226.314,736.602,345.799,2.1301
,5.0,198.298,650.608,305.783,2.1277
,6.0,219.786,773.416,340.318,2.2726
,7.0,201.414,674.745,302.681,2.2292
,8.0,176.235,691.238,272.053,2.5408
,9.0,177.322,682.182,275.772,2.4737
,10.0,169.612,674.282,263.512,2.5588
,11.0,185.923,627.346,281.667,2.2273
,12.0,208.651,681.758,327.134,2.0840
PIN3_WT_plant7_1_Z-Stack,1.0,236.245,658.942,309.603,2.1283
,2.0,197.716,528.380,248.830,2.1235
,3.0,185.572,564.242,243.332,2.3188
,4.0,175.426,497.390,223.564,2.2248
,5.0,178.249,586.878,238.789,2.4577
,6.0,161.623,467.256,204.985,2.2795
,7.0,234.046,591.934,291.239,2.0325
,8.0,183.788,501.994,230.751,2.1755
,9.0,214.341,583.761,278.509,2.0960
,10.0,200.028,577.205,259.713,2.2225
,11.0,186.236,512.384,240.708,2.1287
,12.0,168.260,487.870,217.464,2.2435
,13.0,218.152,581.168,266.476,2.1809
,14.0,160.509,522.096,211.504,2.4685
,15.0,183.996,522.459,238.532,2.1903
,16.0,184.858,550.105,243.116,2.2627
PIN3_WT_plant7_2_Z-Stack,1.0,221.355,646.405,293.541,2.2021
,2.0,197.706,620.060,255.161,2.4301
,3.0,183.656,603.781,244.301,2.4715
,4.0,194.743,684.867,267.165,2.5635
,5.0,214.367,696.665,296.839,2.3469
,6.0,246.338,656.928,326.820,2.0101
,7.0,226.414,599.572,285.942,2.0968
,8.0,206.788,652.376,267.952,2.4347
,9.0,210.685,614.875,283.636,2.1678
,10.0,195.912,655.246,263.518,2.4865
