Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant10_1_Z-Stack,1.0,213.265,520.448,219.664,2.3693
,2.0,213.011,522.844,221.876,2.3565
,3.0,221.342,508.415,223.447,2.2753
,4.0,222.148,524.228,232.995,2.2500
,5.0,243.379,555.316,249.470,2.2260
,6.0,231.789,565.705,246.665,2.2934
,7.0,262.974,566.742,268.267,2.1126
,8.0,224.723,517.965,228.064,2.2711
,9.0,210.326,420.343,208.054,2.0204
,10.0,207.951,489.942,214.436,2.2848
PIN3_WT_plant10_2_Z-Stack,1.0,238.595,548.884,246.694,2.2250
,2.0,232.483,548.651,234.180,2.3429
,3.0,232.011,546.905,234.711,2.3301
,4.0,245.824,571.118,246.090,2.3208
,5.0,249.920,557.080,248.815,2.2389
,6.0,239.514,539.313,240.135,2.2459
PIN3_WT_plant11_1_Z-Stack,1.0,222.814,558.059,234.276,2.3821
,2.0,224.834,546.199,233.600,2.3382
,3.0,210.421,606.671,229.068,2.6484
,4.0,232.572,598.521,259.049,2.3105
,5.0,223.811,503.038,239.218,2.1028
,6.0,232.211,524.086,237.291,2.2086
,7.0,200.806,540.740,209.952,2.5755
PIN3_WT_plant12_1_Z-Stack,1.0,264.656,601.358,283.854,2.1185
,2.0,277.915,713.502,318.247,2.2420
,3.0,250.532,698.925,281.107,2.4863
,4.0,245.729,646.861,275.583,2.3472
,5.0,230.764,446.652,226.028,1.9761
,6.0,260.196,616.446,277.023,2.2253
,7.0,264.356,540.576,278.015,1.9444
,8.0,251.964,684.219,270.581,2.5287
PIN3_WT_plant12_2_Z-Stack,1.0,271.199,793.360,290.327,2.7326
,2.0,278.149,694.687,298.543,2.3269
,3.0,261.959,745.953,276.638,2.6965
,4.0,255.850,565.169,264.766,2.1346
,5.0,280.867,718.579,308.061,2.3326
,6.0,283.088,822.503,325.934,2.5235
,7.0,289.737,568.693,300.691,1.8913
,8.0,238.783,536.306,242.554,2.2111
,9.0,273.991,572.490,276.277,2.0722
,10.0,262.150,658.963,277.083,2.3782
,11.0,249.020,586.339,252.663,2.3206
,12.0,249.691,595.172,255.479,2.3296
PIN3_WT_plant2_1_Z-Stack,1.0,240.712,594.505,251.451,2.3643
,2.0,232.392,535.168,235.281,2.2746
,3.0,220.776,456.892,215.058,2.1245
,4.0,229.591,501.215,237.399,2.1113
,5.0,231.490,486.026,238.693,2.0362
,6.0,212.216,448.209,215.196,2.0828
,7.0,226.469,473.661,231.598,2.0452
PIN3_WT_plant2_2_Z-Stack,1.0,214.217,413.356,205.121,2.0152
,2.0,205.329,421.582,196.046,2.1504
,3.0,209.143,406.492,199.309,2.0395
,4.0,221.095,420.757,213.345,1.9722
,5.0,216.578,413.337,206.096,2.0056
,6.0,215.859,450.078,207.471,2.1694
,7.0,215.555,462.633,212.206,2.1801
,8.0,219.534,445.476,214.431,2.0775
,9.0,218.941,447.330,218.439,2.0478
,10.0,217.450,445.091,213.914,2.0807
,11.0,220.344,484.753,218.354,2.2200
PIN3_WT_plant3_1_Z-Stack,1.0,228.422,578.736,239.415,2.4173
,2.0,242.369,642.737,258.393,2.4874
,3.0,258.582,648.940,288.968,2.2457
,4.0,238.038,531.833,243.530,2.1839
,5.0,238.395,577.690,254.890,2.2664
,6.0,237.927,605.629,247.680,2.4452
,7.0,243.229,604.390,258.739,2.3359
,8.0,263.117,624.281,286.461,2.1793
,9.0,257.658,648.556,280.971,2.3083
,10.0,237.496,523.822,247.827,2.1137
PIN3_WT_plant3_2_Z-Stack,1.0,275.954,584.497,279.732,2.0895
,2.0,257.101,612.593,266.046,2.3026
,3.0,260.806,626.034,266.996,2.3447
,4.0,269.257,661.208,277.268,2.3847
,5.0,265.237,680.129,276.883,2.4564
,6.0,273.551,695.392,299.958,2.3183
,7.0,274.758,612.013,281.896,2.1711
,8.0,263.903,694.224,278.736,2.4906
,9.0,271.630,611.760,278.086,2.1999
,10.0,264.568,671.377,281.843,2.3821
PIN3_WT_plant4_1_Z-Stack,1.0,228.427,591.819,235.530,2.5127
,2.0,218.761,563.255,225.686,2.4957
,3.0,221.967,579.293,228.423,2.5361
,4.0,223.641,543.427,225.906,2.4055
,5.0,239.174,486.125,233.695,2.0802
,6.0,252.801,548.306,249.724,2.1956
,7.0,235.656,544.347,239.815,2.2699
,8.0,224.532,500.224,226.104,2.2124
PIN3_WT_plant4_2_Z-Stack,1.0,209.299,542.808,211.679,2.5643
,2.0,210.735,457.746,208.846,2.1918
,3.0,205.432,430.417,198.321,2.1703
,4.0,231.512,492.799,234.989,2.0971
,5.0,207.219,485.912,202.599,2.3984
,6.0,223.165,573.787,232.646,2.4664
,7.0,231.764,565.195,238.375,2.3710
,8.0,227.370,496.280,225.250,2.2032
,9.0,235.442,618.857,249.729,2.4781
,10.0,220.193,510.341,218.610,2.3345
,11.0,240.897,563.585,246.570,2.2857
PIN3_WT_plant5_1_Z-Stack,1.0,234.439,644.322,245.249,2.6272
,2.0,235.812,695.575,249.984,2.7825
,3.0,219.487,594.418,228.510,2.6013
,4.0,249.536,675.302,273.521,2.4689
,5.0,228.349,585.324,233.828,2.5032
,6.0,252.903,680.797,284.562,2.3924
,7.0,217.071,616.345,229.010,2.6913
,8.0,237.734,735.789,254.992,2.8855
,9.0,257.958,775.199,301.041,2.5751
,10.0,274.625,750.686,294.799,2.5464
,11.0,249.002,677.135,274.751,2.4645
,12.0,265.188,931.385,325.901,2.8579
,13.0,268.421,864.908,320.492,2.6987
PIN3_WT_plant5_2_Z-Stack,1.0,242.091,664.751,258.274,2.5738
,2.0,234.263,837.309,263.607,3.1764
,3.0,270.105,1004.636,325.968,3.0820
,4.0,281.025,775.382,307.777,2.5193
,5.0,257.817,665.746,264.583,2.5162
,6.0,253.697,742.742,268.124,2.7701
,7.0,238.200,656.295,253.209,2.5919
,8.0,248.004,731.436,278.425,2.6270
,9.0,260.577,846.566,282.703,2.9945
,10.0,229.659,625.783,242.244,2.5833
,11.0,274.155,776.180,324.330,2.3932
,12.0,296.235,847.550,335.986,2.5226
,13.0,249.767,709.045,268.011,2.6456
,14.0,279.835,818.353,308.782,2.6503
,15.0,273.355,840.593,299.350,2.8081
,16.0,283.936,759.951,309.117,2.4585
PIN3_WT_plant6_1_Z-Stack,1.0,227.819,537.261,236.615,2.2706
,2.0,229.100,621.943,252.555,2.4626
,3.0,213.074,538.606,224.589,2.3982
,4.0,225.868,565.423,245.190,2.3061
,5.0,219.116,574.968,232.954,2.4682
,6.0,222.389,666.833,249.654,2.6710
,7.0,236.980,637.342,256.651,2.4833
,8.0,231.652,533.255,243.485,2.1901
,9.0,236.542,648.370,256.672,2.5261
PIN3_WT_plant6_2_Z-Stack,1.0,274.302,640.714,300.036,2.1355
,2.0,258.813,678.153,288.626,2.3496
,3.0,233.490,587.343,253.466,2.3172
,4.0,237.152,562.272,249.105,2.2572
,5.0,269.618,589.433,300.715,1.9601
,6.0,239.919,597.994,268.976,2.2232
,7.0,235.914,583.235,242.529,2.4048
,8.0,257.184,546.576,268.039,2.0392
,9.0,234.174,586.645,247.059,2.3745
PIN3_WT_plant7_1_Z-Stack,1.0,222.459,572.514,226.796,2.5244
,2.0,230.859,573.552,239.748,2.3923
,3.0,253.635,602.182,273.087,2.2051
,4.0,257.404,677.024,277.970,2.4356
,5.0,254.673,592.867,268.265,2.2100
