Image,ROI,Area,Mean
mDII-V_arpc5_2_plant1_1_Z-Stack,1,55.836,3699.000
,2,58.857,4591.944
,3,49.440,4435.989
,4,66.679,5352.808
,5,53.403,5947.071
,6,66.208,5234.248
,7,69.426,4566.021
,8,63.854,5415.324
,9,67.555,3066.867
,10,68.052,3322.674
,11,58.674,3289.419
,12,72.146,3289.583
,13,64.155,4413.237
,14,64.861,4060.611
,15,70.119,4407.411
,16,85.945,4726.409
,17,73.899,3461.632
mDII-V_arpc5_2_plant1_2_Z-Stack,1,57.589,4709.638
,2,67.895,5287.296
,3,66.038,3943.546
,4,64.756,3706.385
,5,66.483,3868.331
,6,74.487,4750.975
,7,57.576,2985.662
,8,64.455,4253.781
,9,72.761,3236.548
,10,65.593,2949.604
,11,68.942,4452.178
,12,59.211,3471.386
,13,76.044,5645.953
,14,78.215,4170.116
,15,57.602,2995.356
,16,63.161,3686.402
,17,70.891,4473.190
,18,60.505,3630.323
mDII-V_arpc5_2_plant2_1_Z-Stack,1,53.691,3928.871
,2,59.838,5068.063
,3,55.339,4431.980
,4,60.048,4811.380
,5,49.074,3641.592
,6,49.231,3244.053
,7,55.967,2801.262
,8,45.843,3797.199
,9,60.335,2230.348
,10,52.122,4214.583
,11,59.472,2541.740
,12,66.156,6348.179
,13,74.579,3778.589
,14,75.848,2505.703
mDII-V_arpc5_2_plant2_2_Z-Stack,1,42.704,2575.726
,2,59.681,3017.785
,3,57.327,2326.372
,4,57.340,2119.948
,5,59.891,2421.334
,6,68.340,2396.452
,7,73.611,2231.095
,8,51.101,2643.019
,9,75.429,3532.500
,10,55.588,2292.680
,11,59.472,3035.972
,12,80.347,3535.279
,13,67.765,2649.780
,14,65.279,1729.887
,15,43.371,2268.689
mDII-V_arpc5_2_plant3_1_Z-Stack,1,39.696,3408.150
,2,43.306,2888.157
,3,51.206,4003.435
,4,33.967,2837.562
,5,76.946,4346.657
,6,47.125,3314.207
,7,67.359,3388.860
,8,68.889,3031.742
,9,58.374,3503.064
