Image,ROI,Area,Mean
DII-V_arpc4_1_plant1_1_Z-Stack,1,51.219,137.580
,2,44.535,120.730
,3,61.356,137.742
,4,49.597,113.653
,5,67.124,108.062
,6,69.282,122.766
,7,56.189,130.446
,8,61.460,132.428
,9,46.890,131.371
,10,52.383,117.999
,11,54.764,100.990
,12,66.182,122.022
,13,50.735,125.769
,14,53.560,118.192
,15,42.037,100.423
,16,57.602,123.777
DII-V_arpc4_1_plant1_2_Z-Stack,1,61.146,128.127
,2,66.810,156.017
,3,53.024,123.451
,4,69.439,130.501
,5,53.050,142.658
,6,68.353,168.346
,7,79.078,148.776
,8,62.572,130.945
,9,62.114,128.093
,10,73.428,162.148
,11,51.755,113.840
,12,44.771,102.077
,13,64.822,129.825
,14,70.891,137.788
,15,67.333,129.246
DII-V_arpc4_1_plant2_1_Z-Stack,1,50.722,105.508
,2,46.563,100.550
,3,48.812,117.043
,4,52.265,111.693
,5,50.199,107.298
,6,54.581,109.026
,7,65.397,104.132
,8,66.561,106.439
,9,60.322,104.301
,10,66.143,95.733
,11,80.779,105.268
,12,65.279,99.423
,13,70.864,108.952
,14,79.131,93.140
,15,80.792,92.297
DII-V_arpc4_1_plant2_2_Z-Stack,1,57.471,121.069
,2,33.366,103.698
,3,26.996,98.911
,4,46.327,107.438
,5,46.877,101.762
,6,26.159,102.924
,7,50.578,115.188
,8,76.188,99.320
,9,69.700,96.608
DII-V_arpc4_1_plant3_1_Z-Stack,1,50.683,235.783
,2,66.457,188.317
,3,62.153,292.376
,4,62.324,226.690
,5,55.444,252.032
,6,54.633,214.395
,7,52.645,204.836
,8,62.206,185.177
,9,80.491,255.110
,10,65.633,208.799
,11,68.052,327.448
,12,67.503,281.369
,13,74.631,291.971
,14,52.370,292.728
,15,77.404,266.400
,16,70.891,240.258
DII-V_arpc4_1_plant3_2_Z-Stack,1,41.998,221.102
,2,53.325,262.945
,3,60.715,189.262
,4,61.722,190.525
,5,60.192,171.753
,6,60.898,229.077
,7,66.457,248.110
,8,64.312,190.791
,9,71.898,205.133
,10,57.380,159.598
,11,52.959,155.787
,12,53.835,219.818
,13,49.833,186.120
,14,73.794,181.069
DII-V_arpc4_1_plant5_1_Z-Stack,1,52.239,182.552
,2,52.161,179.692
,3,60.649,181.668
,4,69.740,218.996
,5,56.961,257.761
,6,44.078,121.825
,7,54.136,206.042
,8,55.169,164.486
,9,77.195,170.437
,10,91.739,289.785
,11,78.777,186.460
,12,66.522,194.429
,13,82.270,200.128
,14,92.184,189.179
,15,68.850,161.255
,16,72.669,121.125
DII-V_arpc4_1_plant5_2_Z-Stack,1,66.967,163.490
,2,43.201,179.676
,3,63.553,141.645
,4,47.491,162.173
,5,54.018,168.707
,6,67.712,176.600
,7,71.636,209.225
,8,69.282,161.722
,9,58.465,134.051
,10,76.528,167.068
,11,85.801,198.729
,12,77.326,156.026
,13,79.667,186.240
,14,83.303,192.503
DII-V_arpc4_1_plant6_1_Z-Stack,1,61.500,117.476
,2,42.992,117.163
,3,64.560,97.839
,4,56.359,114.656
,5,67.581,105.466
,6,67.843,108.413
,7,66.300,119.924
,8,50.330,119.841
,9,72.970,103.630
,10,58.256,108.098
,11,69.099,94.944
,12,69.400,101.594
,13,59.381,97.649
,14,91.883,102.457
,15,75.076,98.474
,16,66.679,88.019
DII-V_arpc4_1_plant6_2_Z-Stack,1,43.385,93.701
,2,54.581,99.551
,3,49.558,96.855
,4,38.990,88.709
,5,52.893,95.815
,6,64.416,94.879
,7,63.448,85.225
,8,63.043,83.095
,9,56.490,75.806
,10,46.105,73.022
DII-V_arpc4_1_plant7_1_Z-Stack,1,70.917,107.527
,2,83.460,101.836
,3,61.604,88.939
,4,63.435,104.319
,5,62.860,111.577
,6,89.071,113.314
,7,45.373,90.020
,8,76.397,103.259
,9,72.212,108.483
,10,71.584,115.232
,11,52.658,110.450
,12,79.235,116.522
,13,50.225,100.491
,14,87.227,95.729
,15,65.515,90.973
,16,63.671,106.759
,17,79.994,106.826
DII-V_arpc4_1_plant7_2_Z-Stack,1,64.874,88.448
,2,55.391,107.898
,3,64.547,104.781
,4,63.828,105.668
,5,58.504,94.617
,6,75.848,113.136
,7,52.776,99.061
,8,62.441,104.839
,9,77.718,109.401
,10,73.088,109.968
,11,61.630,99.978
,12,50.447,92.356
,13,87.475,102.199
,14,100.659,104.289
,15,93.309,104.679
DII-V_arpc4_1_plant8_1_Z-Stack,1,53.495,215.036
,2,69.910,214.007
,3,70.564,232.081
,4,50.526,169.076
,5,73.193,285.028
,6,68.235,223.359
,7,45.530,169.199
,8,55.064,252.029
,9,61.055,210.717
,10,62.690,336.768
,11,56.739,241.067
,12,45.111,188.714
,13,61.630,285.517
,14,73.611,313.111
DII-V_arpc4_1_plant8_2_Z-Stack,1,50.709,151.051
,2,43.908,144.923
,3,52.540,154.415
,4,56.320,140.926
,5,61.107,158.497
,6,48.695,147.983
,7,62.376,209.073
,8,53.887,164.626
,9,48.525,154.994
,10,51.075,157.394
,11,73.297,202.796
,12,51.821,111.256
,13,58.033,114.392
