Image,ROI,Area,Mean
DII-V_WT_plant1_1_Z-Stack,1,49.074,158.076
,2,71.074,151.975
,3,50.565,161.891
,4,58.138,137.770
,5,78.895,135.414
,6,74.487,144.467
,7,62.206,140.762
,8,65.436,138.724
,9,66.339,139.002
,10,67.111,142.544
,11,45.595,134.111
,12,47.361,130.461
,13,48.172,163.021
,14,58.557,139.133
,15,70.080,158.281
,16,45.660,133.079
,17,45.006,130.227
DII-V_WT_plant1_2_Z-Stack,1,56.006,139.409
,2,54.214,122.296
,3,36.714,122.989
,4,43.411,136.828
,5,53.783,138.629
,6,31.652,120.789
,7,70.734,132.932
,8,61.290,142.211
,9,47.047,138.160
,10,46.694,146.690
,11,51.494,150.614
,12,72.604,136.609
,13,60.466,121.927
,14,49.859,126.953
,15,71.414,141.951
,16,65.907,134.005
DII-V_WT_plant2_1_Z-Stack,1,49.937,120.392
,2,64.089,135.661
,3,58.413,129.174
,4,43.332,132.599
,5,51.324,123.642
,6,41.697,118.941
,7,58.321,146.519
,8,55.234,134.183
,9,59.459,127.543
,10,64.769,135.488
,11,73.716,129.416
,12,52.122,152.729
,13,62.271,167.249
,14,59.865,146.800
,15,64.573,138.309
,16,55.195,130.271
DII-V_WT_plant2_2_Z-Stack,1,48.826,146.297
,2,58.086,132.985
,3,55.457,135.884
,4,43.162,105.562
,5,52.919,175.859
,6,47.910,125.622
,7,67.045,129.369
,8,61.853,129.258
,9,54.149,119.554
,10,70.263,150.546
,11,68.419,153.506
,12,55.535,133.665
,13,62.219,136.958
DII-V_WT_plant3_1_Z-Stack,1,48.420,148.264
,2,44.091,173.159
,3,63.919,176.284
,4,54.737,172.442
,5,64.403,204.493
,6,54.528,162.375
,7,48.629,200.724
,8,50.892,279.563
,9,54.476,211.394
,10,42.011,129.483
,11,72.355,158.294
,12,59.498,169.707
,13,49.898,191.259
,14,67.084,188.927
,15,75.024,226.723
,16,43.659,169.738
DII-V_WT_plant3_2_Z-Stack,1,48.158,184.326
,2,46.916,186.862
,3,58.374,202.318
,4,48.499,224.265
,5,58.517,159.092
,6,46.981,172.374
,7,39.264,172.626
,8,54.384,157.350
,9,67.908,165.975
,10,52.606,191.830
,11,60.349,181.437
,12,66.614,190.711
,13,45.203,141.242
,14,60.401,161.165
,15,59.472,172.622
,16,59.145,169.195
,17,69.753,160.037
DII-V_WT_plant4_1_Z-Stack,1,50.866,152.386
,2,59.472,144.837
,3,68.366,165.708
,4,43.541,149.998
,5,41.985,150.022
,6,67.712,153.754
,7,60.492,159.946
,8,35.210,149.095
,9,61.447,149.122
,10,32.280,137.432
,11,40.782,118.550
,12,47.936,168.933
,13,66.391,157.001
,14,61.735,141.433
,15,81.799,138.857
,16,79.628,135.861
DII-V_WT_plant4_2_Z-Stack,1,63.553,114.498
,2,56.372,127.879
,3,61.905,118.966
,4,47.858,123.153
,5,53.953,128.928
,6,42.338,130.257
,7,61.840,103.398
,8,63.488,120.586
,9,63.671,138.590
,10,87.985,120.115
,11,75.481,121.030
,12,75.011,128.047
,13,88.705,137.490
DII-V_WT_plant4_3_Z-Stack,1,47.858,180.850
,2,54.057,114.033
,3,61.683,148.059
,4,65.476,126.958
,5,58.871,140.721
,6,50.539,140.360
,7,63.396,138.773
,8,54.803,137.571
,9,53.691,142.078
,10,76.606,160.226
,11,42.377,150.353
,12,76.554,137.092
,13,91.621,147.446
,14,75.377,132.414
,15,69.857,141.290
DII-V_WT_plant5_1_Z-Stack,1,62.781,159.683
,2,62.794,196.348
,3,46.105,198.872
,4,42.861,171.289
,5,57.798,190.482
,6,52.187,154.388
,7,45.373,173.302
,8,54.581,212.286
,9,46.537,198.391
,10,64.796,159.521
,11,48.629,180.821
,12,53.338,190.459
,13,70.263,193.881
,14,61.905,173.373
,15,59.603,156.502
,16,72.630,178.952
,17,45.608,190.270
,18,70.904,197.394
DII-V_WT_plant5_2_Z-Stack,1,57.811,193.849
,2,55.614,176.768
,3,49.349,156.654
,4,60.492,168.500
,5,69.687,188.965
,6,67.634,179.285
,7,56.124,187.486
,8,61.761,194.490
,9,66.797,200.999
,10,52.684,153.713
,11,62.153,160.464
,12,60.270,157.891
DII-V_WT_plant6_1_Z-Stack,1,62.219,105.008
,2,39.853,125.488
,3,61.199,109.110
,4,70.891,151.094
,5,53.861,132.744
,6,48.629,145.673
,7,74.200,112.696
,8,51.258,125.731
,9,74.017,157.008
,10,60.989,121.495
,11,59.485,148.584
,12,81.733,150.517
,13,69.936,121.969
,14,63.304,122.065
,15,58.687,128.705
DII-V_WT_plant6_2_Z-Stack,1,70.354,147.566
,2,57.654,119.284
,3,56.529,100.428
,4,46.367,114.120
,5,61.277,116.248
,6,38.794,95.716
,7,56.503,112.586
,8,61.696,119.765
,9,53.534,128.543
,10,51.912,114.400
,11,37.590,104.331
,12,60.885,112.631
,13,67.254,107.245
