Image,ROI,Area,Mean
DII-V_arpc5_2_plant1_1_Z-Stack,1,58.831,220.867
,2,83.565,220.201
,3,59.642,292.986
,4,78.450,261.953
,5,67.032,263.138
,6,55.104,219.232
,7,85.683,247.459
,8,61.264,284.998
,9,57.380,286.077
,10,76.384,252.873
,11,79.523,266.769
,12,57.550,214.182
,13,65.136,277.266
,14,73.716,346.589
,15,73.572,215.327
DII-V_arpc5_2_plant1_2_Z-Stack,1,59.028,179.749
,2,76.711,236.345
,3,64.547,170.578
,4,49.820,173.046
,5,75.076,168.092
,6,48.132,212.768
,7,71.492,187.947
,8,56.935,209.974
,9,71.414,177.013
,10,80.700,221.928
,11,55.038,144.252
DII-V_arpc5_2_plant2_1_Z-Stack,1,56.229,184.928
,2,52.592,155.071
,3,63.501,159.465
,4,47.714,143.717
,5,91.700,227.719
,6,59.538,256.021
,7,56.490,196.027
,8,57.942,186.740
,9,75.861,178.134
,10,64.756,155.314
,11,34.334,120.570
,12,89.882,297.619
,13,78.019,254.766
,14,68.105,123.426
,15,79.013,168.919
DII-V_arpc5_2_plant2_2_Z-Stack,1,73.258,145.949
,2,64.482,170.837
,3,94.434,252.319
,4,96.134,191.844
,5,60.532,176.080
,6,70.747,178.256
,7,81.040,140.887
,8,61.539,203.606
,9,67.765,134.595
,10,56.961,113.778
,11,51.847,154.980
DII-V_arpc5_2_plant3_1_Z-Stack,1,77.247,160.243
,2,73.402,139.865
,3,49.218,142.061
,4,49.911,133.590
,5,83.931,184.294
,6,87.737,147.725
,7,59.590,123.188
,8,48.878,134.526
,9,59.001,178.661
,10,80.635,195.931
,11,65.450,156.335
,12,63.383,145.953
,13,56.346,117.960
,14,61.840,157.504
,15,88.365,175.839
,16,74.422,158.105
DII-V_arpc5_2_plant3_2_Z-Stack,1,48.708,150.050
,2,37.146,116.604
,3,57.393,129.951
,4,54.489,124.007
,5,47.112,131.317
,6,83.277,174.046
,7,86.455,142.813
,8,74.435,165.681
,9,59.668,149.030
,10,65.018,107.452
,11,94.447,152.195
,12,68.863,201.333
,13,77.156,173.288
,14,62.651,138.054
,15,85.304,167.192
DII-V_arpc5_2_plant4_1_Z-Stack,1,46.367,156.542
,2,49.650,162.427
,3,60.584,177.931
,4,66.901,160.402
,5,42.273,118.148
,6,74.631,137.857
,7,73.245,165.126
,8,65.240,160.566
,9,88.169,189.253
,10,66.208,112.855
,11,75.808,178.263
,12,74.906,168.660
,13,66.587,148.704
,14,78.163,169.530
,15,49.885,118.573
,16,50.212,141.229
,17,79.078,157.593
,18,58.020,143.515
DII-V_arpc5_2_plant4_2_Z-Stack,1,47.217,165.575
,2,40.664,137.397
,3,46.602,144.822
,4,41.776,136.345
,5,52.736,168.862
,6,52.566,124.309
,7,38.990,153.610
,8,54.227,150.695
,9,43.738,107.308
,10,60.492,135.305
,11,67.084,148.883
,12,61.709,186.237
,13,66.627,124.558
,14,49.218,115.609
,15,62.690,148.086
,16,79.209,141.617
DII-V_arpc5_2_plant5_1_Z-Stack,1,50.068,145.117
,2,62.428,140.205
,3,50.330,169.927
,4,40.429,142.017
,5,71.518,144.068
,6,52.619,119.593
,7,58.400,162.475
,8,43.424,138.188
,9,63.867,151.737
,10,51.638,136.536
,11,56.150,105.205
,12,67.621,133.278
,13,74.330,147.113
,14,66.797,141.817
,15,77.326,151.260
,16,60.558,146.063
,17,79.458,135.613
,18,65.476,133.518
DII-V_arpc5_2_plant5_2_Z-Stack,1,70.302,127.425
,2,71.545,107.834
,3,77.339,111.964
,4,48.786,106.292
,5,34.896,118.135
,6,27.401,94.442
,7,59.368,121.270
,8,49.872,110.034
,9,55.771,102.797
,10,70.080,120.286
,11,51.625,112.414
DII-V_arpc5_2_plant6_1_Z-Stack,1,54.894,105.058
,2,54.659,148.316
,3,57.471,118.759
,4,35.694,101.272
,5,76.227,150.904
,6,55.902,117.359
,7,55.718,140.810
,8,76.188,149.140
,9,59.590,108.875
,10,66.143,152.767
,11,42.639,98.554
