Image,ROI,Area,Mean
DII-V_arpc5_3_plant1_1_Z-Stack,1,49.519,177.338
,2,74.566,185.361
,3,77.273,198.880
,4,82.400,163.456
,5,67.922,175.234
,6,51.572,152.984
,7,70.629,187.029
,8,85.082,262.861
,9,72.447,261.956
,10,70.982,172.752
,11,78.097,230.176
,12,59.969,185.667
,13,83.800,174.344
,14,47.321,196.979
,15,83.604,203.026
,16,58.701,156.086
DII-V_arpc5_3_plant1_2_Z-Stack,1,51.324,201.488
,2,56.281,206.923
,3,63.618,149.342
,4,52.972,179.500
,5,91.308,155.267
,6,55.287,144.805
,7,60.100,169.036
,8,70.132,140.357
,9,68.523,134.541
,10,74.762,189.390
DII-V_arpc5_3_plant2_1_Z-Stack,1,50.447,243.304
,2,54.620,227.517
,3,72.709,259.434
,4,55.705,237.112
,5,54.607,252.785
,6,62.520,236.888
,7,64.521,312.755
,8,82.518,304.950
,9,69.203,223.082
,10,68.615,170.612
,11,60.649,222.090
,12,51.141,162.534
,13,71.728,183.500
,14,53.665,347.105
,15,73.297,281.844
DII-V_arpc5_3_plant2_2_Z-Stack,1,55.248,145.721
,2,49.388,163.705
,3,51.088,160.095
,4,61.133,176.271
,5,68.772,161.613
,6,54.240,202.872
,7,66.993,159.517
,8,70.877,145.505
,9,71.741,148.242
,10,48.721,115.737
,11,68.445,153.868
,12,69.556,158.859
,13,79.601,184.120
,14,73.925,154.813
,15,53.861,148.336
,16,59.198,194.095
DII-V_arpc5_3_plant3_1_Z-Stack,1,50.774,286.114
,2,77.574,454.843
,3,63.017,363.018
,4,64.246,346.850
,5,53.338,364.304
,6,69.321,337.009
,7,57.602,318.522
,8,62.402,409.776
,9,48.172,308.196
,10,53.927,428.950
,11,37.603,307.295
,12,66.260,416.273
,13,87.410,365.327
,14,87.135,313.982
DII-V_arpc5_3_plant3_2_Z-Stack,1,48.054,173.368
,2,58.256,169.026
,3,70.734,250.942
,4,65.790,256.004
,5,54.842,147.746
,6,83.107,204.038
,7,70.864,188.710
,8,67.071,217.969
,9,55.967,186.562
DII-V_arpc5_3_plant4_1_Z-Stack,1,48.302,116.170
,2,53.783,97.185
,3,54.397,101.969
,4,58.308,96.162
,5,75.455,113.276
,6,58.805,132.159
,7,57.144,107.394
,8,48.525,104.358
,9,70.812,124.458
,10,74.736,105.302
,11,73.428,104.927
,12,52.279,104.135
,13,52.906,92.767
,14,110.116,91.660
DII-V_arpc5_3_plant4_2_Z-Stack,1,62.755,98.112
,2,65.436,110.798
,3,62.428,98.122
,4,51.324,106.259
,5,63.370,101.612
,6,37.054,80.862
,7,57.079,84.652
DII-V_arpc5_3_plant5_1_Z-Stack,1,52.606,257.299
,2,65.999,247.220
,3,49.362,193.742
,4,50.892,206.622
,5,42.887,205.643
,6,79.628,264.572
,7,73.847,222.079
,8,54.489,241.308
,9,78.398,239.760
,10,62.991,257.177
,11,70.407,203.172
,12,58.374,274.345
,13,87.554,259.982
DII-V_arpc5_3_plant5_2_Z-Stack,1,51.311,132.287
,2,52.122,230.811
,3,44.993,192.576
,4,47.583,190.050
,5,66.077,195.735
,6,45.438,159.092
,7,55.038,238.358
,8,36.021,158.746
,9,68.065,204.440
,10,68.602,234.545
,11,80.478,207.492
,12,66.967,211.446
,13,74.592,267.365
,14,81.197,198.506
,15,62.114,190.268
,16,60.623,190.651
DII-V_arpc5_3_plant6_1_Z-Stack,1,55.915,248.492
,2,54.567,232.670
,3,50.421,216.882
,4,66.430,227.102
,5,72.996,225.350
,6,71.309,272.295
,7,60.715,188.476
,8,80.792,286.115
,9,72.434,191.864
,10,65.855,232.992
,11,79.536,234.090
,12,65.855,284.098
,13,78.477,263.044
,14,74.003,145.527
DII-V_arpc5_3_plant6_2_Z-Stack,1,68.445,275.209
,2,51.821,184.983
,3,97.573,182.257
,4,77.522,191.154
,5,75.547,250.859
,6,51.664,137.083
,7,77.953,162.165
,8,78.307,183.282
,9,84.271,185.743
,10,70.237,170.153
,11,72.002,231.132
,12,49.571,162.030
,13,41.501,130.267
,14,63.344,158.265
,15,68.876,194.059
,16,70.537,167.908
DII-V_arpc5_3_plant7_1_Z-Stack,1,55.365,186.426
,2,64.966,185.520
,3,80.687,162.096
,4,80.569,195.983
,5,58.400,159.887
,6,70.825,192.780
,7,57.863,190.638
,8,77.339,177.424
,9,72.382,157.616
,10,76.606,186.700
,11,76.319,178.821
,12,71.231,153.887
,13,75.743,177.233
,14,86.651,174.010
,15,63.108,184.896
,16,63.331,182.223
DII-V_arpc5_3_plant8_1_Z-Stack,1,46.694,130.791
,2,48.852,157.483
,3,66.784,224.466
,4,79.889,171.428
,5,44.038,158.990
,6,50.173,145.873
,7,93.596,156.738
,8,36.008,130.605
,9,40.128,158.056
,10,69.805,188.954
,11,48.015,167.915
,12,70.446,162.349
,13,95.140,177.572
,14,83.198,159.864
,15,61.343,155.529
DII-V_arpc5_3_plant8_2_Z-Stack,1,74.592,85.443
,2,63.972,108.665
,3,61.565,95.023
,4,87.397,133.777
,5,34.307,84.646
,6,71.165,98.332
,7,45.556,80.159
,8,67.006,97.401
,9,55.012,88.331
,10,72.199,95.476
,11,74.814,78.081
