Image,ROI,Area,Mean
DII-V_WT_plant1_1_Z-Stack,1,35.458,120.744
,2,55.692,124.105
,3,40.612,132.849
,4,53.600,126.729
,5,45.713,109.296
,6,50.487,131.914
,7,48.237,110.842
,8,37.564,102.055
,9,74.841,114.112
,10,62.140,120.727
,11,66.247,106.475
,12,93.440,122.247
,13,57.746,120.437
,14,55.234,121.162
,15,76.554,105.077
DII-V_WT_plant1_2_Z-Stack,1,54.489,120.503
,2,49.872,121.981
,3,46.471,115.698
,4,77.849,122.848
,5,65.044,130.570
,6,84.572,119.382
,7,61.892,133.536
,8,53.521,111.349
,9,84.977,111.808
,10,65.136,110.332
,11,52.265,118.003
,12,47.648,117.377
,13,93.989,113.106
DII-V_WT_plant2_1_Z-Stack,1,42.037,131.232
,2,46.851,150.279
,3,35.537,132.775
,4,37.433,126.672
,5,56.804,143.908
,6,52.004,132.154
,7,58.530,129.107
,8,61.303,136.923
,9,79.667,131.925
,10,66.653,130.262
,11,62.441,139.050
,12,83.303,106.343
DII-V_WT_plant2_2_Z-Stack,1,46.851,156.676
,2,56.791,148.288
,3,64.756,149.959
,4,53.678,132.115
,5,62.978,135.366
,6,61.513,128.801
,7,50.905,129.980
,8,42.312,114.625
,9,55.993,121.862
,10,50.382,135.771
,11,67.124,159.182
,12,74.200,138.029
,13,57.811,128.585
,14,49.820,141.154
DII-V_WT_plant3_1_Z-Stack,1,59.655,294.383
,2,44.091,229.299
,3,55.012,241.443
,4,45.072,240.917
,5,56.608,207.486
,6,63.291,232.951
,7,56.045,242.750
,8,53.979,238.511
,9,46.654,242.763
,10,60.401,326.496
,11,60.349,235.271
,12,49.480,188.125
,13,54.907,257.265
DII-V_WT_plant3_2_Z-Stack,1,57.654,168.498
,2,53.547,159.797
,3,62.023,147.963
,4,60.702,154.879
,5,46.432,134.640
,6,56.425,177.511
,7,50.918,142.952
,8,61.042,158.675
,9,61.513,144.494
,10,63.134,155.557
,11,64.730,163.533
,12,61.774,193.189
,13,65.293,181.244
DII-V_WT_plant4_1_Z-Stack,1,50.683,214.395
,2,59.354,229.437
,3,54.737,256.679
,4,58.962,235.424
,5,41.056,192.925
,6,52.435,232.330
,7,55.287,269.573
,8,62.572,254.056
,9,63.082,260.998
,10,46.210,217.038
,11,55.535,197.945
,12,61.748,268.502
,13,56.817,215.727
,14,53.076,230.949
DII-V_WT_plant4_2_Z-Stack,1,64.992,209.610
,2,55.575,184.811
,3,57.131,142.145
,4,51.873,178.363
,5,57.981,188.872
,6,74.252,195.058
,7,62.807,168.450
,8,61.042,181.053
,9,60.427,163.015
,10,54.881,147.050
,11,52.056,156.753
,12,51.036,173.283
,13,53.547,154.269
DII-V_WT_plant5_1_Z-Stack,1,58.007,202.248
,2,47.021,181.185
,3,60.008,209.139
,4,62.363,180.072
,5,56.569,225.543
,6,39.591,167.438
,7,68.052,197.831
,8,68.850,157.273
,9,75.246,191.471
,10,62.598,149.763
,11,62.637,178.106
DII-V_WT_plant5_2_Z-Stack,1,64.665,150.763
,2,67.058,184.408
,3,63.004,132.953
,4,54.999,124.408
,5,50.199,163.041
,6,60.035,138.246
,7,70.917,142.081
,8,57.837,152.472
,9,39.670,138.080
,10,71.388,131.733
DII-V_WT_plant6_1_Z-Stack,1,64.115,153.899
,2,49.715,163.954
,3,61.094,178.684
,4,58.321,176.303
,5,57.026,143.490
,6,49.532,156.760
,7,74.762,169.477
,8,76.096,165.042
,9,63.304,162.834
,10,47.060,155.509
,11,54.947,154.538
,12,54.410,142.806
,13,56.896,146.911
,14,70.263,165.761
,15,64.586,145.580
,16,65.397,144.905
DII-V_WT_plant6_2_Z-Stack,1,55.823,149.526
,2,56.686,126.279
,3,64.024,147.775
,4,29.324,116.400
,5,47.151,139.884
,6,54.175,148.662
,7,62.834,154.222
,8,62.585,150.815
,9,58.779,145.147
,10,56.896,133.191
,11,60.519,153.458
,12,54.005,131.426
,13,43.868,141.142
,14,45.974,122.242
,15,55.287,132.103
,16,51.023,114.735
DII-V_WT_plant7_1_Z-Stack,1,55.915,125.626
,2,78.869,111.800
,3,66.221,155.286
,4,52.501,118.059
,5,58.047,124.779
,6,53.770,112.883
,7,63.030,131.635
,8,79.405,140.680
,9,72.748,103.086
,10,83.656,132.219
,11,81.354,106.919
,12,77.352,105.310
,13,64.102,110.860
DII-V_WT_plant7_2_Z-Stack,1,58.073,141.855
,2,62.363,114.318
,3,69.988,133.221
,4,55.640,107.152
,5,78.882,118.959
,6,54.136,120.307
,7,65.358,108.517
,8,80.609,117.913
,9,66.901,125.249
,10,65.384,112.846
,11,58.374,103.863
,12,75.599,104.763
,13,95.571,110.258
,14,81.642,110.500
,15,72.774,111.783
DII-V_WT_plant8_1_Z-Stack,1,50.147,175.414
,2,57.720,215.498
,3,59.590,153.589
,4,90.758,215.120
,5,61.382,213.587
,6,78.974,230.247
,7,43.502,157.173
,8,93.976,191.488
,9,84.519,178.500
,10,72.199,171.336
,11,61.983,186.303
,12,79.353,182.841
,13,63.226,166.668
,14,65.306,162.405
,15,48.708,177.123
,16,60.911,203.485
,17,82.165,164.452
DII-V_WT_plant8_2_Z-Stack,1,59.852,204.865
,2,75.926,196.092
,3,73.624,174.787
,4,57.903,159.692
,5,52.030,176.079
,6,69.936,208.653
,7,72.460,189.969
,8,81.812,203.191
,9,50.578,165.063
,10,85.919,186.215
,11,90.784,218.604
,12,68.510,177.770
,13,78.621,173.510
,14,72.709,139.579
