Image,ROI,Area,Mean
mDII-V_arpc4_1_plant1_1_Z-Stack,1,57.262,8128.409
,2,58.622,8830.539
,3,75.285,6091.631
,4,68.235,5927.096
,5,69.883,6827.251
,6,50.670,8404.015
,7,52.959,7417.933
,8,72.630,7965.532
,9,73.572,7205.970
,10,69.661,7044.371
,11,66.496,6229.500
,12,67.948,7541.533
,13,52.030,6094.088
,14,73.964,7272.859
,15,73.480,6808.453
,16,69.988,7236.672
,17,59.838,6445.103
,18,45.778,6608.475
mDII-V_arpc4_1_plant1_2_Z-Stack,1,48.577,7724.701
,2,53.586,8760.309
,3,62.677,9485.672
,4,40.468,7877.363
,5,68.628,8899.935
,6,76.423,7508.810
,7,64.966,6629.511
,8,57.536,7706.642
,9,34.647,6311.454
,10,42.731,7535.769
,11,79.667,8083.430
,12,68.497,7349.862
,13,71.257,8042.057
,14,48.577,8802.700
,15,70.982,9332.538
,16,58.962,8065.653
,17,57.445,7349.145
,18,66.077,8391.661
,19,59.407,8362.024
,20,60.270,6587.407
,21,72.107,10539.171
,22,63.082,8513.155
,23,43.097,6083.861
mDII-V_arpc4_1_plant2_1_Z-Stack,1,48.708,6392.238
,2,73.088,8596.684
,3,85.448,11706.379
,4,68.105,10230.747
,5,88.142,7479.206
,6,76.502,8970.423
,7,61.016,12563.779
,8,62.114,12073.972
,9,76.776,9133.649
,10,48.158,12866.048
,11,67.346,5880.389
,12,46.576,9872.349
,13,87.096,8271.703
,14,79.235,8051.587
,15,92.275,8820.192
,16,69.962,10526.718
,17,91.177,12920.631
,18,78.869,8570.810
mDII-V_arpc4_1_plant2_2_Z-Stack,1,49.009,8236.441
,2,48.760,8186.358
,3,50.644,10200.175
,4,61.225,8231.427
,5,50.055,6865.059
,6,71.178,6318.193
,7,69.295,6517.166
,8,58.504,11025.885
,9,71.191,6797.110
,10,75.547,7562.477
,11,62.206,5867.251
,12,64.011,8090.136
,13,78.725,8851.576
,14,90.745,8558.033
,15,49.950,8519.229
,16,55.784,9592.361
,17,59.825,10349.826
,18,65.567,7064.573
,19,72.264,5251.637
mDII-V_arpc4_1_plant3_1_Z-Stack,1,52.357,6964.435
,2,52.239,9451.946
,3,56.098,8960.259
,4,47.256,6658.201
,5,37.826,9104.074
,6,60.571,11499.252
,7,57.837,5718.718
,8,51.128,9604.798
,9,69.596,7094.867
,10,59.773,8187.470
,11,51.101,11312.233
,12,45.516,12932.776
,13,61.997,8865.142
,14,64.469,7507.218
,15,69.086,7947.401
,16,65.894,7974.444
,17,61.918,6503.474
,18,60.440,7681.279
,19,64.809,7929.610
,20,66.195,6150.029
mDII-V_arpc4_1_plant3_2_Z-Stack,1,49.440,11111.492
,2,49.924,6934.542
,3,69.583,8582.803
,4,48.656,5683.131
,5,56.045,7893.651
,6,48.420,8011.018
,7,47.217,7247.044
,8,56.503,9554.662
,9,62.167,6167.060
,10,52.383,7577.594
,11,56.045,8754.624
,12,46.105,7044.306
,13,54.554,8705.168
,14,45.137,5823.673
,15,46.118,9401.985
,16,53.416,7874.451
,17,48.773,9215.478
,18,55.104,5452.093
mDII-V_arpc4_1_plant4_1_Z-Stack,1,55.980,7122.343
,2,51.755,12318.456
,3,53.913,13013.334
,4,51.925,13639.405
,5,47.779,7827.737
,6,67.150,9925.936
,7,75.926,14319.073
,8,41.318,5960.813
,9,65.567,8305.870
,10,62.337,10185.810
,11,54.227,9980.613
,12,54.358,10002.623
,13,63.056,11648.502
,14,69.151,6844.953
,15,54.999,8481.357
,16,59.485,11053.981
,17,62.193,7860.714
,18,54.724,13234.079
,19,60.257,11509.818
,20,67.451,11768.621
mDII-V_arpc4_1_plant4_2_Z-Stack,1,50.120,8485.933
,2,46.746,11169.441
,3,56.281,7652.700
,4,84.232,7219.772
,5,50.866,8792.269
,6,53.704,9999.360
,7,69.269,8221.703
,8,65.463,7325.040
,9,81.093,9205.430
,10,73.088,10807.681
,11,48.368,7718.527
,12,73.703,7975.134
,13,51.716,9486.849
,14,54.267,11937.578
,15,61.604,7827.858
,16,56.032,8707.635
,17,42.181,9475.958
,18,68.772,6891.596
,19,39.631,10193.723
,20,72.107,6424.170
mDII-V_arpc4_1_plant5_1_Z-Stack,1,50.447,9905.376
,2,58.060,9693.365
,3,50.513,11350.808
,4,61.120,7650.191
,5,60.505,8747.320
,6,55.561,6898.817
,7,46.510,10536.630
,8,55.313,8729.266
,9,77.404,10659.436
,10,67.438,9540.916
,11,56.909,11019.777
,12,54.777,12045.673
,13,66.260,10463.919
,14,48.119,11662.666
,15,62.742,13051.776
,16,39.761,9076.706
,17,63.291,11170.001
,18,45.935,7269.984
,19,50.094,14293.938
,20,73.860,10278.020
,21,75.429,8350.446
mDII-V_arpc4_1_plant5_2_Z-Stack,1,73.506,7658.230
,2,54.070,11197.936
,3,49.309,8016.839
,4,57.850,9683.153
,5,72.133,8064.136
,6,40.167,8922.106
,7,73.755,8697.604
,8,66.692,9006.352
,9,76.829,9617.137
,10,65.907,10232.674
,11,54.633,10018.524
,12,52.409,10489.559
,13,53.142,10116.537
,14,45.909,12264.023
,15,48.786,11658.114
,16,62.834,9975.930
,17,53.717,10806.118
,18,52.135,10998.476
,19,53.691,13442.054
,20,47.805,10354.095
,21,61.356,9756.675
,22,55.313,13040.632
mDII-V_arpc4_1_plant6_1_Z-Stack,1,70.930,5394.402
,2,53.809,6933.832
,3,58.164,6563.890
,4,53.050,7120.871
,5,57.262,7541.228
,6,79.955,6697.350
,7,79.405,4761.004
,8,64.573,5878.336
,9,59.080,8973.829
,10,53.377,6580.956
,11,53.168,8132.335
,12,67.516,7291.742
,13,71.675,6461.426
,14,84.833,5808.935
,15,57.118,6680.512
,16,66.103,7492.979
,17,76.332,6673.902
,18,85.186,6426.071
,19,60.453,6573.788
,20,51.075,4393.134
mDII-V_arpc4_1_plant6_2_Z-Stack,1,57.877,4586.372
,2,64.168,6560.081
,3,49.715,6709.165
,4,79.811,7727.557
,5,80.347,6621.416
,6,88.561,8311.326
,7,78.280,5378.353
,8,71.335,5488.817
,9,67.241,5302.315
,10,57.484,7804.595
,11,67.791,6738.145
,12,89.516,7645.571
,13,84.598,5776.083
,14,72.591,4880.895
,15,53.403,6088.577
,16,79.157,4984.285
,17,72.303,6605.286
,18,58.570,5518.812
mDII-V_arpc4_1_plant7_1_Z-Stack,1,52.697,4966.024
,2,53.416,9494.734
,3,89.542,6600.455
,4,62.533,10451.893
,5,69.897,7264.574
,6,53.194,6367.919
,7,66.574,7665.066
,8,83.251,9791.353
,9,67.542,6710.549
,10,85.056,6357.167
,11,63.736,7441.294
