Image,ROI,Area,Mean
mDII-V_arpc4_2_plant10_1_Z-Stack,1,73.428,3876.369
,2,63.854,4514.088
,3,51.598,4210.098
,4,51.036,4330.540
,5,62.912,3965.334
,6,59.459,5328.933
,7,47.949,6568.188
,8,53.338,5138.078
,9,58.818,3867.082
,10,49.715,5421.781
,11,83.068,5514.920
,12,61.735,3691.720
,13,74.043,4339.541
,14,72.735,4668.104
,15,61.277,3198.752
,16,68.719,3669.991
mDII-V_arpc4_2_plant10_2_Z-Stack,1,47.374,2565.010
,2,52.906,4889.091
,3,63.972,4256.500
,4,48.080,4444.856
,5,69.400,5614.426
,6,41.305,3188.919
,7,41.148,3029.010
,8,66.548,3683.617
,9,59.354,4637.726
,10,66.195,4906.513
,11,54.960,4628.747
,12,78.032,3771.526
,13,69.766,2646.586
,14,69.766,4304.273
,15,63.501,3504.092
,16,82.714,4567.159
,17,64.573,4245.425
,18,45.412,2768.151
mDII-V_arpc4_2_plant2_1_Z-Stack,1,53.011,2450.359
,2,59.407,3247.381
,3,45.817,2433.588
,4,79.758,3047.191
,5,59.930,2190.642
,6,70.864,2686.771
,7,46.118,2718.468
,8,65.737,2806.080
,9,74.330,2839.704
,10,54.515,2262.170
,11,83.708,2919.269
,12,66.849,2442.223
,13,89.110,2365.134
,14,66.888,2830.312
,15,84.480,2556.684
,16,81.590,2316.316
,17,51.546,2000.203
,18,80.700,2093.165
mDII-V_arpc4_2_plant2_2_Z-Stack,1,75.390,1573.908
,2,76.685,2903.546
,3,70.629,1810.019
,4,53.430,1498.396
,5,63.566,2915.486
,6,54.554,2140.600
,7,70.511,2074.557
,8,88.770,3045.526
,9,59.799,1832.526
,10,70.407,1988.958
,11,79.889,2285.786
,12,60.192,1803.300
,13,63.174,1255.856
,14,66.967,1328.423
,15,66.117,1528.914
,16,53.364,1841.943
,17,43.594,1807.083
mDII-V_arpc4_2_plant3_1_Z-Stack,1,54.254,3567.431
,2,56.372,4521.134
,3,58.609,3920.754
,4,59.838,5369.310
,5,63.396,4151.734
,6,59.328,6265.078
,7,66.483,4163.638
,8,66.247,4607.293
,9,57.066,4129.047
,10,59.014,5094.449
,11,60.139,6369.512
,12,51.049,5730.133
,13,74.252,4270.455
,14,66.731,6557.309
,15,89.516,4285.594
,16,72.172,3026.732
mDII-V_arpc4_2_plant3_2_Z-Stack,1,71.244,4383.884
,2,56.582,4774.695
,3,79.366,6157.783
,4,59.001,4418.190
,5,69.805,4244.185
,6,46.772,5885.934
,7,61.617,4353.896
,8,66.823,4420.241
,9,80.648,4236.096
,10,53.194,4600.818
,11,67.869,4619.699
,12,90.941,3904.719
,13,76.436,3505.855
,14,64.364,3197.671
,15,71.806,3726.228
mDII-V_arpc4_2_plant4_1_Z-Stack,1,53.338,13333.679
,2,61.029,12091.850
,3,79.955,11402.758
,4,69.674,9640.199
,5,72.159,11021.810
,6,70.904,11283.831
,7,53.979,13499.107
,8,62.350,12005.416
,9,50.957,9326.618
,10,66.470,11642.817
,11,58.478,10124.412
,12,61.146,10029.546
,13,62.690,8158.486
,14,65.999,8529.364
,15,66.496,8838.827
,16,63.684,9969.642
,17,58.727,12094.352
,18,47.478,10897.767
,19,77.051,8285.208
