Image,ROI,Area,Mean
DII-V_arpc4_2_plant10_1_Z-Stack,1,44.732,105.444
,2,44.679,101.180
,3,57.301,101.846
,4,38.728,97.821
,5,56.961,98.281
,6,58.151,93.260
,7,63.893,105.376
,8,60.362,100.439
,9,71.858,112.082
,10,62.821,101.375
,11,61.264,98.689
,12,65.136,94.244
,13,66.143,103.654
,14,82.087,114.097
DII-V_arpc4_2_plant10_2_Z-Stack,1,74.841,119.316
,2,56.765,106.396
,3,53.456,92.375
,4,48.355,90.519
,5,60.963,87.711
,6,55.365,91.103
,7,47.125,86.356
,8,68.576,103.568
,9,75.835,81.935
,10,70.354,83.376
,11,70.132,81.847
,12,65.829,99.779
DII-V_arpc4_2_plant11_1_Z-Stack,1,53.783,114.949
,2,51.703,113.696
,3,49.924,99.993
,4,54.424,107.589
,5,50.644,104.751
,6,51.180,120.177
,7,63.815,110.223
,8,58.256,116.287
,9,54.083,110.636
,10,63.056,96.830
,11,57.942,124.533
,12,64.285,108.761
,13,60.453,100.680
,14,53.966,96.071
,15,67.529,93.261
,16,94.525,111.991
,17,71.270,98.010
DII-V_arpc4_2_plant11_2_Z-Stack,1,38.231,100.640
,2,48.381,96.187
,3,48.185,109.532
,4,33.915,103.375
,5,31.208,96.748
,6,33.706,94.764
,7,48.276,91.789
,8,43.319,100.076
,9,41.893,112.383
,10,40.690,100.483
,11,70.760,87.130
,12,64.207,95.095
,13,63.579,91.324
DII-V_arpc4_2_plant12_1_Z-Stack,1,47.531,112.410
,2,47.047,118.501
,3,44.117,117.188
,4,46.968,118.063
,5,59.093,147.234
,6,60.035,119.727
,7,55.339,120.590
,8,56.399,146.191
,9,60.793,120.555
,10,57.026,124.704
,11,65.960,132.875
,12,53.469,124.618
,13,59.106,117.788
,14,57.039,121.402
,15,56.673,131.146
,16,54.397,124.603
,17,53.103,123.878
,18,50.513,121.444
DII-V_arpc4_2_plant12_2_Z-Stack,1,51.311,115.227
,2,52.292,126.678
,3,61.473,113.709
,4,50.683,124.447
,5,45.948,108.433
,6,72.277,146.845
,7,58.295,113.223
,8,58.897,119.689
,9,51.821,110.684
,10,48.747,112.410
,11,51.415,107.587
,12,46.497,131.181
,13,50.147,117.702
,14,58.884,120.829
DII-V_arpc4_2_plant2_1_Z-Stack,1,53.443,144.752
,2,52.946,141.565
,3,39.186,130.627
,4,48.603,131.716
,5,65.672,127.046
,6,48.734,135.698
