Image,ROI,Area,Mean
,10,53.024,343.738
,11,51.625,143.403
,12,66.587,180.720
,13,48.172,138.795
,14,66.483,201.492
DII-V_WT_plant6_2_Z-Stack,1,36.204,132.482
,2,41.488,148.077
,3,36.361,136.014
,4,32.254,139.606
,5,52.357,131.222
,6,55.823,122.557
,7,44.169,142.562
,8,47.191,117.127
,9,57.994,141.572
,10,47.544,119.681
,11,62.337,142.501
,12,60.859,111.237
,13,46.589,134.811
,14,47.688,133.325
,15,61.447,116.215
,16,69.818,133.915
,17,59.250,116.837
,18,55.692,107.912
DII-V_WT_plant7_1_Z-Stack,1,60.558,143.215
,2,54.057,124.267
,3,50.434,160.791
,4,61.029,156.144
,5,56.333,155.670
,6,41.069,148.680
,7,65.528,140.792
,8,72.277,178.141
,9,71.688,177.336
,10,66.718,167.094
,11,63.435,133.628
,12,69.347,133.848
,13,67.555,132.138
DII-V_WT_plant7_2_Z-Stack,1,47.230,182.958
,2,69.321,145.823
,3,42.116,137.538
,4,55.431,177.005
,5,36.387,167.636
,6,62.978,141.046
,7,51.533,160.632
,8,68.288,147.411
,9,59.354,152.172
,10,49.401,138.270
,11,53.600,173.651
,12,51.965,126.367
,13,62.010,161.219
,14,71.440,170.934
,15,53.299,151.288
,16,30.593,106.784
,17,75.285,136.744
,18,83.054,124.251
DII-V_WT_plant8_1_Z-Stack,1,43.581,176.825
,2,50.761,187.322
,3,47.452,190.090
,4,50.997,178.357
,5,50.068,192.412
,6,46.497,193.826
,7,55.928,163.525
,8,53.495,145.299
,9,50.840,178.536
,10,45.961,139.029
,11,62.768,196.328
,12,59.263,217.774
,13,55.823,151.970
,14,62.062,135.056
,15,64.547,176.451
,16,74.226,164.451
DII-V_WT_plant8_2_Z-Stack,1,43.607,124.858
,2,53.063,135.926
,3,44.195,148.402
,4,54.018,147.011
,5,53.129,142.396
,6,56.464,145.197
,7,54.528,130.201
,8,71.204,143.746
,9,59.747,149.984
,10,54.489,178.046
,11,66.103,140.668
DII-V_WT_plant9_1_Z-Stack,1,57.262,270.936
,2,62.350,225.123
,3,85.383,267.955
,4,76.410,223.346
,5,84.506,251.195
,6,61.316,258.943
,7,83.800,216.454
,8,56.111,241.417
,9,70.537,218.870
,10,60.205,316.134
,11,55.627,275.472
,12,88.757,157.905
,13,84.062,219.817
,14,78.477,206.854
,15,101.889,263.231
DII-V_WT_plant9_2_Z-Stack,1,72.565,207.734
,2,78.712,183.968
,3,58.033,174.716
,4,47.675,179.472
,5,74.056,274.239
,6,48.656,178.130
,7,50.081,153.427
,8,49.937,143.953
,9,62.598,154.740
,10,52.239,140.430
,11,60.022,142.585
,12,73.336,195.294
,13,72.290,178.434
,14,52.749,167.409
,15,77.129,224.915
,16,70.289,179.962
