Image,ROI,Area,Mean
DII-V_arpc4_1_plant11_1_Z-Stack,1,41.226,134.214
,2,70.773,165.788
,3,77.352,193.262
,4,44.195,138.454
,5,57.170,148.432
,6,42.024,128.473
,7,43.764,155.474
,8,44.915,116.629
,9,46.772,144.839
,10,33.980,140.189
,11,81.746,207.456
,12,59.498,147.261
,13,51.154,136.365
,14,64.233,150.511
,15,46.301,134.930
,16,60.165,133.451
,17,79.549,203.366
DII-V_arpc4_1_plant11_2_Z-Stack,1,42.979,159.565
,2,38.074,117.788
,3,59.681,114.554
,4,54.463,93.476
,5,60.545,132.135
,6,64.011,115.651
,7,44.745,111.799
,8,96.605,145.243
,9,59.420,136.026
,10,54.306,113.099
,11,64.913,123.965
,12,82.675,106.873
,13,80.805,99.837
,14,75.220,92.331
,15,74.252,106.490
,16,66.195,96.423
DII-V_arpc4_1_plant12_1_Z-Stack,1,65.227,78.855
,2,68.523,104.090
,3,50.827,112.917
,4,27.441,96.360
,5,61.303,112.936
,6,41.449,96.042
,7,33.575,90.413
,8,53.299,104.334
,9,68.196,106.711
,10,55.784,101.818
,11,53.482,92.721
,12,51.912,97.394
,13,65.123,99.481
,14,49.022,96.697
,15,38.611,82.381
DII-V_arpc4_1_plant1_1_Z-Stack,1,49.309,231.097
,2,66.757,189.190
,3,49.859,182.423
,4,64.181,155.980
,5,60.689,174.152
,6,82.597,160.565
,7,62.101,223.967
,8,83.656,175.773
,9,61.866,180.864
,10,59.655,173.464
,11,62.690,155.453
,12,58.530,151.657
,13,59.224,154.855
,14,73.153,211.695
DII-V_arpc4_1_plant1_2_Z-Stack,1,81.119,157.800
,2,55.274,145.732
,3,61.565,157.087
,4,67.987,111.062
,5,62.376,92.778
,6,53.482,114.868
,7,79.157,160.660
,8,60.008,161.991
,9,49.283,127.790
,10,46.471,102.403
,11,66.914,145.956
,12,60.989,92.999
DII-V_arpc4_1_plant2_1_Z-Stack,1,63.148,146.651
,2,64.691,164.454
,3,67.058,209.403
,4,73.663,231.551
,5,72.199,173.805
,6,65.476,199.241
,7,50.029,156.205
,8,49.519,162.604
,9,61.813,126.824
,10,71.061,164.171
,11,65.973,167.561
,12,62.363,194.352
,13,64.455,163.303
,14,50.918,154.569
,15,57.877,181.001
,16,65.371,178.014
,17,83.473,166.884
,18,70.067,157.814
DII-V_arpc4_1_plant2_2_Z-Stack,1,40.559,134.471
,2,60.597,147.874
,3,56.425,113.236
,4,55.731,119.224
,5,66.731,148.034
,6,64.756,137.198
,7,38.532,142.494
,8,60.584,120.320
,9,71.832,174.239
,10,42.220,143.991
,11,59.276,149.281
,12,62.742,183.790
,13,87.828,146.536
,14,74.919,132.464
DII-V_arpc4_1_plant4_1_Z-Stack,1,57.641,122.381
,2,45.019,97.422
,3,70.328,117.328
,4,42.861,97.251
,5,54.306,100.906
,6,58.269,109.339
,7,54.646,111.924
,8,76.528,116.467
,9,47.570,104.272
,10,38.035,100.504
,11,63.671,96.367
,12,63.226,96.084
,13,73.716,84.475
,14,70.001,107.566
,15,74.644,83.476
DII-V_arpc4_1_plant4_2_Z-Stack,1,61.983,80.777
,2,76.332,85.820
,3,70.694,87.646
,4,58.910,91.472
,5,78.123,99.517
,6,72.251,89.882
,7,86.324,80.709
,8,53.233,84.282
,9,49.663,85.081
,10,77.378,84.782
,11,70.904,94.128
,12,45.726,97.029
,13,74.631,87.784
,14,87.685,94.147
DII-V_arpc4_1_plant5_1_Z-Stack,1,43.110,95.647
,2,54.960,114.069
,3,48.590,108.842
,4,81.642,123.900
,5,59.695,103.708
,6,44.941,97.363
,7,61.643,86.955
,8,80.766,100.829
,9,65.960,110.389
,10,62.821,97.951
,11,78.830,108.157
,12,58.792,111.816
DII-V_arpc4_1_plant5_2_Z-Stack,1,47.243,105.092
,2,48.943,86.041
,3,58.740,96.444
,4,57.471,103.300
,5,47.570,97.948
,6,55.300,73.442
,7,43.123,92.575
,8,68.955,98.304
,9,45.660,90.091
,10,47.531,90.046
,11,61.670,83.326
,12,76.449,106.478
,13,71.518,72.233
DII-V_arpc4_1_plant6_1_Z-Stack,1,50.107,92.131
,2,47.047,97.157
,3,53.207,96.435
,4,62.886,84.998
,5,58.230,109.766
,6,62.297,103.785
,7,53.979,113.816
,8,59.315,97.061
,9,57.536,85.265
,10,76.083,98.728
,11,57.249,102.699
,12,56.333,108.022
,13,56.529,119.089
,14,49.767,87.740
,15,58.400,121.197
,16,64.743,85.890
,17,57.092,106.008
,18,57.406,94.794
DII-V_arpc4_1_plant6_2_Z-Stack,1,46.877,103.358
,2,40.703,96.517
,3,38.388,88.729
,4,57.563,82.740
,5,47.962,94.392
,6,63.344,94.289
,7,55.104,85.827
,8,35.524,77.036
,9,51.716,78.603
,10,64.246,80.681
,11,61.081,81.610
,12,72.355,77.714
,13,62.206,95.073
,14,80.399,86.506
,15,72.133,78.888
,16,84.716,93.886
,17,80.713,76.872
DII-V_arpc4_1_plant8_1_Z-Stack,1,43.868,75.977
,2,56.634,82.102
,3,38.558,74.211
,4,60.806,112.994
,5,64.822,100.540
,6,68.719,94.588
,7,62.742,86.741
,8,77.849,75.681
,9,62.860,80.933
,10,59.028,76.837
,11,75.194,79.699
,12,71.191,79.522
,13,58.334,71.293
DII-V_arpc4_1_plant8_2_Z-Stack,1,51.455,90.406
,2,50.539,85.905
,3,66.627,78.200
,4,48.512,77.766
,5,69.661,84.783
,6,43.398,75.218
,7,54.960,78.011
,8,48.446,79.285
,9,61.970,69.072
,10,69.570,72.608
,11,90.837,81.207
,12,81.668,91.612
,13,54.633,74.226
,14,62.716,72.236
