Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant10_1_Z-Stack,1.0,283.907,641.732,311.931,2.0573
,2.0,269.959,679.959,296.723,2.2916
,3.0,275.798,647.349,282.454,2.2919
,4.0,279.436,717.131,309.248,2.3190
,5.0,267.284,716.468,310.323,2.3088
,6.0,277.214,701.807,294.228,2.3852
,7.0,301.742,830.115,348.452,2.3823
,8.0,306.590,736.004,342.537,2.1487
,9.0,313.719,787.726,359.874,2.1889
,10.0,303.721,724.051,333.541,2.1708
,11.0,278.261,719.806,322.357,2.2329
PIN3_WT_plant10_2_Z-Stack,1.0,257.550,681.254,287.326,2.3710
,2.0,291.582,719.195,319.821,2.2487
,3.0,289.567,817.031,350.958,2.3280
,4.0,298.685,775.500,345.994,2.2414
,5.0,286.587,796.182,329.364,2.4173
,6.0,304.429,815.245,345.729,2.3580
,7.0,304.907,848.272,357.559,2.3724
,8.0,309.725,960.848,377.735,2.5437
,9.0,351.759,913.021,413.390,2.2086
,10.0,314.357,863.269,371.259,2.3252
PIN3_WT_plant3_1_Z-Stack,1.0,247.905,722.777,272.711,2.6503
,2.0,238.531,775.395,263.429,2.9435
,3.0,247.324,587.794,253.047,2.3229
,4.0,237.971,620.116,247.816,2.5023
,5.0,263.012,596.458,276.569,2.1566
,6.0,235.614,631.685,256.413,2.4635
,7.0,232.115,543.947,241.629,2.2512
,8.0,255.523,584.711,269.720,2.1678
,9.0,275.866,754.101,300.776,2.5072
,10.0,232.741,578.711,248.398,2.3298
,11.0,243.107,649.732,256.763,2.5305
PIN3_WT_plant3_2_Z-Stack,1.0,253.836,633.064,264.252,2.3957
,2.0,263.877,673.030,282.280,2.3843
,3.0,249.412,579.917,260.904,2.2227
,4.0,275.620,733.898,306.770,2.3923
,5.0,256.741,630.324,266.289,2.3671
,6.0,299.027,903.003,340.612,2.6511
,7.0,266.890,666.625,289.053,2.3062
,8.0,275.098,664.603,294.191,2.2591
,9.0,288.814,668.067,300.131,2.2259
,10.0,262.203,630.830,281.175,2.2435
,11.0,261.845,649.433,292.736,2.2185
PIN3_WT_plant4_1_Z-Stack,1.0,202.155,419.783,196.316,2.1383
,2.0,201.257,509.848,200.032,2.5488
,3.0,195.135,355.853,187.564,1.8972
,4.0,204.706,410.902,198.780,2.0671
,5.0,213.253,417.632,205.158,2.0357
,6.0,193.857,395.367,187.145,2.1126
,7.0,190.163,391.390,184.811,2.1178
PIN3_WT_plant4_2_Z-Stack,1.0,204.767,456.448,198.023,2.3050
,2.0,213.473,407.035,198.714,2.0483
,3.0,214.981,421.979,209.373,2.0154
,4.0,189.758,426.568,180.835,2.3589
,5.0,205.152,441.137,197.672,2.2317
,6.0,209.078,467.813,204.853,2.2837
,7.0,198.892,446.412,192.415,2.3200
PIN3_WT_plant5_1_Z-Stack,1.0,231.121,513.492,234.155,2.1930
,2.0,204.377,463.043,199.459,2.3215
,3.0,208.823,462.336,205.071,2.2545
,4.0,211.396,473.057,209.714,2.2557
,5.0,213.466,496.109,214.364,2.3143
,6.0,229.905,495.900,227.928,2.1757
,7.0,227.060,578.008,238.201,2.4266
,8.0,203.923,443.262,201.260,2.2024
,9.0,230.364,547.128,231.623,2.3621
,10.0,220.228,691.009,230.654,2.9959
,11.0,214.812,412.075,207.575,1.9852
PIN3_WT_plant5_2_Z-Stack,1.0,216.400,504.580,221.212,2.2810
,2.0,206.431,493.041,203.089,2.4277
,3.0,219.436,511.223,216.547,2.3608
,4.0,198.404,456.484,192.304,2.3738
,5.0,200.129,459.780,193.725,2.3734
,6.0,205.169,484.086,200.988,2.4085
,7.0,211.524,465.556,206.542,2.2541
,8.0,208.108,523.798,208.358,2.5139
,9.0,210.158,497.075,210.385,2.3627
,10.0,204.710,471.195,202.829,2.3231
PIN3_WT_plant6_1_Z-Stack,1.0,245.393,557.629,255.133,2.1856
,2.0,244.526,586.398,257.026,2.2815
,3.0,252.632,562.280,273.417,2.0565
,4.0,233.645,567.010,239.547,2.3670
,5.0,236.157,552.046,245.317,2.2503
,6.0,227.801,517.985,229.629,2.2557
,7.0,213.483,492.555,210.907,2.3354
PIN3_WT_plant6_2_Z-Stack,1.0,219.170,514.282,223.901,2.2969
,2.0,237.631,532.496,246.641,2.1590
,3.0,242.174,597.136,265.815,2.2464
,4.0,236.182,570.203,246.194,2.3161
,5.0,253.806,498.750,261.575,1.9067
,6.0,226.699,532.461,227.941,2.3360
,7.0,222.513,579.437,236.256,2.4526
,8.0,244.528,595.260,258.465,2.3031
,9.0,216.161,496.196,211.923,2.3414
,10.0,261.344,603.645,277.587,2.1746
PIN3_WT_plant7_1_Z-Stack,1.0,258.629,644.596,282.334,2.2831
,2.0,292.858,716.046,325.149,2.2022
,3.0,280.009,693.268,306.991,2.2583
,4.0,312.958,691.646,334.256,2.0692
,5.0,245.444,663.039,268.557,2.4689
,6.0,266.243,680.420,292.335,2.3275
,7.0,263.131,729.352,297.953,2.4479
,8.0,312.015,797.026,343.436,2.3207
,9.0,314.392,828.702,350.443,2.3647
,10.0,295.261,722.200,336.649,2.1453
,11.0,287.270,676.156,310.611,2.1769
,12.0,304.224,769.807,341.839,2.2520
,13.0,314.954,747.760,352.395,2.1219
,14.0,264.009,741.417,288.070,2.5737
,15.0,277.003,760.760,307.779,2.4718
PIN3_WT_plant7_2_Z-Stack,1.0,301.456,738.783,343.072,2.1534
,2.0,292.281,761.659,324.495,2.3472
,3.0,305.009,780.253,327.919,2.3794
,4.0,315.666,879.376,362.215,2.4278
,5.0,302.122,779.596,340.226,2.2914
,6.0,299.255,766.181,323.065,2.3716
,7.0,299.433,675.694,315.923,2.1388
,8.0,299.718,824.618,350.326,2.3539
,9.0,293.038,685.082,311.242,2.2011
,10.0,296.412,710.195,332.165,2.1381
PIN3_WT_plant8_1_Z-Stack,1.0,289.213,643.139,300.400,2.1409
,2.0,268.760,761.063,300.865,2.5296
,3.0,259.505,620.250,273.513,2.2677
,4.0,325.080,818.233,360.566,2.2693
,5.0,268.648,722.328,296.935,2.4326
,6.0,312.506,895.403,357.712,2.5031
,7.0,294.066,772.304,334.406,2.3095
,8.0,261.460,645.391,278.640,2.3162
,9.0,299.653,825.078,349.772,2.3589
,10.0,306.354,865.533,341.996,2.5308
PIN3_WT_plant8_2_Z-Stack,1.0,294.541,1032.757,354.515,2.9132
,2.0,315.020,957.140,370.868,2.5808
,3.0,329.655,798.713,362.618,2.2026
,4.0,320.979,1014.445,388.711,2.6098
,5.0,340.943,844.224,381.483,2.2130
,6.0,300.914,773.185,334.453,2.3118
,7.0,319.939,825.578,370.041,2.2310
,8.0,278.626,877.325,325.001,2.6995
,9.0,272.673,715.416,302.451,2.3654
,10.0,305.190,1012.489,368.086,2.7507
,11.0,328.589,967.866,385.384,2.5114
,12.0,297.392,761.442,328.712,2.3164
,13.0,272.156,808.491,322.138,2.5098
PIN3_WT_plant9_1_Z-Stack,1.0,232.753,589.465,234.007,2.5190
,2.0,220.899,638.531,228.269,2.7973
,3.0,245.835,722.628,266.240,2.7142
,4.0,269.527,737.746,292.055,2.5261
,5.0,260.131,736.581,286.651,2.5696
,6.0,235.847,664.430,246.153,2.6993
,7.0,251.744,724.628,270.900,2.6749
,8.0,232.987,720.533,257.069,2.8029
,9.0,276.792,712.322,314.458,2.2652
PIN3_WT_plant9_2_Z-Stack,1.0,270.433,754.743,322.129,2.3430
,2.0,264.230,849.965,301.875,2.8156
,3.0,249.154,598.069,259.647,2.3034
,4.0,244.787,649.165,260.854,2.4886
,5.0,265.035,847.084,292.757,2.8935
,6.0,264.754,743.559,302.222,2.4603
,7.0,277.715,673.061,296.000,2.2739
,8.0,279.823,811.582,327.199,2.4804
,9.0,281.100,739.924,298.733,2.4769
