Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_arpc4_I1_plant10_1_Z-Stack,1.0,195.161,404.840,179.189,2.2593
,2.0,186.329,367.956,167.081,2.2023
,3.0,213.768,437.374,202.003,2.1652
,4.0,200.158,434.974,190.141,2.2876
,5.0,221.079,459.006,210.909,2.1763
,6.0,222.811,498.043,223.429,2.2291
,7.0,213.187,468.144,203.594,2.2994
PIN3_arpc4_I1_plant10_2_Z-Stack,1.0,229.743,583.914,233.207,2.5038
,2.0,226.245,506.808,228.390,2.2190
,3.0,238.067,543.631,237.519,2.2888
,4.0,220.130,501.718,219.166,2.2892
,5.0,222.352,605.349,239.352,2.5291
,6.0,235.374,623.220,249.669,2.4962
,7.0,230.832,550.492,232.445,2.3683
,8.0,221.501,567.918,234.591,2.4209
,9.0,241.147,575.810,248.971,2.3128
PIN3_arpc4_I1_plant1_1_Z-Stack,1.0,197.575,533.969,209.917,2.5437
,2.0,196.901,547.115,213.025,2.5683
,3.0,207.841,564.680,222.555,2.5373
,4.0,206.460,559.007,223.282,2.5036
,5.0,201.360,596.922,227.191,2.6274
,6.0,211.054,602.514,241.977,2.4900
,7.0,211.932,647.306,240.838,2.6877
,8.0,208.023,612.090,228.427,2.6796
,9.0,203.184,601.109,235.196,2.5558
,10.0,220.133,657.803,251.357,2.6170
,11.0,219.578,645.785,252.796,2.5546
,12.0,196.822,545.729,212.685,2.5659
PIN3_arpc4_I1_plant1_2_Z-Stack,1.0,246.532,886.769,314.668,2.8181
,2.0,236.632,639.643,270.471,2.3649
,3.0,227.175,606.445,268.091,2.2621
,4.0,215.128,710.662,254.402,2.7935
,5.0,217.040,566.622,236.237,2.3985
,6.0,222.994,605.544,254.190,2.3822
,7.0,213.704,673.708,244.571,2.7547
PIN3_arpc4_I1_plant2_1_Z-Stack,1.0,223.562,444.900,216.266,2.0572
,2.0,227.286,522.151,226.826,2.3020
,3.0,217.705,485.280,217.453,2.2317
,4.0,203.161,466.939,200.277,2.3315
,5.0,196.199,412.653,188.804,2.1856
,6.0,232.052,455.583,232.423,1.9601
,7.0,230.089,430.228,218.510,1.9689
,8.0,219.610,490.551,220.621,2.2235
,9.0,230.990,490.468,233.237,2.1029
PIN3_arpc4_I1_plant2_2_Z-Stack,1.0,244.270,602.568,261.740,2.3022
,2.0,240.076,540.139,256.458,2.1061
,3.0,238.784,563.735,252.915,2.2290
,4.0,263.273,605.718,284.980,2.1255
,5.0,234.159,578.778,250.456,2.3109
,6.0,226.166,520.459,233.492,2.2290
,7.0,233.089,481.983,241.674,1.9944
,8.0,246.048,546.914,259.878,2.1045
,9.0,242.242,534.578,250.950,2.1302
,10.0,239.617,474.777,247.393,1.9191
,11.0,242.569,501.560,249.191,2.0128
,12.0,236.884,563.351,246.390,2.2864
,13.0,243.712,548.657,249.447,2.1995
,14.0,228.958,563.648,239.537,2.3531
,15.0,213.075,517.885,220.024,2.3538
,16.0,211.640,576.199,228.740,2.5190
,17.0,213.530,479.718,214.628,2.2351
