Image,ROI,Area,Mean
mDII-V_arpc5_3_plant10_1_Z-Stack,1,55.457,7011.588
,2,55.391,8360.952
,3,45.843,9011.090
,4,48.956,9656.217
,5,64.142,11777.854
,6,64.652,9918.907
,7,60.492,9784.954
,8,62.010,7348.609
,9,59.263,9102.552
,10,64.900,8186.952
,11,58.190,8989.913
,12,67.856,10567.662
,13,67.856,10520.862
,14,70.328,7687.005
,15,62.611,8664.116
,16,75.089,6461.852
,17,63.932,3893.486
,18,53.181,7810.828
mDII-V_arpc5_3_plant10_2_Z-Stack,1,37.603,5994.643
,2,63.671,6958.067
,3,75.194,9568.605
,4,66.784,5628.774
,5,58.217,6587.551
,6,66.483,6388.863
,7,65.201,5678.819
,8,62.219,5442.299
,9,58.622,9749.953
,10,55.666,5656.718
,11,61.853,6832.460
,12,62.585,5790.755
,13,58.007,7055.033
,14,58.217,3994.088
,15,51.873,7408.365
,16,58.687,5910.240
,17,53.482,7300.471
,18,55.038,5461.316
,19,56.242,5116.551
,20,62.245,6639.582
,21,66.274,6916.189
mDII-V_arpc5_3_plant2_1_Z-Stack,1,47.478,5538.926
,2,44.248,5221.646
,3,47.191,6226.115
,4,46.968,3812.053
,5,48.891,4894.710
,6,58.701,5383.006
,7,53.129,3725.276
,8,65.541,3682.016
,9,64.560,4483.768
,10,58.635,3920.284
,11,75.835,3648.774
,12,59.054,2841.191
,13,62.781,4947.820
,14,65.999,5106.222
,15,70.786,2760.725
,16,79.693,4505.555
,17,66.195,3548.240
,18,58.857,3171.525
mDII-V_arpc5_3_plant2_2_Z-Stack,1,58.530,5188.409
,2,49.349,2902.427
,3,74.932,4845.865
,4,61.316,2863.860
,5,57.013,5087.540
,6,79.863,4016.206
,7,75.141,3473.778
,8,59.158,5267.744
,9,56.006,4279.101
,10,52.998,3343.422
,11,71.937,3261.524
,12,86.507,3531.591
,13,98.776,5000.742
,14,60.702,4097.104
,15,65.070,3383.295
mDII-V_arpc5_3_plant3_1_Z-Stack,1,82.126,5697.571
,2,45.019,6688.888
,3,69.334,5117.581
,4,34.190,6667.279
,5,44.339,7834.487
,6,79.837,7056.342
,7,44.836,5092.149
,8,53.717,5854.269
,9,42.364,5188.023
,10,37.028,6353.656
,11,51.298,3404.017
,12,48.237,7724.312
,13,51.585,6504.361
,14,46.354,7428.040
,15,71.584,6630.951
,16,60.780,4583.468
,17,38.454,6326.209
,18,84.938,6155.006
,19,47.949,6109.995
,20,46.262,5935.584
,21,87.959,6170.018
,22,65.463,3787.040
,23,66.927,4613.748
,24,54.894,3573.641
,25,38.205,3877.987
mDII-V_arpc5_3_plant3_2_Z-Stack,1,46.393,6382.701
,2,48.695,4825.805
,3,55.941,4777.876
,4,76.659,4793.142
,5,71.937,5883.982
,6,54.044,4409.724
,7,81.694,6452.833
,8,56.634,6651.691
,9,64.926,4058.425
,10,93.662,5388.825
,11,79.785,4968.512
,12,67.084,4487.686
,13,74.958,5179.796
,14,63.736,3472.472
,15,61.957,2685.656
mDII-V_arpc5_3_plant4_1_Z-Stack,1,37.656,2399.770
,2,58.714,4514.157
,3,62.637,3625.626
,4,73.977,4235.002
,5,49.100,3850.565
,6,59.891,3689.767
,7,41.488,2237.675
,8,59.616,4751.833
,9,37.198,2334.589
,10,59.446,4266.335
,11,77.797,2645.209
,12,53.861,4310.835
,13,77.587,2566.148
,14,56.804,3644.534
,15,57.602,3367.884
,16,50.513,3611.724
,17,88.613,2954.093
mDII-V_arpc5_3_plant4_2_Z-Stack,1,50.460,2994.382
,2,54.921,2853.373
,3,67.451,2917.625
,4,50.160,2672.816
,5,47.766,2780.335
,6,60.309,3529.688
,7,62.153,3452.021
,8,52.187,3640.151
,9,89.934,3062.024
,10,73.755,2497.718
,11,64.089,4074.297
,12,65.842,3312.561
,13,61.656,2217.611
,14,56.974,3108.252
,15,58.177,3202.422
,16,67.451,3512.041
,17,65.790,1898.270
mDII-V_arpc5_3_plant5_1_Z-Stack,1,69.112,11536.149
,2,54.646,13728.240
,3,61.186,11267.086
,4,58.936,13363.364
,5,57.916,9889.635
,6,68.275,9812.927
,7,58.701,13293.034
,8,63.592,11691.646
,9,72.905,10601.349
,10,83.447,11313.441
,11,86.180,10721.508
,12,62.807,7967.916
,13,64.508,12812.487
,14,70.877,14409.618
,15,68.262,10759.808
,16,81.825,10817.066
,17,72.879,11311.002
,18,57.288,10592.123
,19,65.907,10671.289
mDII-V_arpc5_3_plant5_2_Z-Stack,1,66.849,12676.343
,2,54.764,8692.989
,3,64.887,11548.167
,4,71.231,10025.316
,5,79.968,10389.212
,6,71.375,10317.994
,7,60.035,15021.735
,8,78.908,12449.042
,9,77.221,14236.015
,10,68.013,11503.647
,11,51.768,11060.297
,12,73.389,11835.334
,13,60.192,9638.759
,14,82.649,9402.969
mDII-V_arpc5_3_plant6_1_Z-Stack,1,60.505,13791.709
,2,62.023,17221.020
,3,63.854,14178.925
,4,48.119,12021.686
,5,56.765,13196.411
,6,51.847,12554.146
,7,59.930,16581.335
,8,58.622,16222.114
,9,53.207,21057.221
,10,51.886,17310.084
,11,67.908,11798.998
,12,70.014,13465.227
,13,69.648,12975.360
,14,74.618,13167.074
,15,60.492,13404.243
,16,70.106,11947.783
,17,67.935,11244.913
,18,85.997,10628.833
