Image,ROI,Area,Mean
mDII-V_WT_plant10_1_Z-Stack,1,51.716,6655.571
,2,65.070,4691.767
,3,63.004,7282.267
,4,72.800,5383.979
,5,72.094,7129.069
,6,54.894,6520.534
,7,82.073,6285.499
,8,68.131,5032.742
,9,51.795,9492.027
,10,72.604,5378.183
,11,70.367,6896.291
,12,57.746,7449.554
,13,58.805,8561.978
,14,53.364,6702.593
,15,52.043,6599.877
,16,53.312,6627.406
,17,81.197,7876.064
,18,50.918,5866.831
mDII-V_WT_plant10_2_Z-Stack,1,59.381,5811.867
,2,48.538,4671.583
,3,66.744,5124.781
,4,56.961,5686.567
,5,51.324,5436.174
,6,51.363,5601.957
,7,47.910,3617.269
,8,72.264,6201.566
,9,69.713,4844.354
,10,74.043,5699.659
,11,76.541,6518.945
,12,83.892,5859.782
,13,85.239,6169.809
,14,85.592,5990.132
,15,56.608,5554.241
,16,63.357,4065.007
,17,66.391,5715.229
,18,70.067,4983.702
mDII-V_WT_plant1_1_Z-Stack,1,76.816,6657.795
,2,59.721,10056.752
,3,76.515,7820.422
,4,75.429,5726.650
,5,54.777,8552.362
,6,70.642,7574.209
,7,57.955,7076.399
,8,69.190,6611.959
,9,54.620,9578.998
,10,91.281,9109.374
,11,68.798,6838.872
,12,58.360,8651.033
,13,71.584,7148.816
,14,68.209,8031.499
,15,71.662,6587.213
,16,69.936,6974.377
,17,60.911,7682.722
,18,57.000,7901.754
mDII-V_WT_plant1_2_Z-Stack,1,47.531,7667.605
,2,57.236,7269.930
,3,67.032,9385.666
,4,56.948,3994.633
,5,56.595,6018.223
,6,73.990,7653.474
,7,55.810,11197.562
,8,73.899,6402.021
,9,86.416,8036.987
,10,43.738,8265.881
,11,69.465,6097.164
,12,74.749,8089.728
,13,57.942,6759.466
,14,65.188,7171.765
,15,64.233,8308.697
,16,65.620,7544.785
,17,75.874,7215.286
mDII-V_WT_plant2_1_Z-Stack,1,54.044,4541.857
,2,51.768,8552.042
,3,67.045,8714.370
,4,57.314,7070.113
,5,54.921,7359.718
,6,61.957,6598.060
,7,64.233,7531.988
,8,61.329,6324.066
,9,58.230,8983.770
,10,61.552,9223.486
,11,59.852,6591.229
,12,39.984,5293.243
,13,71.126,9268.581
,14,62.991,10345.578
,15,60.767,7592.353
,16,68.929,5857.978
,17,61.526,8154.526
,18,72.552,7572.741
,19,80.098,7361.937
mDII-V_WT_plant2_2_Z-Stack,1,66.653,7140.090
,2,49.597,6684.872
,3,64.508,4939.651
,4,51.128,6034.651
,5,48.669,6137.491
,6,55.169,7308.821
,7,46.066,9310.081
,8,65.960,6540.742
,9,67.608,7517.618
,10,69.033,6895.269
,11,64.220,5863.403
,12,64.469,6055.690
,13,63.370,6717.818
,14,64.560,5060.770
,15,61.016,8401.868
,16,61.997,7423.108
,17,68.288,6100.025
,18,61.892,6631.982
mDII-V_WT_plant3_1_Z-Stack,1,52.776,9438.519
,2,59.354,8665.059
,3,52.579,10416.178
,4,45.765,11250.969
,5,38.663,6258.859
,6,49.283,10159.940
,7,55.352,11223.469
,8,54.293,8423.342
,9,53.783,9501.107
,10,51.167,9254.664
,11,61.656,9080.573
,12,60.937,8985.295
,13,59.224,9562.217
,14,60.139,8107.206
,15,64.966,7408.973
,16,71.872,7856.633
,17,60.074,8355.530
,18,64.887,9324.740
mDII-V_WT_plant3_2_Z-Stack,1,49.231,7815.984
,2,62.337,8997.179
,3,67.438,6416.115
,4,63.200,10613.862
,5,55.091,9025.932
,6,49.192,10696.066
,7,52.108,11016.873
,8,50.513,7381.551
,9,60.152,8750.678
,10,52.514,10413.984
,11,66.993,7443.646
,12,60.676,8230.233
,13,67.084,8508.256
,14,75.756,8852.878
,15,73.323,8506.476
,16,47.112,8767.707
,17,82.636,7193.809
mDII-V_WT_plant4_1_Z-Stack,1,58.609,8709.686
,2,46.720,11915.177
,3,52.841,12121.369
,4,46.785,11337.979
,5,51.925,12928.090
,6,48.564,11053.607
,7,78.385,9392.915
,8,56.385,8856.456
,9,65.960,10357.008
,10,76.240,11434.463
,11,80.556,8983.221
,12,71.649,10016.394
,13,77.626,8748.076
,14,67.856,8383.455
,15,71.597,8320.914
,16,69.622,8227.383
mDII-V_WT_plant4_2_Z-Stack,1,52.239,10894.220
,2,52.122,8087.223
,3,48.564,11386.657
,4,69.007,6278.918
,5,74.330,6482.389
,6,65.083,8475.898
,7,43.855,9945.856
,8,54.751,11714.297
,9,64.704,6278.859
,10,66.417,8486.104
,11,64.050,8887.487
,12,60.519,7096.268
,13,76.502,9320.885
,14,70.407,7314.582
,15,77.640,8513.671
,16,58.988,8990.092
,17,76.319,8715.960
,18,75.704,6891.870
,19,72.316,7381.690
,20,50.081,8174.978
mDII-V_WT_plant5_1_Z-Stack,1,71.427,7348.446
,2,57.733,6894.084
,3,59.420,6373.481
,4,55.653,6832.271
,5,74.906,7742.850
,6,52.932,7099.970
,7,71.662,8474.673
,8,49.375,6445.035
,9,54.397,8621.918
,10,55.902,8593.683
,11,66.679,9214.439
,12,57.183,7157.691
,13,62.127,6438.032
,14,64.743,8761.032
mDII-V_WT_plant5_2_Z-Stack,1,58.517,6134.532
,2,55.169,7610.759
,3,55.195,8239.159
,4,50.539,5882.828
,5,44.915,6181.257
,6,63.344,7254.510
,7,57.053,8733.952
,8,45.307,6678.444
,9,59.590,8544.401
,10,61.500,5376.919
,11,59.982,6501.241
,12,74.200,6191.937
,13,64.115,8330.654
,14,64.220,6508.190
,15,67.045,7093.288
,16,46.929,8167.609
,17,62.441,5544.279
