Image,ROI,Area,Mean
mDII-V_arpc5_2_plant10_1_Z-Stack,1,52.122,3481.664
,2,36.701,2252.344
,3,57.589,4849.079
,4,43.829,4966.636
,5,39.461,7093.189
,6,35.314,3675.389
,7,86.337,3430.594
,8,65.829,3437.700
,9,51.716,3102.220
,10,78.529,2498.201
,11,54.672,4706.486
,12,69.897,4393.974
,13,75.495,4345.797
,14,34.922,2814.146
,15,71.309,4391.595
,16,72.879,3415.462
,17,69.177,4809.284
,18,67.686,2617.927
,19,84.624,3550.379
,20,60.859,3853.725
,21,48.721,3498.552
,22,72.918,3134.544
,23,71.976,2965.777
,24,60.152,3351.444
mDII-V_arpc5_2_plant10_2_Z-Stack,1,51.520,3177.561
,2,80.007,3029.462
,3,58.936,3842.457
,4,57.785,3025.311
,5,77.012,3405.137
,6,82.073,4159.674
,7,60.165,3470.022
,8,51.625,3432.214
,9,58.962,2403.786
,10,64.168,1957.134
,11,84.271,2490.942
,12,72.512,3071.898
,13,53.037,2510.072
mDII-V_arpc5_2_plant12_1_Z-Stack,1,47.648,5433.925
,2,90.052,7285.784
,3,78.241,5488.238
,4,40.559,7069.486
,5,65.227,10239.719
,6,61.787,7830.127
,7,81.158,9075.651
,8,50.199,7749.486
,9,74.514,12102.139
,10,82.427,6788.712
,11,67.451,7980.288
,12,68.327,11341.537
,13,86.717,6372.617
,14,78.974,7514.125
,15,72.826,6538.919
mDII-V_arpc5_2_plant12_2_Z-Stack,1,67.006,8563.184
,2,53.390,7574.249
,3,57.262,8687.407
,4,60.126,7414.379
,5,81.446,7214.895
,6,65.293,7185.218
,7,58.701,5715.961
,8,91.438,6326.821
,9,67.189,5357.947
,10,70.590,5650.027
,11,97.390,7175.509
,12,71.701,8258.307
,13,100.633,6554.640
mDII-V_arpc5_2_plant1_1_Z-Stack,1,63.527,4002.612
,2,59.158,3366.740
,3,38.061,3573.299
,4,45.673,4499.547
,5,52.671,5395.512
,6,77.613,4313.905
,7,51.311,3695.237
,8,64.678,3910.510
,9,57.929,4053.543
,10,56.189,4329.507
,11,67.699,3117.402
,12,62.794,4293.838
,13,57.079,2763.910
,14,79.144,2932.797
,15,61.303,3776.126
,16,51.023,4042.578
,17,43.018,3459.573
,18,82.309,2947.890
mDII-V_arpc5_2_plant1_2_Z-Stack,1,65.279,3756.167
,2,57.693,3618.637
,3,47.295,4544.479
,4,47.675,3183.107
,5,44.379,3587.446
,6,45.189,3393.244
,7,53.521,5005.673
,8,61.500,3350.710
,9,49.780,3020.915
,10,54.267,4657.072
,11,52.095,4943.245
,12,65.960,3971.568
,13,71.270,3833.012
,14,62.467,3664.304
,15,66.980,3522.367
,16,70.053,3696.379
,17,53.233,3664.256
,18,78.751,2539.454
,19,67.843,4264.637
,20,65.175,2846.189
,21,68.392,2089.695
,22,82.165,2139.876
mDII-V_arpc5_2_plant2_1_Z-Stack,1,63.985,7060.925
,2,38.754,5083.799
,3,57.563,5310.632
,4,62.023,7833.804
,5,49.336,7927.639
,6,65.463,5300.262
,7,74.357,5095.663
,8,51.886,3775.906
,9,59.969,4793.154
,10,39.945,4920.807
,11,62.873,4192.840
,12,66.051,5429.845
,13,64.364,4406.354
,14,60.283,4858.706
,15,64.364,4805.070
,16,65.188,5504.288
,17,65.986,4942.760
,18,56.372,7500.068
,19,63.017,5474.228
,20,71.466,4832.106
mDII-V_arpc5_2_plant2_2_Z-Stack,1,71.178,5189.323
,2,51.324,4579.941
,3,48.015,3912.268
,4,65.476,3282.335
,5,55.326,3661.740
,6,49.676,4998.922
,7,55.771,4867.177
,8,58.217,5247.919
,9,52.004,5197.837
,10,49.035,4066.366
,11,40.926,4919.689
,12,65.620,4439.018
,13,51.271,3497.750
,14,63.043,4499.943
