Image,ROI,Area,Mean
mDII-V_WT_plant1_1_Z-Stack,1,38.558,18673.725
,2,40.259,12487.772
,3,48.826,14483.387
,4,43.241,10091.800
,5,44.156,15619.182
,6,58.347,15082.715
,7,53.142,11393.738
,8,62.834,9601.244
,9,64.809,13096.030
,10,46.406,12346.599
,11,48.983,16172.590
,12,65.672,11157.282
,13,49.663,14002.317
,14,41.109,15727.655
,15,46.406,17280.019
,16,50.657,13018.863
,17,62.088,11327.690
,18,59.747,12184.244
,19,58.112,11189.894
,20,50.264,14713.923
,21,70.210,14842.584
,22,62.794,14101.759
,23,63.658,9177.547
,24,68.824,12233.871
,25,69.386,10396.861
mDII-V_WT_plant1_2_Z-Stack,1,36.806,14285.823
,2,50.055,11725.708
,3,58.243,15055.471
,4,56.582,13756.885
,5,42.757,15363.256
,6,54.594,13143.457
,7,50.853,14283.543
,8,51.023,12647.998
,9,42.129,18151.640
,10,33.353,15400.443
,11,45.987,13566.784
,12,37.303,13370.244
,13,38.414,17219.628
,14,35.210,9479.207
,15,34.177,9881.830
,16,48.054,15208.870
,17,45.425,16863.285
,18,57.589,15171.750
,19,53.142,12045.931
,20,55.339,10766.314
,21,73.729,12627.649
,22,64.547,12125.080
,23,70.224,10278.034
,24,53.246,16105.690
,25,57.733,13479.501
,26,42.691,8144.710
mDII-V_WT_plant2_1_Z-Stack,1,37.852,8814.095
,2,44.535,12077.189
,3,44.575,13641.045
,4,59.747,9212.616
,5,47.805,11184.058
,6,59.381,10531.694
,7,50.487,12023.662
,8,51.167,8937.703
,9,72.617,12255.412
,10,54.097,12242.857
,11,51.062,9220.430
,12,40.402,10811.516
,13,51.232,12984.960
,14,47.491,13289.481
,15,63.618,9990.875
,16,47.217,9574.948
,17,48.983,14908.175
,18,60.283,11653.190
,19,55.104,8256.609
,20,57.393,11966.673
,21,46.275,8577.030
,22,48.106,10832.098
,23,65.960,10102.679
,24,55.535,8804.172
,25,55.248,10937.723
,26,55.313,10769.965
mDII-V_WT_plant2_2_Z-Stack,1,45.503,10520.522
,2,56.948,8939.228
,3,54.450,11421.726
,4,45.870,9394.597
,5,44.117,11564.997
,6,42.717,11960.938
,7,58.439,9426.973
,8,49.636,6900.172
,9,61.827,9786.496
,10,65.567,8028.998
,11,64.835,10539.188
,12,64.128,10708.512
,13,58.060,11723.800
,14,56.791,12887.656
,15,60.453,9355.720
,16,67.490,10410.209
,17,55.862,10678.396
,18,60.427,10514.065
,19,65.960,9555.730
,20,66.430,14033.786
,21,78.947,11442.350
mDII-V_WT_plant3_1_Z-Stack,1,47.308,10103.985
,2,41.880,10592.161
,3,49.872,19243.834
,4,38.859,13443.981
,5,75.704,11489.766
,6,61.473,10477.423
,7,55.928,9827.199
,8,50.382,13772.710
,9,44.248,15170.948
,10,61.186,11610.147
,11,57.066,15012.144
,12,59.368,11868.394
,13,43.332,15059.981
,14,51.978,13535.050
,15,60.113,13497.349
