Image,ROI,Area,Mean
mDII-V_arpc4_1_plant1_1_Z-Stack,1,47.151,19940.205
,2,60.375,17047.273
,3,49.610,22378.433
,4,40.245,20956.159
,5,68.052,12902.099
,6,49.963,18018.652
,7,46.550,19977.601
,8,44.915,11503.017
,9,64.312,12661.688
,10,62.637,14796.335
,11,56.791,14917.720
,12,54.633,10935.926
,13,64.521,15658.081
,14,60.937,15754.353
,15,53.142,14473.609
,16,60.545,15514.551
,17,71.845,14259.597
,18,75.848,12187.068
,19,66.417,12743.247
,20,69.086,13963.717
,21,59.538,12471.417
,22,68.942,12852.226
,23,63.396,13102.970
,24,76.789,13079.279
mDII-V_arpc4_1_plant1_2_Z-Stack,1,66.967,10458.638
,2,51.167,13520.114
,3,50.565,11494.684
,4,49.427,16297.334
,5,48.590,13328.519
,6,55.705,12535.498
,7,43.201,15880.845
,8,39.108,15630.972
,9,55.797,13966.031
,10,38.257,16757.961
,11,53.430,16562.227
,12,61.290,13113.568
,13,49.820,17059.786
,14,42.626,16186.898
,15,58.452,11434.198
,16,63.331,10380.103
,17,55.522,12379.032
,18,61.591,12494.249
,19,48.917,11727.716
,20,66.875,10573.320
,21,66.221,12111.196
,22,70.655,9251.420
,23,59.433,11997.664
,24,67.464,12744.733
,25,84.075,12097.730
,26,53.259,14474.351
,27,49.950,8621.099
mDII-V_arpc4_1_plant2_1_Z-Stack,1,60.035,9622.747
,2,42.194,11890.161
,3,77.640,8489.633
,4,38.872,7013.052
,5,53.586,11623.701
,6,60.911,6376.714
,7,68.078,8932.057
,8,66.561,6148.400
,9,49.937,8513.001
,10,65.371,9928.663
,11,51.952,13768.138
,12,65.620,8253.598
,13,51.952,8367.401
,14,47.845,9830.462
,15,77.234,7955.298
,16,43.868,8784.364
,17,67.490,4666.314
,18,63.893,7106.234
,19,73.284,8389.341
,20,72.604,6394.926
mDII-V_arpc4_1_plant2_2_Z-Stack,1,41.527,6170.370
,2,41.083,9741.437
,3,46.053,8223.997
,4,45.778,8930.481
,5,53.508,11598.562
,6,67.268,8997.258
,7,51.350,10595.361
,8,57.484,5747.403
,9,65.306,6230.114
,10,63.017,10837.113
,11,76.920,7754.774
,12,53.194,7266.351
,13,79.706,6429.392
,14,54.803,5137.188
,15,76.175,8183.235
,16,87.135,7657.137
,17,77.012,9115.389
,18,62.807,7591.763
,19,58.295,9371.063
,20,58.570,9935.674
,21,72.042,5786.412
mDII-V_arpc4_1_plant3_1_Z-Stack,1,49.506,13012.534
,2,51.729,15505.182
,3,53.534,14474.426
,4,51.716,11543.420
,5,83.303,11397.003
,6,48.695,9760.266
,7,59.668,12885.264
,8,67.071,12617.079
,9,69.857,8831.648
,10,75.416,10351.269
,11,68.144,13738.960
,12,68.576,9418.484
,13,50.500,14600.599
,14,81.681,12461.612
,15,78.568,9283.312
,16,82.335,10009.614
,17,76.175,11306.863
,18,72.094,8173.516
,19,77.025,10176.621
,20,79.235,10557.645
,21,65.620,11650.052
mDII-V_arpc4_1_plant3_2_Z-Stack,1,50.317,10487.033
,2,48.865,14493.406
,3,63.226,9852.583
,4,45.582,6811.488
,5,54.541,12118.130
,6,68.065,8898.502
,7,64.364,8516.505
,8,54.267,12779.204
,9,54.267,13941.720
,10,71.165,9364.853
,11,55.234,12518.488
,12,48.368,8107.545
,13,41.580,7989.693
,14,55.575,10178.549
,15,66.130,9230.707
,16,63.461,9957.073
,17,48.616,10250.535
,18,69.491,10072.383
,19,68.955,8338.414
,20,73.729,10272.602
,21,46.798,9005.769
,22,73.402,9381.226
,23,67.372,13340.187
,24,66.208,13870.909
,25,50.356,8198.736
,26,54.816,8771.468
mDII-V_arpc4_1_plant4_1_Z-Stack,1,53.927,16037.037
,2,53.704,11991.109
,3,46.510,10374.957
,4,61.722,9044.716
,5,52.697,17559.534
,6,56.660,12151.057
,7,59.328,10421.330
,8,64.612,14404.347
,9,52.906,12552.463
,10,58.622,9219.963
,11,48.459,9510.149
,12,59.028,11614.253
,13,50.761,19763.671
,14,64.024,15229.236
,15,41.580,9355.448
,16,53.966,13759.663
,17,66.038,10169.818
,18,54.881,13066.622
,19,68.510,13142.125
,20,52.148,14085.593
,21,48.211,17066.864
mDII-V_arpc4_1_plant4_2_Z-Stack,1,50.683,12109.094
,2,37.773,8677.902
,3,50.748,10015.331
,4,41.828,9306.393
,5,49.519,15735.757
,6,58.243,9338.704
,7,54.515,11562.350
,8,48.368,11398.515
,9,56.608,12334.094
,10,55.274,10561.610
,11,63.161,10890.916
,12,44.326,13622.716
,13,63.749,14474.001
,14,48.289,13024.316
,15,53.063,12508.217
,16,52.082,18023.737
,17,42.547,11333.088
,18,55.038,10565.629
,19,68.405,11435.699
,20,59.930,8772.834
,21,57.497,11360.614
,22,78.450,11551.010
,23,65.489,8660.282
,24,66.509,13003.897
,25,82.858,9787.259
,26,56.595,11860.088
mDII-V_arpc4_1_plant6_1_Z-Stack,1,46.615,2821.572
,2,53.142,6142.739
,3,53.207,3837.827
,4,60.715,2572.633
,5,65.214,3638.042
,6,72.499,4590.901
,7,50.644,3297.729
,8,53.207,4654.397
,9,45.059,3954.918
,10,61.565,3772.219
,11,48.996,2929.735
,12,66.548,4411.754
,13,71.322,4386.652
,14,65.096,3865.353
,15,83.146,5164.566
,16,58.465,6199.179
,17,68.549,4797.868
,18,89.058,3363.009
mDII-V_arpc4_1_plant6_2_Z-Stack,1,47.138,3536.254
,2,73.009,3204.859
,3,41.802,3236.674
,4,40.115,3098.004
,5,75.416,3588.587
,6,58.439,3081.046
,7,71.479,2961.969
,8,41.410,3776.196
,9,76.999,4604.839
,10,80.098,4391.675
,11,46.210,3415.915
,12,54.345,4219.288
,13,55.091,3372.222
,14,59.485,3649.197
,15,45.804,3097.021
,16,55.902,2951.989
,17,68.288,2765.541
,18,67.241,4171.641
,19,58.151,3733.915
,20,51.245,4657.584
,21,91.203,4393.269
,22,86.612,3600.599
,23,59.315,4554.638
mDII-V_arpc4_1_plant7_1_Z-Stack,1,48.446,12385.993
,2,41.763,8781.134
,3,47.531,10928.931
,4,65.201,12159.872
,5,72.055,14465.942
,6,77.522,10404.794
,7,56.137,11736.153
,8,50.918,9215.537
,9,72.931,11652.649
,10,49.545,9470.032
,11,73.598,11316.349
,12,62.690,9152.322
,13,64.272,12153.508
,14,76.881,10154.325
