Image,ROI,Area,Mean
mDII-V_arpc4_2_plant10_1_Z-Stack,1,44.745,6523.402
,2,47.452,5965.816
,3,43.241,6858.977
,4,47.034,6732.738
,5,44.967,5587.824
,6,49.558,5806.452
,7,50.068,3927.433
,8,43.842,4920.736
,9,73.363,5768.705
,10,54.227,7282.004
,11,54.672,4960.919
,12,66.561,4753.223
,13,73.690,5621.499
,14,59.799,5124.853
,15,71.597,3820.587
,16,42.155,5089.021
,17,63.161,6215.100
,18,58.073,4494.745
,19,56.503,4219.325
,20,59.655,4319.763
,21,77.679,4422.002
,22,72.382,4589.035
,23,71.701,4336.592
,24,72.185,3673.056
mDII-V_arpc4_2_plant10_2_Z-Stack,1,45.634,5764.373
,2,44.509,4307.438
,3,45.242,4930.548
,4,51.611,3997.561
,5,66.731,4270.730
,6,46.184,4696.530
,7,73.271,3899.949
,8,55.287,5677.209
,9,47.439,5073.680
,10,57.733,6702.000
,11,49.466,5178.047
,12,47.792,4498.180
,13,49.950,4063.734
,14,46.471,4405.640
,15,72.316,4575.480
,16,51.428,5418.518
,17,73.899,4354.210
,18,72.892,3905.536
,19,53.665,4761.777
,20,69.753,5113.091
,21,83.892,4067.845
,22,63.069,5012.858
,23,71.610,4235.603
mDII-V_arpc4_2_plant1_1_Z-Stack,1,57.720,4383.952
,2,63.723,5694.384
,3,70.210,5187.336
,4,76.920,4582.722
,5,54.175,6644.178
,6,60.257,6579.002
,7,62.664,4857.735
,8,54.907,5665.010
,9,61.513,7012.615
,10,63.174,6323.281
,11,77.365,5364.554
,12,66.130,5788.637
,13,79.928,5154.146
,14,72.303,4214.642
,15,79.758,6835.319
,16,64.194,5110.523
,17,73.036,6654.199
,18,62.376,5546.442
,19,80.112,5679.113
mDII-V_arpc4_2_plant1_2_Z-Stack,1,52.566,4410.188
,2,68.641,3542.878
,3,82.518,6709.509
,4,50.395,5748.024
,5,55.731,4678.377
,6,50.827,3623.185
,7,54.332,5510.501
,8,55.208,3689.712
,9,61.212,5053.609
,10,56.202,5433.013
,11,97.023,5015.165
,12,64.259,4570.516
,13,67.398,5633.308
,14,58.164,4194.251
,15,48.198,5170.445
,16,77.404,4689.115
,17,55.091,4490.934
,18,65.450,3751.401
,19,86.926,3963.469
,20,72.146,4386.509
mDII-V_arpc4_2_plant5_1_Z-Stack,1,59.080,4278.550
,2,57.445,5080.816
,3,50.892,4373.189
,4,51.847,4877.845
,5,81.171,5028.799
,6,55.575,5114.607
,7,52.174,5272.471
,8,65.724,5332.781
,9,67.058,4703.552
,10,76.515,4092.884
,11,53.835,5002.734
,12,47.897,5648.449
,13,51.494,5934.410
,14,72.957,4189.335
,15,83.970,4455.186
,16,72.120,4061.479
,17,79.615,4178.315
,18,90.248,5318.509
,19,69.596,5007.499
mDII-V_arpc4_2_plant5_2_Z-Stack,1,52.344,5925.166
,2,48.734,4191.484
,3,52.710,4554.900
,4,53.809,5463.898
,5,49.035,5913.071
,6,50.081,4903.366
,7,53.691,4515.611
,8,51.010,7164.813
,9,58.360,6936.303
,10,67.254,5438.772
,11,50.447,5606.174
,12,55.849,6520.064
,13,48.420,5317.177
,14,52.252,3776.135
,15,81.812,4132.635
,16,61.539,4480.872
,17,62.703,4955.929
,18,83.591,4580.563
,19,55.509,4203.803
,20,66.038,5725.691
,21,85.108,4963.456
,22,61.264,3956.914
,23,66.941,4784.909
,24,52.998,5542.388
,25,73.742,4677.278
mDII-V_arpc4_2_plant6_1_Z-Stack,1,56.673,4702.359
,2,53.456,5769.854
,3,60.061,3702.398
,4,44.732,5704.054
,5,71.806,3765.781
,6,54.345,3165.267
,7,55.300,4297.456
,8,99.273,4120.641
,9,48.407,3773.948
,10,58.400,4994.076
,11,57.301,4445.052
,12,49.323,4300.670
,13,76.371,5185.598
,14,48.656,4791.726
,15,47.884,3536.530
,16,64.037,3118.211
,17,89.019,4460.267
,18,90.784,3302.794
,19,75.704,4121.640
,20,62.873,2465.243
,21,66.836,3791.039
mDII-V_arpc4_2_plant6_2_Z-Stack,1,43.751,3706.166
,2,63.030,4720.188
,3,49.166,4837.165
,4,52.370,4372.723
,5,36.871,3768.820
,6,50.317,4157.209
,7,49.440,3143.737
,8,96.892,4296.619
,9,84.886,4870.626
,10,68.222,3022.475
,11,55.091,2772.692
,12,56.215,3693.895
,13,77.888,4622.416
,14,55.156,4662.192
,15,80.334,3940.503
,16,62.860,3088.363
,17,59.211,4102.934
,18,63.723,4493.974
,19,93.099,4638.209
,20,57.366,4819.757
mDII-V_arpc4_2_plant7_1_Z-Stack,1,66.653,4499.056
,2,63.278,4074.904
,3,62.807,4969.430
,4,71.505,4759.172
,5,65.763,3768.050
,6,71.401,4464.384
,7,65.672,4378.635
,8,60.911,3560.797
,9,43.842,3434.316
,10,57.223,5080.380
,11,45.124,4438.466
,12,50.264,5997.980
,13,66.182,4778.719
,14,56.765,5045.278
,15,77.901,4492.019
,16,68.981,5222.014
,17,58.190,5008.204
,18,51.441,5113.642
,19,59.865,5337.793
,20,60.087,5803.794
,21,56.542,3712.753
,22,75.102,3485.850
,23,70.380,3650.975
,24,82.610,5138.895
mDII-V_arpc4_2_plant7_2_Z-Stack,1,47.426,6963.401
,2,53.233,5519.772
,3,60.205,4187.594
,4,56.647,4036.493
,5,54.332,3730.406
,6,61.238,4736.671
,7,50.918,6536.499
,8,63.540,5007.861
,9,62.415,4454.142
,10,60.767,2590.876
,11,64.534,4220.126
,12,52.043,4136.815
,13,66.797,3559.675
,14,55.588,3802.398
,15,74.409,3467.396
,16,69.151,3663.671
,17,77.077,4238.269
,18,59.093,5388.091
,19,64.181,4589.816
,20,61.186,5252.187
,21,62.219,4272.232
,22,43.934,3759.780
,23,44.483,4171.469
mDII-V_arpc4_2_plant8_1_Z-Stack,1,64.102,13361.110
,2,55.326,12552.487
,3,59.995,15591.577
,4,37.551,7952.512
,5,47.282,7847.374
,6,47.818,10973.082
,7,60.270,11186.121
,8,47.858,20567.365
,9,66.234,10271.887
,10,39.500,10408.025
,11,68.719,12019.475
,12,83.054,18582.027
,13,65.999,14588.478
,14,62.912,11670.157
,15,45.569,16418.060
,16,70.119,14495.985
,17,91.569,13337.100
,18,57.079,11914.759
,19,59.760,14659.616
,20,79.157,11528.000
,21,65.175,15387.708
,22,58.596,15114.831
,23,74.723,11937.557
mDII-V_arpc4_2_plant8_2_Z-Stack,1,65.476,8912.281
,2,73.951,8576.105
,3,44.915,9490.185
,4,53.390,8125.311
,5,48.695,9753.963
,6,80.269,8361.760
,7,53.600,7366.903
,8,65.018,7862.053
,9,48.590,6381.822
,10,69.269,6613.256
,11,56.987,6762.658
,12,66.247,6483.697
,13,69.988,6301.474
,14,60.205,7655.677
,15,72.447,7834.163
,16,72.682,7825.907
,17,71.021,7847.686
,18,69.269,8738.580
,19,63.030,9333.298
,20,79.575,7125.361
mDII-V_arpc4_2_plant9_1_Z-Stack,1,53.770,5291.856
,2,44.195,4593.353
,3,56.896,6131.539
,4,57.053,5989.707
,5,48.669,7441.784
,6,57.759,4936.524
,7,57.196,5751.785
,8,42.155,5914.873
,9,44.496,5538.361
,10,61.696,5078.036
,11,68.275,4634.308
,12,78.110,5364.609
,13,57.693,6206.482
,14,72.172,4715.943
,15,61.107,7189.944
,16,78.542,6205.515
,17,62.284,5358.714
,18,58.308,6057.004
,19,56.555,4895.049
,20,50.408,6906.256
,21,58.112,5402.374
mDII-V_arpc4_2_plant9_2_Z-Stack,1,71.440,4606.590
,2,46.497,4079.498
,3,45.713,3086.397
,4,50.029,6025.596
,5,49.898,7142.408
,6,39.840,4532.095
,7,57.314,4065.058
,8,59.001,4920.509
,9,40.860,4050.357
,10,64.442,3741.512
,11,51.834,3231.619
,12,54.659,4958.104
,13,74.108,5961.038
,14,89.516,6821.332
,15,35.380,4312.515
,16,43.777,4571.534
,17,51.611,5258.124
,18,73.232,5458.699
,19,48.891,8661.394
,20,77.692,2980.208
,21,76.672,3343.534
