Image,ROI,Area,Mean
mDII-V_arpc5_2_plant10_1_Z-Stack,1,59.551,6444.291
,2,50.657,6497.685
,3,52.867,4169.484
,4,57.471,5046.117
,5,49.532,5603.028
,6,53.116,4848.032
,7,69.844,4325.979
,8,67.124,5163.972
,9,62.964,6118.679
,10,91.138,5925.205
,11,56.896,6609.038
,12,65.083,4503.910
,13,58.701,3975.796
,14,60.244,4468.865
,15,61.094,3782.150
,16,83.643,3689.839
,17,64.586,2680.040
mDII-V_arpc5_2_plant10_2_Z-Stack,1,52.148,4051.506
,2,64.429,5424.942
,3,74.566,3064.388
,4,71.296,4036.223
,5,64.992,4586.663
,6,53.312,3551.105
,7,64.207,4553.616
,8,66.090,3972.128
,9,57.550,5762.288
,10,50.984,3758.784
,11,47.178,7932.227
,12,72.028,5072.845
,13,48.708,4825.620
,14,56.333,4625.625
,15,58.256,6490.120
mDII-V_arpc5_2_plant1_1_Z-Stack,1,70.694,5604.260
,2,46.602,7340.852
,3,74.200,6861.618
,4,48.368,7426.294
,5,59.642,4864.259
,6,57.144,6841.070
,7,60.911,4171.067
,8,53.416,5410.459
,9,70.668,6293.043
,10,52.514,5652.494
,11,63.383,5791.214
,12,65.384,3726.368
,13,53.796,5833.059
,14,70.119,5427.623
,15,64.102,4508.821
,16,69.190,5155.833
,17,70.904,5189.104
,18,72.002,4836.350
,19,62.258,3965.253
mDII-V_arpc5_2_plant1_2_Z-Stack,1,51.441,5176.944
,2,61.617,6149.386
,3,61.892,6046.010
,4,54.162,5065.053
,5,61.735,4824.030
,6,54.188,7038.974
,7,64.246,5774.932
,8,56.399,4321.790
,9,54.424,5438.406
,10,53.900,3682.856
,11,66.731,4595.342
,12,65.502,6815.661
,13,49.990,4604.861
,14,59.721,5448.488
,15,60.859,5002.823
,16,65.371,4608.668
,17,63.618,4872.909
,18,69.609,5141.725
,19,66.705,5300.648
mDII-V_arpc5_2_plant3_1_Z-Stack,1,62.219,10550.596
,2,62.873,12936.494
,3,44.980,9018.222
,4,42.861,4396.193
,5,50.330,8116.411
,6,53.482,10629.875
,7,49.715,14684.826
,8,86.141,9843.107
,9,46.667,11994.901
,10,77.653,10388.221
,11,65.410,8503.098
,12,47.544,4811.362
,13,61.827,10502.098
,14,44.444,6771.973
,15,72.107,7944.847
,16,59.904,20042.945
,17,72.970,8234.892
mDII-V_arpc5_2_plant3_2_Z-Stack,1,59.381,11471.128
,2,56.712,13077.986
,3,54.659,9404.628
,4,51.088,10934.710
,5,63.527,10124.062
,6,57.576,11687.362
,7,56.124,12468.186
,8,77.496,13854.719
,9,76.907,8812.021
,10,60.218,9217.970
,11,57.693,8801.267
,12,67.477,10217.620
,13,63.867,9811.097
,14,73.742,8974.563
,15,68.144,7544.631
,16,67.477,10792.890
,17,86.677,10781.353
mDII-V_arpc5_2_plant5_1_Z-Stack,1,75.141,4829.682
,2,57.105,3100.823
,3,57.772,5205.731
,4,60.623,3625.976
,5,84.859,6795.617
,6,61.656,3187.227
,7,53.652,4339.445
,8,62.507,3884.171
,9,58.007,3599.972
,10,68.510,4444.124
,11,58.727,5226.253
,12,88.260,4829.176
,13,72.303,4537.226
,14,71.034,3299.694
,15,66.666,3408.310
,16,89.856,6871.738
mDII-V_arpc5_2_plant5_2_Z-Stack,1,62.127,2532.459
,2,75.900,3909.009
,3,62.951,2834.967
,4,49.911,3163.265
,5,98.279,4130.719
,6,68.052,4022.271
,7,58.125,4013.804
,8,85.579,4560.541
,9,65.528,3272.593
,10,68.902,3049.430
,11,50.421,2119.964
,12,66.627,3215.789
,13,72.199,3876.233
,14,71.296,2879.975
,15,59.420,2297.319
,16,61.343,3649.496
,17,102.177,3363.156
mDII-V_arpc5_2_plant7_1_Z-Stack,1,56.307,12199.728
,2,45.647,11841.882
,3,52.710,9964.016
,4,54.999,11258.191
,5,55.051,9315.620
,6,40.939,8743.093
,7,55.718,11588.592
,8,57.615,8712.463
,9,43.188,11708.217
,10,64.586,9533.098
,11,59.054,12088.540
,12,78.895,12385.661
,13,69.426,8337.334
,14,74.657,12574.360
,15,48.172,8594.537
,16,60.702,11069.008
mDII-V_arpc5_2_plant7_2_Z-Stack,1,46.563,9192.317
,2,55.391,11379.394
,3,52.867,11298.940
,4,60.362,10245.414
,5,69.125,8647.774
,6,62.886,7934.797
,7,58.164,8737.154
,8,53.181,8415.482
,9,59.198,9077.250
,10,43.829,6704.694
,11,68.497,9715.145
,12,65.450,8717.665
,13,52.606,7567.897
,14,71.087,8283.150
,15,48.002,8580.275
,16,70.328,8576.632
,17,76.449,6794.718
,18,64.011,8132.051
,19,59.838,5289.628
,20,58.452,11142.215
mDII-V_arpc5_2_plant8_1_Z-Stack,1,48.028,14113.820
,2,82.100,8175.909
,3,77.483,10541.573
,4,54.188,15236.393
,5,55.391,5494.303
,6,88.666,7889.153
,7,58.609,9892.299
,8,66.784,9811.918
,9,64.508,8360.044
,10,55.012,14420.498
,11,59.276,8349.303
,12,83.133,12337.440
,13,61.303,10361.646
,14,81.550,8524.707
,15,60.911,10432.502
,16,67.817,8801.467
,17,71.715,8198.937
,18,54.136,11475.191
,19,72.748,9148.790
mDII-V_arpc5_2_plant8_2_Z-Stack,1,77.195,9535.487
,2,74.317,8485.802
,3,55.849,8880.648
,4,56.320,10849.673
,5,66.666,9680.242
,6,48.551,8781.287
,7,68.798,10119.953
,8,66.391,9046.848
,9,59.132,5426.852
,10,53.953,11021.024
,11,55.444,7185.515
,12,59.302,10315.811
,13,61.107,12708.587
,14,56.765,11814.688
,15,64.952,9701.753
,16,62.886,11956.957
,17,61.578,8903.343
,18,58.465,12560.304
,19,62.467,10121.863
,20,80.425,10749.125
mDII-V_arpc5_2_plant9_1_Z-Stack,1,74.749,6902.981
,2,48.420,7230.803
,3,57.576,3343.930
,4,75.050,4244.441
,5,56.333,6002.335
,6,81.210,5073.563
,7,74.030,7370.932
,8,61.094,3830.462
,9,39.801,4113.711
,10,51.075,4894.434
,11,49.990,3509.601
,12,87.985,5863.941
,13,73.376,4551.207
,14,62.010,4881.872
,15,56.006,4888.936
,16,69.753,4377.498
mDII-V_arpc5_2_plant9_2_Z-Stack,1,47.988,5820.744
,2,40.834,4742.876
,3,46.589,4199.115
,4,43.254,3948.894
,5,54.581,2639.857
,6,50.081,6168.268
,7,49.309,3622.849
,8,63.226,4877.494
,9,62.023,3782.122
,10,49.480,4502.064
,11,85.513,4496.268
,12,57.680,3985.645
,13,55.091,4240.391
,14,57.602,3328.569
,15,52.017,5762.988
,16,49.218,3306.281
,17,85.657,4527.779
,18,60.911,3551.825
,19,87.279,4881.481
,20,50.565,2452.143
,21,90.654,3354.186
,22,90.209,2474.882
