Image,ROI,Area,Mean
mDII-V_arpc5_3_plant10_1_Z-Stack,1,42.809,9564.747
,2,64.730,11843.734
,3,50.761,12603.412
,4,78.450,12591.962
,5,51.991,14823.185
,6,41.410,6995.455
,7,37.119,10437.566
,8,63.174,13916.571
,9,51.075,17765.839
,10,58.504,17060.787
,11,49.767,12435.048
,12,76.083,10955.432
,13,63.775,11501.464
,14,72.813,13065.985
,15,83.068,13618.406
,16,68.562,10423.459
,17,78.503,12401.607
,18,55.117,16047.376
,19,71.701,13858.728
mDII-V_arpc5_3_plant10_2_Z-Stack,1,54.894,16101.487
,2,72.120,12693.540
,3,47.164,19685.321
,4,54.790,11933.979
,5,75.900,10457.142
,6,78.921,16066.257
,7,71.309,14081.161
,8,46.288,12532.148
,9,46.667,13197.365
,10,67.895,11217.661
,11,79.209,10614.380
,12,98.632,11277.081
,13,98.266,10346.632
,14,70.707,9069.293
,15,79.915,11466.666
,16,69.975,9082.033
,17,53.456,7077.353
,18,82.518,11500.497
mDII-V_arpc5_3_plant1_1_Z-Stack,1,46.615,7732.290
,2,46.223,7192.987
,3,56.045,6213.748
,4,57.118,7009.378
,5,47.243,6231.149
,6,43.463,5389.191
,7,41.305,5624.921
,8,53.600,7725.310
,9,59.171,7289.697
,10,52.305,6795.651
,11,35.955,7690.985
,12,45.085,8968.653
,13,53.966,6995.631
,14,55.182,5370.571
,15,51.873,6511.571
,16,58.596,4690.494
,17,42.168,7543.277
,18,56.660,5501.895
,19,64.115,3491.062
mDII-V_arpc5_3_plant1_2_Z-Stack,1,44.418,3938.586
,2,42.652,4366.688
,3,48.590,4539.541
,4,51.938,5906.945
,5,60.676,4719.322
,6,59.341,3728.302
,7,46.694,5135.842
,8,56.896,5916.880
,9,58.936,4209.948
,10,51.611,5002.245
,11,52.906,4627.944
,12,58.583,4603.020
,13,61.931,3663.486
,14,68.013,4559.360
,15,60.479,5077.286
,16,52.213,5558.106
,17,56.019,4594.025
,18,62.167,6036.225
,19,60.702,4188.173
mDII-V_arpc5_3_plant2_1_Z-Stack,1,65.541,3695.686
,2,61.787,5230.514
,3,53.050,6170.061
,4,48.551,6496.976
,5,53.900,5824.253
,6,69.897,4756.460
,7,66.470,4801.282
,8,48.996,7420.204
,9,58.596,5252.444
,10,67.241,6287.907
,11,64.796,5745.639
,12,67.189,5821.474
,13,51.455,5293.471
,14,65.947,4704.532
,15,62.180,6370.090
,16,72.552,5198.201
,17,55.797,3191.101
,18,67.922,3655.758
mDII-V_arpc5_3_plant2_2_Z-Stack,1,46.288,4797.321
,2,45.909,6256.758
,3,45.163,5922.423
,4,42.430,5004.494
,5,44.797,5093.135
,6,46.197,7612.229
,7,65.554,3969.096
,8,46.105,4627.479
,9,49.558,5504.682
,10,57.066,5447.034
,11,52.148,5045.024
