Image,ROI,Area,Mean
mDII-V_WT_plant1_1_Z-Stack,1,55.718,8821.703
,2,54.306,10251.694
,3,47.505,6078.181
,4,76.999,6915.241
,5,67.019,6156.757
,6,86.010,7831.130
,7,62.010,6900.815
,8,56.163,8504.230
,9,65.816,8493.557
,10,45.098,8766.918
,11,51.925,7110.523
,12,80.190,7853.346
,13,53.116,8986.447
,14,88.757,6756.565
,15,50.055,8317.102
,16,75.481,6525.752
,17,61.591,6267.975
,18,61.866,7074.840
mDII-V_WT_plant1_2_Z-Stack,1,62.938,9454.849
,2,37.525,7539.328
,3,66.103,7930.470
,4,52.684,7639.539
,5,68.654,9235.766
,6,57.955,7020.307
,7,54.607,7821.669
,8,74.278,7140.301
,9,78.490,9894.666
,10,59.760,6557.106
,11,91.294,8368.602
,12,55.470,9743.507
,13,67.438,7463.055
,14,59.184,6306.648
,15,55.954,6439.101
,16,77.326,6851.868
,17,70.119,7445.900
,18,73.454,6926.298
,19,67.032,5677.114
,20,72.643,4805.061
mDII-V_WT_plant2_1_Z-Stack,1,57.759,12563.767
,2,61.617,13914.834
,3,45.569,13775.761
,4,44.601,14854.894
,5,76.397,11018.644
,6,31.862,9143.473
,7,53.181,9743.602
,8,61.408,7479.589
,9,52.462,16501.358
,10,52.252,8782.312
,11,41.200,9597.055
,12,45.451,11522.410
,13,68.994,8857.460
,14,56.569,13592.370
,15,53.704,13449.361
,16,64.586,9435.483
,17,55.509,11094.014
,18,64.717,10866.563
,19,73.716,6691.748
,20,67.503,10150.691
,21,61.513,7495.760
mDII-V_WT_plant2_2_Z-Stack,1,60.924,9835.827
,2,37.420,6142.594
,3,58.727,12594.156
,4,65.279,9647.199
,5,39.461,9909.031
,6,56.098,11938.893
,7,58.831,12304.106
,8,45.647,11696.596
,9,69.700,11646.091
,10,65.436,9048.507
,11,51.154,9727.242
,12,63.082,8027.764
,13,63.475,8897.059
,14,64.442,8160.177
,15,76.698,12109.435
,16,60.662,7669.932
,17,70.289,8275.688
,18,37.957,8793.290
,19,62.271,8695.996
,20,64.796,11173.498
mDII-V_WT_plant3_1_Z-Stack,1,46.288,8177.450
,2,76.175,7809.679
,3,43.541,8938.064
,4,64.704,8096.675
,5,63.540,8971.757
,6,51.546,9512.309
,7,49.100,8468.815
,8,54.672,11022.134
,9,64.665,8117.958
,10,59.825,6277.302
,11,71.427,7601.214
,12,70.995,10218.812
,13,71.178,9327.794
,14,51.952,13842.485
,15,55.980,11080.453
,16,67.124,6499.987
,17,80.949,6257.025
,18,84.009,7978.710
mDII-V_WT_plant3_2_Z-Stack,1,62.533,7884.028
,2,52.906,9044.652
,3,57.785,7575.509
,4,79.131,13025.072
,5,64.168,9228.071
,6,72.905,9369.040
,7,60.728,7410.828
,8,59.695,10117.274
,9,72.735,8368.225
,10,62.337,9562.112
,11,59.302,11799.472
,12,84.101,8550.271
,13,48.812,11796.997
,14,75.468,6876.332
,15,80.674,8315.321
,16,74.108,8318.431
,17,49.898,7231.217
,18,71.688,9901.618
,19,53.547,11638.497
,20,44.640,9690.097
,21,42.168,7251.856
mDII-V_WT_plant4_1_Z-Stack,1,79.118,13949.716
,2,74.448,12561.641
,3,43.175,9902.510
,4,72.539,9371.904
,5,77.247,11307.644
,6,50.225,19294.949
,7,63.318,13753.207
,8,50.604,13751.582
,9,45.229,23275.606
,10,80.347,14976.068
,11,51.559,17407.465
,12,45.896,13703.330
,13,66.522,14101.600
,14,73.585,13108.839
,15,75.285,11194.519
,16,56.699,16182.266
,17,73.742,13636.974
,18,71.911,10772.730
mDII-V_WT_plant4_2_Z-Stack,1,63.200,12722.682
,2,58.308,14076.419
,3,41.606,10357.102
,4,41.253,13500.368
,5,69.033,9170.499
,6,72.643,10603.234
,7,95.951,12233.430
,8,81.145,11453.725
,9,71.074,11496.997
,10,42.430,11980.673
,11,59.812,11019.733
,12,48.002,15244.570
,13,69.478,13300.233
,14,78.568,15303.438
,15,45.451,14893.433
,16,62.886,10765.000
,17,53.129,14387.319
,18,58.374,14509.418
,19,61.840,15664.513
,20,57.419,15437.185
mDII-V_WT_plant5_1_Z-Stack,1,76.999,10213.002
,2,55.915,14916.691
,3,52.318,10878.012
,4,64.364,10998.290
,5,51.167,9646.360
,6,55.849,12690.054
,7,71.322,7717.756
,8,69.046,10395.442
,9,59.302,11875.009
,10,63.893,13603.339
,11,69.988,13085.072
,12,76.946,13095.918
,13,61.944,10962.908
,14,77.718,13444.988
,15,56.686,10910.263
,16,60.676,11357.527
,17,47.191,11280.081
mDII-V_WT_plant5_2_Z-Stack,1,89.633,10497.694
,2,50.853,10583.773
,3,55.117,9235.555
,4,44.326,9417.659
,5,53.286,7573.283
,6,55.300,9152.127
,7,44.365,9515.623
,8,69.439,9378.711
,9,58.138,12596.086
,10,78.699,11878.436
,11,60.401,10558.977
,12,57.523,8907.487
,13,72.303,10548.927
,14,61.421,12600.600
,15,52.658,12147.841
,16,70.812,8159.546
,17,59.930,9205.763
,18,72.185,8953.456
,19,62.114,9430.495
mDII-V_WT_plant6_1_Z-Stack,1,57.615,11078.027
,2,52.867,10826.431
,3,58.387,11853.709
,4,51.088,16528.699
,5,48.054,9505.189
,6,80.425,9660.409
,7,46.131,12225.205
,8,50.133,10749.466
,9,47.060,10511.411
,10,74.644,9859.430
,11,51.468,9347.310
,12,51.546,8902.780
,13,50.735,11723.483
,14,82.597,10230.327
,15,62.114,9644.561
,16,72.460,9983.820
,17,55.731,8302.296
,18,78.477,8368.176
,19,79.104,8120.966
mDII-V_WT_plant6_2_Z-Stack,1,85.383,9357.811
