Image,ROI,Area,Mean
DII-V_arpc4_2_plant1_1_Z-Stack,1,60.008,133.487
,2,68.680,107.659
,3,50.160,109.391
,4,40.782,104.653
,5,59.551,120.079
,6,56.045,108.709
,7,45.909,105.687
,8,60.061,116.110
,9,61.656,104.815
,10,72.042,131.769
,11,47.622,119.864
,12,64.338,117.437
,13,70.341,128.054
DII-V_arpc4_2_plant1_2_Z-Stack,1,72.316,116.640
,2,38.689,97.220
,3,53.652,109.044
,4,52.396,105.402
,5,51.795,95.403
,6,63.265,109.519
,7,60.218,103.597
,8,55.104,113.260
,9,63.069,107.910
,10,69.413,91.860
,11,62.480,98.239
,12,58.622,114.753
,13,62.232,98.100
,14,58.112,109.682
,15,61.473,109.880
,16,74.697,98.847
,17,72.185,102.088
DII-V_arpc4_2_plant2_1_Z-Stack,1,62.258,121.146
,2,73.833,122.390
,3,59.511,114.295
,4,63.566,121.413
,5,51.284,130.054
,6,64.809,121.800
,7,67.228,130.968
,8,60.035,105.778
,9,70.302,127.784
,10,71.558,130.316
,11,59.629,142.509
,12,67.084,134.982
,13,54.921,115.586
DII-V_arpc4_2_plant2_2_Z-Stack,1,86.834,118.022
,2,72.251,133.457
,3,88.927,116.617
,4,66.130,141.359
,5,63.566,139.493
,6,53.037,118.242
,7,55.705,119.323
,8,59.551,127.374
,9,66.705,128.236
,10,46.929,126.467
,11,62.729,135.085
,12,81.537,123.511
,13,48.525,123.489
,14,63.069,136.609
,15,60.100,113.443
,16,53.456,108.593
DII-V_arpc4_2_plant3_1_Z-Stack,1,54.672,206.498
,2,48.446,155.125
,3,43.725,121.592
,4,50.931,169.512
,5,66.679,156.326
,6,55.352,185.069
,7,46.144,146.800
,8,47.635,137.510
,9,72.421,161.001
,10,50.591,139.820
,11,79.327,216.709
,12,67.529,187.433
,13,69.439,186.875
,14,49.035,123.870
,15,66.548,139.961
,16,52.946,135.838
,17,50.447,158.228
,18,51.520,133.018
DII-V_arpc4_2_plant3_2_Z-Stack,1,35.798,172.873
,2,31.914,162.334
,3,41.723,140.822
,4,43.267,117.492
,5,60.741,125.939
,6,58.753,142.639
,7,68.876,184.186
,8,68.510,158.419
,9,34.294,122.826
,10,53.482,133.732
,11,60.022,120.142
,12,61.892,152.551
,13,67.751,131.954
,14,65.724,135.687
DII-V_arpc4_2_plant5_1_Z-Stack,1,72.512,110.927
,2,68.955,119.848
,3,48.289,119.946
,4,58.504,123.276
,5,51.481,93.728
,6,52.749,107.563
,7,55.967,109.098
,8,64.652,108.046
,9,49.754,112.739
,10,65.293,99.885
,11,83.983,95.548
,12,73.245,104.815
,13,76.986,103.468
,14,69.177,103.146
,15,85.252,105.451
,16,62.624,74.369
DII-V_arpc4_2_plant5_2_Z-Stack,1,51.952,108.358
,2,48.315,104.057
,3,40.756,99.207
,4,64.285,111.090
,5,58.177,102.116
,6,62.964,113.574
,7,74.291,120.615
,8,61.748,115.417
,9,59.721,105.937
,10,60.492,107.494
,11,52.645,104.171
,12,48.250,102.831
,13,71.858,90.651
,14,66.391,83.741
,15,75.874,86.956
DII-V_arpc4_2_plant7_1_Z-Stack,1,71.100,157.580
,2,75.037,146.959
,3,37.878,106.196
,4,53.665,143.099
,5,30.030,104.365
,6,55.509,127.627
,7,53.573,157.413
,8,63.514,139.952
,9,74.854,178.003
DII-V_arpc4_2_plant7_2_Z-Stack,1,46.223,123.511
,2,41.187,142.200
,3,44.876,113.901
,4,34.098,138.913
,5,42.404,151.454
,6,34.556,98.511
,7,59.525,101.863
,8,49.192,124.209
,9,64.063,141.898
,10,65.240,122.688
,11,56.987,140.812
,12,55.561,126.752
,13,69.831,100.390
DII-V_arpc4_2_plant8_1_Z-Stack,1,51.468,120.490
,2,58.282,125.991
,3,50.552,130.002
,4,85.736,141.702
,5,75.547,158.090
,6,60.532,121.723
,7,85.592,115.017
,8,90.601,136.154
,9,75.965,124.148
,10,97.128,143.883
,11,83.551,154.160
DII-V_arpc4_2_plant8_2_Z-Stack,1,51.625,117.244
,2,53.050,99.137
,3,50.460,124.199
,4,50.761,104.650
,5,63.226,124.290
,6,82.963,111.642
,7,60.427,101.796
,8,66.457,95.029
,9,71.741,114.479
,10,41.972,103.667
,11,78.032,109.132
,12,68.235,107.588
,13,67.202,121.276
,14,68.732,127.752
,15,70.564,129.148
DII-V_arpc4_2_plant9_1_Z-Stack,1,51.023,152.558
,2,45.935,178.018
,3,53.927,147.545
,4,67.411,165.704
,5,68.798,186.356
,6,62.912,178.756
,7,77.156,165.678
,8,68.510,157.532
,9,53.377,130.380
,10,53.273,146.330
,11,76.384,240.870
,12,57.445,166.857
,13,57.890,130.351
,14,64.913,173.865
,15,72.081,173.816
DII-V_arpc4_2_plant9_2_Z-Stack,1,47.622,152.339
,2,71.139,220.244
,3,44.967,157.200
,4,61.617,167.751
,5,52.017,152.225
,6,55.130,186.552
,7,62.494,189.820
,8,56.673,177.265
,9,54.803,141.434
,10,47.269,182.400
,11,35.929,162.245
,12,52.095,175.023
,13,72.761,150.814
,14,58.884,131.663
,15,70.694,193.042
,16,66.784,160.072
,17,73.520,176.594
