Image,ROI,Area,Mean
DII-V_WT_plant1_1_Z-Stack,1,57.066,79.800
,2,64.259,91.983
,3,38.937,101.774
,4,57.353,99.406
,5,48.185,109.601
,6,41.789,89.168
,7,56.608,93.193
,8,49.493,119.471
,9,52.880,112.795
,10,58.047,103.092
,11,50.081,110.292
,12,53.678,95.589
,13,61.526,89.447
,14,49.898,79.596
,15,50.369,90.112
,16,59.001,93.853
,17,61.264,115.207
DII-V_WT_plant1_2_Z-Stack,1,54.842,116.753
,2,56.922,102.738
,3,44.300,82.983
,4,42.613,88.905
,5,58.452,98.678
,6,57.000,107.360
,7,55.405,118.034
,8,54.764,107.674
,9,47.949,106.899
,10,58.347,99.655
,11,54.842,108.476
,12,62.991,110.201
,13,52.828,91.445
,14,81.106,99.451
DII-V_WT_plant1_3_Z-Stack,1,64.743,99.223
,2,51.363,84.521
,3,56.608,103.729
,4,56.176,85.519
,5,50.408,84.746
,6,57.000,107.203
,7,56.019,64.315
,8,55.038,86.644
DII-V_WT_plant2_1_Z-Stack,1,41.723,132.891
,2,50.644,124.746
,3,44.522,101.655
,4,34.804,99.295
,5,47.871,125.474
,6,49.532,109.246
,7,47.073,117.303
,8,47.897,98.969
,9,67.948,92.293
,10,56.111,103.524
,11,53.861,110.811
,12,60.453,107.534
,13,65.384,99.320
,14,59.341,109.207
,15,61.827,114.200
,16,68.667,89.500
,17,73.454,104.900
,18,54.410,89.721
,19,71.963,97.340
,20,54.894,121.495
DII-V_WT_plant2_2_Z-Stack,1,42.247,119.170
,2,65.790,113.388
,3,45.268,94.118
,4,70.590,131.470
,5,60.832,97.896
,6,41.841,80.443
,7,66.117,102.350
,8,68.562,88.070
,9,51.625,76.522
,10,52.213,82.885
,11,56.817,89.393
DII-V_WT_plant3_1_Z-Stack,1,53.900,125.851
,2,58.517,159.193
,3,79.850,153.459
,4,70.014,141.194
,5,45.870,146.557
,6,44.065,132.396
,7,44.771,133.356
,8,69.046,134.377
,9,55.169,107.071
,10,63.095,151.197
,11,63.501,126.719
,12,54.934,133.132
,13,51.533,147.259
,14,79.889,159.404
,15,65.907,131.591
,16,68.052,162.290
,17,75.364,136.343
,18,41.593,125.486
,19,56.307,132.243
DII-V_WT_plant3_2_Z-Stack,1,68.092,125.483
,2,71.597,117.770
,3,64.220,143.616
,4,68.929,145.297
,5,54.947,124.142
,6,62.324,145.701
,7,54.345,126.090
,8,40.795,140.211
,9,49.885,106.632
,10,48.446,128.942
,11,63.082,161.778
,12,50.264,118.308
,13,84.899,142.058
,14,79.693,114.529
,15,83.813,117.163
,16,69.753,118.545
,17,75.495,115.060
DII-V_WT_plant4_1_Z-Stack,1,61.761,128.991
,2,56.242,96.636
,3,65.227,120.910
,4,87.567,117.809
,5,68.222,117.312
,6,58.884,127.545
,7,62.964,125.640
,8,62.716,107.353
,9,56.909,129.105
,10,69.883,116.235
,11,68.680,94.380
,12,74.971,82.057
DII-V_WT_plant4_2_Z-Stack,1,45.255,133.341
,2,41.475,89.090
,3,62.964,126.620
,4,34.111,95.938
,5,57.942,99.917
,6,46.707,110.104
,7,49.153,100.162
,8,73.755,113.352
,9,54.267,92.733
,10,54.384,122.332
,11,60.165,129.132
,12,50.709,111.077
,13,64.102,108.110
,14,47.138,111.553
,15,46.628,130.135
,16,65.646,86.220
DII-V_WT_plant5_1_Z-Stack,1,50.500,134.135
,2,41.017,122.570
,3,59.865,152.937
,4,43.502,159.213
,5,53.691,156.968
,6,43.777,112.670
,7,54.685,151.459
,8,61.042,146.699
,9,77.378,213.997
,10,52.815,157.743
,11,58.269,168.955
,12,71.204,162.508
,13,52.409,110.070
,14,63.357,114.067
DII-V_WT_plant5_2_Z-Stack,1,51.206,130.633
,2,48.329,119.976
,3,56.058,115.275
,4,60.061,143.787
,5,58.504,120.452
,6,60.532,123.922
,7,38.388,101.590
,8,52.867,115.378
,9,64.861,110.845
,10,53.796,132.610
,11,77.077,118.319
,12,62.520,120.556
,13,64.952,117.530
DII-V_WT_plant6_1_Z-Stack,1,48.616,204.179
,2,56.909,211.467
,3,51.860,222.919
,4,46.890,198.609
,5,50.722,260.384
,6,43.123,211.108
,7,50.892,215.131
,8,66.993,202.073
,9,46.131,268.177
,10,54.188,284.672
,11,54.894,247.712
,12,65.894,232.946
,13,72.068,227.274
,14,66.378,227.446
,15,49.309,199.701
,16,74.291,230.316
DII-V_WT_plant6_2_Z-Stack,1,46.184,204.088
,2,67.372,187.785
,3,65.633,206.589
,4,65.763,209.487
,5,42.992,277.480
,6,75.194,212.033
,7,53.259,239.903
,8,55.718,195.192
,9,49.937,188.995
,10,72.944,218.646
,11,62.258,216.794
,12,46.236,188.006
,13,39.042,165.749
,14,66.627,170.506
DII-V_WT_plant7_1_Z-Stack,1,66.666,139.827
,2,77.339,136.438
,3,69.413,146.649
,4,61.970,148.907
,5,73.676,131.698
,6,48.067,144.602
,7,65.698,142.773
,8,48.211,135.578
,9,78.621,135.781
,10,61.382,132.599
,11,60.728,119.512
,12,55.365,115.390
,13,84.062,144.745
,14,69.740,163.335
,15,74.200,119.161
DII-V_WT_plant7_2_Z-Stack,1,70.786,139.994
,2,61.460,140.239
,3,57.746,139.528
,4,65.489,126.752
,5,55.405,127.116
,6,74.984,146.386
,7,56.464,115.318
,8,64.900,124.109
,9,38.545,122.703
,10,61.382,128.367
,11,42.168,131.573
,12,71.767,125.966
,13,65.790,121.808
,14,45.843,125.760
,15,49.584,128.364
,16,65.580,136.686
,17,74.160,128.444
,18,44.562,108.721
,19,67.281,134.817
,20,63.958,133.988
,21,56.542,117.381
DII-V_WT_plant8_1_Z-Stack,1,62.651,112.928
,2,59.420,135.523
,3,57.576,127.884
,4,67.895,129.576
,5,69.229,127.716
